spotter,spotted,start_game_tick,end_game_tick,spotter_id,spotted_id,demo,hacking,start_frame_num,end_frame_num,color
AmaNEk,dycha,4320,4351,119,125,2351898_128353_g2-vs-ence-m3-dust2_5f2f16a6-292a-11ec-8e27-0a58a9feac02.dem,2,2579,2608,blue
AmaNEk,Spinx,4337,4348,119,123,2351898_128353_g2-vs-ence-m3-dust2_5f2f16a6-292a-11ec-8e27-0a58a9feac02.dem,2,2595,2605,red
AmaNEk,Snappi,4524,4547,119,122,2351898_128353_g2-vs-ence-m3-dust2_5f2f16a6-292a-11ec-8e27-0a58a9feac02.dem,2,2770,2792,greenBlue
AmaNEk,Spinx,7442,7643,119,123,2351898_128353_g2-vs-ence-m3-dust2_5f2f16a6-292a-11ec-8e27-0a58a9feac02.dem,2,5506,5695,red
AmaNEk,doto,7552,7644,119,124,2351898_128353_g2-vs-ence-m3-dust2_5f2f16a6-292a-11ec-8e27-0a58a9feac02.dem,2,5609,5696,green
AmaNEk,doto,7680,7872,119,124,2351898_128353_g2-vs-ence-m3-dust2_5f2f16a6-292a-11ec-8e27-0a58a9feac02.dem,2,5730,5910,green
AmaNEk,hades,9031,9073,119,126,2351898_128353_g2-vs-ence-m3-dust2_5f2f16a6-292a-11ec-8e27-0a58a9feac02.dem,2,6995,7035,redBlue
AmaNEk,Spinx,20539,20555,119,123,2351898_128353_g2-vs-ence-m3-dust2_5f2f16a6-292a-11ec-8e27-0a58a9feac02.dem,2,17784,17799,red
AmaNEk,dycha,20542,20558,119,125,2351898_128353_g2-vs-ence-m3-dust2_5f2f16a6-292a-11ec-8e27-0a58a9feac02.dem,2,17787,17802,blue
AmaNEk,hades,20733,20754,119,126,2351898_128353_g2-vs-ence-m3-dust2_5f2f16a6-292a-11ec-8e27-0a58a9feac02.dem,2,17966,17986,redBlue
AmaNEk,Snappi,20734,20754,119,122,2351898_128353_g2-vs-ence-m3-dust2_5f2f16a6-292a-11ec-8e27-0a58a9feac02.dem,2,17967,17986,greenBlue
AmaNEk,Snappi,21044,21071,119,122,2351898_128353_g2-vs-ence-m3-dust2_5f2f16a6-292a-11ec-8e27-0a58a9feac02.dem,2,18258,18283,greenBlue
AmaNEk,dycha,21044,21069,119,125,2351898_128353_g2-vs-ence-m3-dust2_5f2f16a6-292a-11ec-8e27-0a58a9feac02.dem,2,18258,18276,blue
AmaNEk,hades,21044,21077,119,126,2351898_128353_g2-vs-ence-m3-dust2_5f2f16a6-292a-11ec-8e27-0a58a9feac02.dem,2,18258,18289,redBlue
AmaNEk,Snappi,21114,21117,119,122,2351898_128353_g2-vs-ence-m3-dust2_5f2f16a6-292a-11ec-8e27-0a58a9feac02.dem,2,18323,18326,greenBlue
AmaNEk,Snappi,21314,21352,119,122,2351898_128353_g2-vs-ence-m3-dust2_5f2f16a6-292a-11ec-8e27-0a58a9feac02.dem,2,18511,18547,greenBlue
AmaNEk,Snappi,21550,21577,119,122,2351898_128353_g2-vs-ence-m3-dust2_5f2f16a6-292a-11ec-8e27-0a58a9feac02.dem,2,18733,18758,greenBlue
AmaNEk,hades,33098,33104,119,126,2351898_128353_g2-vs-ence-m3-dust2_5f2f16a6-292a-11ec-8e27-0a58a9feac02.dem,2,29558,29564,redBlue
AmaNEk,Snappi,36287,36310,119,122,2351898_128353_g2-vs-ence-m3-dust2_5f2f16a6-292a-11ec-8e27-0a58a9feac02.dem,2,32548,32570,greenBlue
AmaNEk,Snappi,36338,36371,119,122,2351898_128353_g2-vs-ence-m3-dust2_5f2f16a6-292a-11ec-8e27-0a58a9feac02.dem,2,32596,32627,greenBlue
AmaNEk,dycha,39077,39108,119,125,2351898_128353_g2-vs-ence-m3-dust2_5f2f16a6-292a-11ec-8e27-0a58a9feac02.dem,2,35164,35193,blue
AmaNEk,dycha,39111,39123,119,125,2351898_128353_g2-vs-ence-m3-dust2_5f2f16a6-292a-11ec-8e27-0a58a9feac02.dem,2,35196,35207,blue
AmaNEk,dycha,44929,44953,119,125,2351898_128353_g2-vs-ence-m3-dust2_5f2f16a6-292a-11ec-8e27-0a58a9feac02.dem,2,40650,40672,blue
AmaNEk,hades,45264,45326,119,126,2351898_128353_g2-vs-ence-m3-dust2_5f2f16a6-292a-11ec-8e27-0a58a9feac02.dem,2,40964,40993,redBlue
AmaNEk,hades,53185,53219,119,126,2351898_128353_g2-vs-ence-m3-dust2_5f2f16a6-292a-11ec-8e27-0a58a9feac02.dem,2,48390,48422,redBlue
AmaNEk,hades,53222,53237,119,126,2351898_128353_g2-vs-ence-m3-dust2_5f2f16a6-292a-11ec-8e27-0a58a9feac02.dem,2,48425,48439,redBlue
AmaNEk,Snappi,53412,53459,119,122,2351898_128353_g2-vs-ence-m3-dust2_5f2f16a6-292a-11ec-8e27-0a58a9feac02.dem,2,48603,48647,greenBlue
AmaNEk,Snappi,71720,71879,119,122,2351898_128353_g2-vs-ence-m3-dust2_5f2f16a6-292a-11ec-8e27-0a58a9feac02.dem,2,65767,65916,greenBlue
AmaNEk,hades,71730,71812,119,126,2351898_128353_g2-vs-ence-m3-dust2_5f2f16a6-292a-11ec-8e27-0a58a9feac02.dem,2,65776,65854,redBlue
AmaNEk,hades,71821,71877,119,126,2351898_128353_g2-vs-ence-m3-dust2_5f2f16a6-292a-11ec-8e27-0a58a9feac02.dem,2,65862,65904,redBlue
AmaNEk,doto,90627,90700,119,124,2351898_128353_g2-vs-ence-m3-dust2_5f2f16a6-292a-11ec-8e27-0a58a9feac02.dem,2,83492,83560,green
AmaNEk,hades,90675,90679,119,126,2351898_128353_g2-vs-ence-m3-dust2_5f2f16a6-292a-11ec-8e27-0a58a9feac02.dem,2,83537,83541,redBlue
AmaNEk,Snappi,90813,90839,119,122,2351898_128353_g2-vs-ence-m3-dust2_5f2f16a6-292a-11ec-8e27-0a58a9feac02.dem,2,83666,83691,greenBlue
AmaNEk,hades,100258,100356,119,126,2351898_128353_g2-vs-ence-m3-dust2_5f2f16a6-292a-11ec-8e27-0a58a9feac02.dem,2,92521,92613,redBlue
AmaNEk,dycha,117547,117554,119,125,2351898_128353_g2-vs-ence-m3-dust2_5f2f16a6-292a-11ec-8e27-0a58a9feac02.dem,2,108729,108736,blue
AmaNEk,hades,117567,117599,119,126,2351898_128353_g2-vs-ence-m3-dust2_5f2f16a6-292a-11ec-8e27-0a58a9feac02.dem,2,108748,108778,redBlue
AmaNEk,hades,122491,122540,119,126,2351898_128353_g2-vs-ence-m3-dust2_5f2f16a6-292a-11ec-8e27-0a58a9feac02.dem,2,113364,113410,redBlue
AmaNEk,Snappi,125847,125870,119,122,2351898_128353_g2-vs-ence-m3-dust2_5f2f16a6-292a-11ec-8e27-0a58a9feac02.dem,2,116511,116532,greenBlue
AmaNEk,doto,127991,128036,119,124,2351898_128353_g2-vs-ence-m3-dust2_5f2f16a6-292a-11ec-8e27-0a58a9feac02.dem,2,118521,118532,green
AmaNEk,doto,128052,128079,119,124,2351898_128353_g2-vs-ence-m3-dust2_5f2f16a6-292a-11ec-8e27-0a58a9feac02.dem,2,118578,118604,green
