spotter,spotted,start_game_tick,end_game_tick,spotter_id,spotted_id,demo,hacking,start_frame_num,end_frame_num,color
JACKZ,hades,5526,5548,120,126,2351898_128353_g2-vs-ence-m3-dust2_5f2f16a6-292a-11ec-8e27-0a58a9feac02.dem,0,3703,3724,redBlue
JACKZ,Spinx,7555,7642,120,123,2351898_128353_g2-vs-ence-m3-dust2_5f2f16a6-292a-11ec-8e27-0a58a9feac02.dem,0,5605,5687,red
JACKZ,doto,7778,7873,120,124,2351898_128353_g2-vs-ence-m3-dust2_5f2f16a6-292a-11ec-8e27-0a58a9feac02.dem,0,5814,5903,green
JACKZ,hades,9128,9161,120,126,2351898_128353_g2-vs-ence-m3-dust2_5f2f16a6-292a-11ec-8e27-0a58a9feac02.dem,0,7080,7111,redBlue
JACKZ,dycha,12030,12069,120,125,2351898_128353_g2-vs-ence-m3-dust2_5f2f16a6-292a-11ec-8e27-0a58a9feac02.dem,0,9800,9837,blue
JACKZ,doto,28499,28554,120,124,2351898_128353_g2-vs-ence-m3-dust2_5f2f16a6-292a-11ec-8e27-0a58a9feac02.dem,0,25240,25292,green
JACKZ,Snappi,33326,33340,120,122,2351898_128353_g2-vs-ence-m3-dust2_5f2f16a6-292a-11ec-8e27-0a58a9feac02.dem,0,29765,29779,greenBlue
JACKZ,hades,33509,33531,120,126,2351898_128353_g2-vs-ence-m3-dust2_5f2f16a6-292a-11ec-8e27-0a58a9feac02.dem,0,29937,29957,redBlue
JACKZ,hades,34223,34247,120,126,2351898_128353_g2-vs-ence-m3-dust2_5f2f16a6-292a-11ec-8e27-0a58a9feac02.dem,0,30606,30629,redBlue
JACKZ,hades,36734,36748,120,126,2351898_128353_g2-vs-ence-m3-dust2_5f2f16a6-292a-11ec-8e27-0a58a9feac02.dem,0,32960,32973,redBlue
JACKZ,hades,36807,36827,120,126,2351898_128353_g2-vs-ence-m3-dust2_5f2f16a6-292a-11ec-8e27-0a58a9feac02.dem,0,33029,33047,redBlue
JACKZ,hades,37122,37133,120,126,2351898_128353_g2-vs-ence-m3-dust2_5f2f16a6-292a-11ec-8e27-0a58a9feac02.dem,0,33324,33334,redBlue
JACKZ,hades,37202,37216,120,126,2351898_128353_g2-vs-ence-m3-dust2_5f2f16a6-292a-11ec-8e27-0a58a9feac02.dem,0,33399,33412,redBlue
JACKZ,Spinx,41186,41259,120,123,2351898_128353_g2-vs-ence-m3-dust2_5f2f16a6-292a-11ec-8e27-0a58a9feac02.dem,0,37134,37203,red
JACKZ,Snappi,53754,53761,120,122,2351898_128353_g2-vs-ence-m3-dust2_5f2f16a6-292a-11ec-8e27-0a58a9feac02.dem,0,48917,48923,greenBlue
JACKZ,Snappi,53839,53847,120,122,2351898_128353_g2-vs-ence-m3-dust2_5f2f16a6-292a-11ec-8e27-0a58a9feac02.dem,0,48997,49004,greenBlue
JACKZ,doto,69688,69793,120,124,2351898_128353_g2-vs-ence-m3-dust2_5f2f16a6-292a-11ec-8e27-0a58a9feac02.dem,0,63855,63954,green
JACKZ,doto,90649,90720,120,124,2351898_128353_g2-vs-ence-m3-dust2_5f2f16a6-292a-11ec-8e27-0a58a9feac02.dem,0,83506,83573,green
JACKZ,hades,90766,90786,120,126,2351898_128353_g2-vs-ence-m3-dust2_5f2f16a6-292a-11ec-8e27-0a58a9feac02.dem,0,83616,83634,redBlue
JACKZ,Snappi,90815,90839,120,122,2351898_128353_g2-vs-ence-m3-dust2_5f2f16a6-292a-11ec-8e27-0a58a9feac02.dem,0,83662,83685,greenBlue
JACKZ,doto,91058,91113,120,124,2351898_128353_g2-vs-ence-m3-dust2_5f2f16a6-292a-11ec-8e27-0a58a9feac02.dem,0,83890,83941,green
JACKZ,dycha,92604,92751,120,125,2351898_128353_g2-vs-ence-m3-dust2_5f2f16a6-292a-11ec-8e27-0a58a9feac02.dem,0,85339,85449,blue
JACKZ,dycha,94744,94800,120,125,2351898_128353_g2-vs-ence-m3-dust2_5f2f16a6-292a-11ec-8e27-0a58a9feac02.dem,0,87345,87397,blue
JACKZ,Spinx,95462,95476,120,123,2351898_128353_g2-vs-ence-m3-dust2_5f2f16a6-292a-11ec-8e27-0a58a9feac02.dem,0,88018,88031,red
JACKZ,dycha,95470,95476,120,125,2351898_128353_g2-vs-ence-m3-dust2_5f2f16a6-292a-11ec-8e27-0a58a9feac02.dem,0,88026,88031,blue
JACKZ,Spinx,95479,95642,120,123,2351898_128353_g2-vs-ence-m3-dust2_5f2f16a6-292a-11ec-8e27-0a58a9feac02.dem,0,88034,88187,red
JACKZ,hades,95479,95484,120,126,2351898_128353_g2-vs-ence-m3-dust2_5f2f16a6-292a-11ec-8e27-0a58a9feac02.dem,0,88034,88039,redBlue
JACKZ,dycha,95481,95504,120,125,2351898_128353_g2-vs-ence-m3-dust2_5f2f16a6-292a-11ec-8e27-0a58a9feac02.dem,0,88036,88058,blue
JACKZ,hades,95501,95530,120,126,2351898_128353_g2-vs-ence-m3-dust2_5f2f16a6-292a-11ec-8e27-0a58a9feac02.dem,0,88055,88082,redBlue
JACKZ,dycha,95511,95515,120,125,2351898_128353_g2-vs-ence-m3-dust2_5f2f16a6-292a-11ec-8e27-0a58a9feac02.dem,0,88064,88068,blue
JACKZ,dycha,95904,95908,120,125,2351898_128353_g2-vs-ence-m3-dust2_5f2f16a6-292a-11ec-8e27-0a58a9feac02.dem,0,88433,88436,blue
JACKZ,dycha,95934,95955,120,125,2351898_128353_g2-vs-ence-m3-dust2_5f2f16a6-292a-11ec-8e27-0a58a9feac02.dem,0,88461,88481,blue
JACKZ,dycha,119068,119145,120,125,2351898_128353_g2-vs-ence-m3-dust2_5f2f16a6-292a-11ec-8e27-0a58a9feac02.dem,0,110148,110221,blue
JACKZ,Snappi,134619,134718,120,122,2351898_128353_g2-vs-ence-m3-dust2_5f2f16a6-292a-11ec-8e27-0a58a9feac02.dem,0,124728,124821,greenBlue
JACKZ,Spinx,157625,157679,120,123,2351898_128353_g2-vs-ence-m3-dust2_5f2f16a6-292a-11ec-8e27-0a58a9feac02.dem,0,146296,146347,red
JACKZ,Spinx,157752,157787,120,123,2351898_128353_g2-vs-ence-m3-dust2_5f2f16a6-292a-11ec-8e27-0a58a9feac02.dem,0,146415,146448,red
