spotter,spotted,start_game_tick,end_game_tick,spotter_id,spotted_id,demo,hacking,start_frame_num,end_frame_num,color
Snappi,AmaNEk,4529,4553,122,119,2351898_128353_g2-vs-ence-m3-dust2_5f2f16a6-292a-11ec-8e27-0a58a9feac02.dem,2,2774,2797,blue
Snappi,nexa,7286,7377,122,128,2351898_128353_g2-vs-ence-m3-dust2_5f2f16a6-292a-11ec-8e27-0a58a9feac02.dem,2,5359,5445,green
Snappi,AmaNEk,21041,21067,122,119,2351898_128353_g2-vs-ence-m3-dust2_5f2f16a6-292a-11ec-8e27-0a58a9feac02.dem,2,18254,18279,blue
Snappi,AmaNEk,21101,21131,122,119,2351898_128353_g2-vs-ence-m3-dust2_5f2f16a6-292a-11ec-8e27-0a58a9feac02.dem,2,18310,18339,blue
Snappi,AmaNEk,21318,21343,122,119,2351898_128353_g2-vs-ence-m3-dust2_5f2f16a6-292a-11ec-8e27-0a58a9feac02.dem,2,18514,18537,blue
Snappi,AmaNEk,21549,21576,122,119,2351898_128353_g2-vs-ence-m3-dust2_5f2f16a6-292a-11ec-8e27-0a58a9feac02.dem,2,18730,18756,blue
Snappi,nexa,28083,28121,122,128,2351898_128353_g2-vs-ence-m3-dust2_5f2f16a6-292a-11ec-8e27-0a58a9feac02.dem,2,24856,24892,green
Snappi,nexa,28124,28157,122,128,2351898_128353_g2-vs-ence-m3-dust2_5f2f16a6-292a-11ec-8e27-0a58a9feac02.dem,2,24895,24926,green
Snappi,nexa,28290,28321,122,128,2351898_128353_g2-vs-ence-m3-dust2_5f2f16a6-292a-11ec-8e27-0a58a9feac02.dem,2,25050,25079,green
Snappi,nexa,28324,28361,122,128,2351898_128353_g2-vs-ence-m3-dust2_5f2f16a6-292a-11ec-8e27-0a58a9feac02.dem,2,25082,25117,green
Snappi,nexa,28581,28599,122,128,2351898_128353_g2-vs-ence-m3-dust2_5f2f16a6-292a-11ec-8e27-0a58a9feac02.dem,2,25323,25340,green
Snappi,nexa,29253,29278,122,128,2351898_128353_g2-vs-ence-m3-dust2_5f2f16a6-292a-11ec-8e27-0a58a9feac02.dem,2,25953,25976,green
Snappi,nexa,29298,29352,122,128,2351898_128353_g2-vs-ence-m3-dust2_5f2f16a6-292a-11ec-8e27-0a58a9feac02.dem,2,25995,26046,green
Snappi,JACKZ,33225,33250,122,120,2351898_128353_g2-vs-ence-m3-dust2_5f2f16a6-292a-11ec-8e27-0a58a9feac02.dem,2,29677,29700,red
Snappi,JACKZ,33319,33360,122,120,2351898_128353_g2-vs-ence-m3-dust2_5f2f16a6-292a-11ec-8e27-0a58a9feac02.dem,2,29765,29803,red
Snappi,AmaNEk,36295,36322,122,119,2351898_128353_g2-vs-ence-m3-dust2_5f2f16a6-292a-11ec-8e27-0a58a9feac02.dem,2,32555,32581,blue
