spotter,spotted,start_game_tick,end_game_tick,spotter_id,spotted_id,demo,hacking,start_frame_num,end_frame_num,color
REZ,Ax1Le,2219,2253,133,129,2352501_129549_nip-vs-gambit-m1-dust2_f47b6c3a-3c05-11ec-be9d-0a58a9feac02.dem,2,1571,1602,red
REZ,HObbit,4305,4339,133,130,2352501_129549_nip-vs-gambit-m1-dust2_f47b6c3a-3c05-11ec-be9d-0a58a9feac02.dem,2,3527,3558,greenBlue
REZ,HObbit,4450,4471,133,130,2352501_129549_nip-vs-gambit-m1-dust2_f47b6c3a-3c05-11ec-be9d-0a58a9feac02.dem,2,3662,3682,greenBlue
REZ,HObbit,4554,4587,133,130,2352501_129549_nip-vs-gambit-m1-dust2_f47b6c3a-3c05-11ec-be9d-0a58a9feac02.dem,2,3760,3796,greenBlue
REZ,HObbit,8964,9107,133,130,2352501_129549_nip-vs-gambit-m1-dust2_f47b6c3a-3c05-11ec-be9d-0a58a9feac02.dem,2,7894,8028,greenBlue
REZ,HObbit,9110,9120,133,130,2352501_129549_nip-vs-gambit-m1-dust2_f47b6c3a-3c05-11ec-be9d-0a58a9feac02.dem,2,8031,8041,greenBlue
REZ,HObbit,23700,23826,133,130,2352501_129549_nip-vs-gambit-m1-dust2_f47b6c3a-3c05-11ec-be9d-0a58a9feac02.dem,2,21709,21828,greenBlue
REZ,nafany,23700,23780,133,137,2352501_129549_nip-vs-gambit-m1-dust2_f47b6c3a-3c05-11ec-be9d-0a58a9feac02.dem,2,21709,21784,redBlue
REZ,interz,23759,23763,133,136,2352501_129549_nip-vs-gambit-m1-dust2_f47b6c3a-3c05-11ec-be9d-0a58a9feac02.dem,2,21765,21769,blue
REZ,interz,23768,23776,133,136,2352501_129549_nip-vs-gambit-m1-dust2_f47b6c3a-3c05-11ec-be9d-0a58a9feac02.dem,2,21773,21777,blue
REZ,nafany,33844,33922,133,137,2352501_129549_nip-vs-gambit-m1-dust2_f47b6c3a-3c05-11ec-be9d-0a58a9feac02.dem,2,31219,31292,redBlue
REZ,interz,34075,34150,133,136,2352501_129549_nip-vs-gambit-m1-dust2_f47b6c3a-3c05-11ec-be9d-0a58a9feac02.dem,2,31436,31506,blue
REZ,Ax1Le,34746,34775,133,129,2352501_129549_nip-vs-gambit-m1-dust2_f47b6c3a-3c05-11ec-be9d-0a58a9feac02.dem,2,32065,32092,red
REZ,sh1ro,35705,35832,133,138,2352501_129549_nip-vs-gambit-m1-dust2_f47b6c3a-3c05-11ec-be9d-0a58a9feac02.dem,2,32964,33083,green
REZ,HObbit,38139,38155,133,130,2352501_129549_nip-vs-gambit-m1-dust2_f47b6c3a-3c05-11ec-be9d-0a58a9feac02.dem,2,35246,35261,greenBlue
REZ,HObbit,38178,38197,133,130,2352501_129549_nip-vs-gambit-m1-dust2_f47b6c3a-3c05-11ec-be9d-0a58a9feac02.dem,2,35282,35300,greenBlue
REZ,Ax1Le,38959,38996,133,129,2352501_129549_nip-vs-gambit-m1-dust2_f47b6c3a-3c05-11ec-be9d-0a58a9feac02.dem,2,36014,36049,red
REZ,sh1ro,39327,39481,133,138,2352501_129549_nip-vs-gambit-m1-dust2_f47b6c3a-3c05-11ec-be9d-0a58a9feac02.dem,2,36360,36504,green
REZ,nafany,67083,67092,133,137,2352501_129549_nip-vs-gambit-m1-dust2_f47b6c3a-3c05-11ec-be9d-0a58a9feac02.dem,2,62380,62389,redBlue
REZ,nafany,70581,70676,133,137,2352501_129549_nip-vs-gambit-m1-dust2_f47b6c3a-3c05-11ec-be9d-0a58a9feac02.dem,2,65660,65749,redBlue
REZ,sh1ro,74144,74165,133,138,2352501_129549_nip-vs-gambit-m1-dust2_f47b6c3a-3c05-11ec-be9d-0a58a9feac02.dem,2,69000,69020,green
REZ,sh1ro,74293,74418,133,138,2352501_129549_nip-vs-gambit-m1-dust2_f47b6c3a-3c05-11ec-be9d-0a58a9feac02.dem,2,69140,69258,green
REZ,interz,74391,74511,133,136,2352501_129549_nip-vs-gambit-m1-dust2_f47b6c3a-3c05-11ec-be9d-0a58a9feac02.dem,2,69232,69345,blue
