spotter,spotted,start_game_tick,end_game_tick,spotter_id,spotted_id,demo,hacking,start_frame_num,end_frame_num,color
interz,dev1ce,1405,1411,136,134,2352501_129549_nip-vs-gambit-m1-dust2_f47b6c3a-3c05-11ec-be9d-0a58a9feac02.dem,2,807,813,red
interz,LNZ,1406,1502,136,131,2352501_129549_nip-vs-gambit-m1-dust2_f47b6c3a-3c05-11ec-be9d-0a58a9feac02.dem,2,808,898,redBlue
interz,dev1ce,1502,1530,136,134,2352501_129549_nip-vs-gambit-m1-dust2_f47b6c3a-3c05-11ec-be9d-0a58a9feac02.dem,2,898,925,red
interz,Plopski,1508,1530,136,132,2352501_129549_nip-vs-gambit-m1-dust2_f47b6c3a-3c05-11ec-be9d-0a58a9feac02.dem,2,904,925,green
interz,dev1ce,1686,1697,136,134,2352501_129549_nip-vs-gambit-m1-dust2_f47b6c3a-3c05-11ec-be9d-0a58a9feac02.dem,2,1071,1081,red
interz,hampus,3324,3333,136,135,2352501_129549_nip-vs-gambit-m1-dust2_f47b6c3a-3c05-11ec-be9d-0a58a9feac02.dem,2,2606,2615,greenBlue
interz,hampus,3406,3422,136,135,2352501_129549_nip-vs-gambit-m1-dust2_f47b6c3a-3c05-11ec-be9d-0a58a9feac02.dem,2,2683,2698,greenBlue
interz,hampus,12332,12336,136,135,2352501_129549_nip-vs-gambit-m1-dust2_f47b6c3a-3c05-11ec-be9d-0a58a9feac02.dem,2,11052,11056,greenBlue
interz,hampus,12618,12708,136,135,2352501_129549_nip-vs-gambit-m1-dust2_f47b6c3a-3c05-11ec-be9d-0a58a9feac02.dem,2,11320,11404,greenBlue
interz,hampus,12729,12798,136,135,2352501_129549_nip-vs-gambit-m1-dust2_f47b6c3a-3c05-11ec-be9d-0a58a9feac02.dem,2,11424,11488,greenBlue
interz,hampus,12899,12955,136,135,2352501_129549_nip-vs-gambit-m1-dust2_f47b6c3a-3c05-11ec-be9d-0a58a9feac02.dem,2,11583,11636,greenBlue
interz,Plopski,13457,13490,136,132,2352501_129549_nip-vs-gambit-m1-dust2_f47b6c3a-3c05-11ec-be9d-0a58a9feac02.dem,2,12106,12137,green
interz,Plopski,13507,13565,136,132,2352501_129549_nip-vs-gambit-m1-dust2_f47b6c3a-3c05-11ec-be9d-0a58a9feac02.dem,2,12153,12208,green
interz,Plopski,13597,13666,136,132,2352501_129549_nip-vs-gambit-m1-dust2_f47b6c3a-3c05-11ec-be9d-0a58a9feac02.dem,2,12238,12302,green
interz,hampus,24854,24909,136,135,2352501_129549_nip-vs-gambit-m1-dust2_f47b6c3a-3c05-11ec-be9d-0a58a9feac02.dem,2,22791,22843,greenBlue
interz,REZ,34077,34154,136,133,2352501_129549_nip-vs-gambit-m1-dust2_f47b6c3a-3c05-11ec-be9d-0a58a9feac02.dem,2,31437,31510,blue
interz,LNZ,72954,73103,136,131,2352501_129549_nip-vs-gambit-m1-dust2_f47b6c3a-3c05-11ec-be9d-0a58a9feac02.dem,2,67884,68024,redBlue
interz,REZ,74395,74510,136,133,2352501_129549_nip-vs-gambit-m1-dust2_f47b6c3a-3c05-11ec-be9d-0a58a9feac02.dem,2,69236,69345,blue
interz,LNZ,87400,87455,136,131,2352501_129549_nip-vs-gambit-m1-dust2_f47b6c3a-3c05-11ec-be9d-0a58a9feac02.dem,2,81428,81480,redBlue
interz,LNZ,87491,87508,136,131,2352501_129549_nip-vs-gambit-m1-dust2_f47b6c3a-3c05-11ec-be9d-0a58a9feac02.dem,2,81513,81529,redBlue
interz,LNZ,87511,87516,136,131,2352501_129549_nip-vs-gambit-m1-dust2_f47b6c3a-3c05-11ec-be9d-0a58a9feac02.dem,2,81532,81537,redBlue
interz,LNZ,87555,87644,136,131,2352501_129549_nip-vs-gambit-m1-dust2_f47b6c3a-3c05-11ec-be9d-0a58a9feac02.dem,2,81573,81657,redBlue
interz,Plopski,102000,102011,136,132,2352501_129549_nip-vs-gambit-m1-dust2_f47b6c3a-3c05-11ec-be9d-0a58a9feac02.dem,2,95115,95126,green
interz,LNZ,106037,106109,136,131,2352501_129549_nip-vs-gambit-m1-dust2_f47b6c3a-3c05-11ec-be9d-0a58a9feac02.dem,2,98900,98967,redBlue
interz,hampus,122434,122449,136,135,2352501_129549_nip-vs-gambit-m1-dust2_f47b6c3a-3c05-11ec-be9d-0a58a9feac02.dem,2,114272,114286,greenBlue
interz,hampus,122476,122498,136,135,2352501_129549_nip-vs-gambit-m1-dust2_f47b6c3a-3c05-11ec-be9d-0a58a9feac02.dem,2,114311,114332,greenBlue
interz,hampus,122512,122523,136,135,2352501_129549_nip-vs-gambit-m1-dust2_f47b6c3a-3c05-11ec-be9d-0a58a9feac02.dem,2,114345,114356,greenBlue
interz,REZ,155941,155964,136,133,2352501_129549_nip-vs-gambit-m1-dust2_f47b6c3a-3c05-11ec-be9d-0a58a9feac02.dem,2,145685,145706,blue
interz,REZ,156263,156316,136,133,2352501_129549_nip-vs-gambit-m1-dust2_f47b6c3a-3c05-11ec-be9d-0a58a9feac02.dem,2,145987,146036,blue
