spotter,spotted,start_game_tick,end_game_tick,spotter_id,spotted_id,demo,hacking,start_frame_num,end_frame_num,color
sh1ro,Plopski,2332,2367,138,132,2352501_129549_nip-vs-gambit-m1-dust2_f47b6c3a-3c05-11ec-be9d-0a58a9feac02.dem,2,1673,1705,green
sh1ro,Plopski,2581,2711,138,132,2352501_129549_nip-vs-gambit-m1-dust2_f47b6c3a-3c05-11ec-be9d-0a58a9feac02.dem,2,1906,2029,green
sh1ro,dev1ce,10009,10052,138,134,2352501_129549_nip-vs-gambit-m1-dust2_f47b6c3a-3c05-11ec-be9d-0a58a9feac02.dem,2,8870,8910,red
sh1ro,dev1ce,10059,10066,138,134,2352501_129549_nip-vs-gambit-m1-dust2_f47b6c3a-3c05-11ec-be9d-0a58a9feac02.dem,2,8917,8923,red
sh1ro,Plopski,13488,13570,138,132,2352501_129549_nip-vs-gambit-m1-dust2_f47b6c3a-3c05-11ec-be9d-0a58a9feac02.dem,2,12131,12209,green
sh1ro,hampus,34592,34625,138,135,2352501_129549_nip-vs-gambit-m1-dust2_f47b6c3a-3c05-11ec-be9d-0a58a9feac02.dem,2,31916,31948,greenBlue
sh1ro,REZ,34777,34795,138,133,2352501_129549_nip-vs-gambit-m1-dust2_f47b6c3a-3c05-11ec-be9d-0a58a9feac02.dem,2,32090,32107,blue
sh1ro,REZ,35614,35820,138,133,2352501_129549_nip-vs-gambit-m1-dust2_f47b6c3a-3c05-11ec-be9d-0a58a9feac02.dem,2,32875,33068,blue
sh1ro,Plopski,36847,36878,138,132,2352501_129549_nip-vs-gambit-m1-dust2_f47b6c3a-3c05-11ec-be9d-0a58a9feac02.dem,2,34030,34059,green
sh1ro,REZ,39330,39479,138,133,2352501_129549_nip-vs-gambit-m1-dust2_f47b6c3a-3c05-11ec-be9d-0a58a9feac02.dem,2,36358,36498,blue
sh1ro,LNZ,44278,44377,138,131,2352501_129549_nip-vs-gambit-m1-dust2_f47b6c3a-3c05-11ec-be9d-0a58a9feac02.dem,2,40997,41090,redBlue
sh1ro,dev1ce,45166,45175,138,134,2352501_129549_nip-vs-gambit-m1-dust2_f47b6c3a-3c05-11ec-be9d-0a58a9feac02.dem,2,41829,41838,red
sh1ro,dev1ce,48027,48053,138,134,2352501_129549_nip-vs-gambit-m1-dust2_f47b6c3a-3c05-11ec-be9d-0a58a9feac02.dem,2,44512,44536,red
sh1ro,Plopski,48450,48494,138,132,2352501_129549_nip-vs-gambit-m1-dust2_f47b6c3a-3c05-11ec-be9d-0a58a9feac02.dem,2,44909,44950,green
sh1ro,Plopski,48553,48643,138,132,2352501_129549_nip-vs-gambit-m1-dust2_f47b6c3a-3c05-11ec-be9d-0a58a9feac02.dem,2,45005,45089,green
sh1ro,Plopski,48847,48885,138,132,2352501_129549_nip-vs-gambit-m1-dust2_f47b6c3a-3c05-11ec-be9d-0a58a9feac02.dem,2,45281,45316,green
sh1ro,hampus,66429,66454,138,135,2352501_129549_nip-vs-gambit-m1-dust2_f47b6c3a-3c05-11ec-be9d-0a58a9feac02.dem,2,61764,61787,greenBlue
sh1ro,hampus,66486,66513,138,135,2352501_129549_nip-vs-gambit-m1-dust2_f47b6c3a-3c05-11ec-be9d-0a58a9feac02.dem,2,61817,61843,greenBlue
sh1ro,Plopski,71049,71171,138,132,2352501_129549_nip-vs-gambit-m1-dust2_f47b6c3a-3c05-11ec-be9d-0a58a9feac02.dem,2,66095,66210,green
sh1ro,dev1ce,71873,71911,138,134,2352501_129549_nip-vs-gambit-m1-dust2_f47b6c3a-3c05-11ec-be9d-0a58a9feac02.dem,2,66867,66903,red
sh1ro,REZ,74316,74391,138,133,2352501_129549_nip-vs-gambit-m1-dust2_f47b6c3a-3c05-11ec-be9d-0a58a9feac02.dem,2,69158,69228,blue
sh1ro,REZ,86560,86591,138,133,2352501_129549_nip-vs-gambit-m1-dust2_f47b6c3a-3c05-11ec-be9d-0a58a9feac02.dem,2,80636,80666,blue
sh1ro,REZ,86594,86618,138,133,2352501_129549_nip-vs-gambit-m1-dust2_f47b6c3a-3c05-11ec-be9d-0a58a9feac02.dem,2,80669,80691,blue
sh1ro,LNZ,87473,87483,138,131,2352501_129549_nip-vs-gambit-m1-dust2_f47b6c3a-3c05-11ec-be9d-0a58a9feac02.dem,2,81493,81502,redBlue
sh1ro,LNZ,87516,87550,138,131,2352501_129549_nip-vs-gambit-m1-dust2_f47b6c3a-3c05-11ec-be9d-0a58a9feac02.dem,2,81533,81564,redBlue
sh1ro,LNZ,87560,87630,138,131,2352501_129549_nip-vs-gambit-m1-dust2_f47b6c3a-3c05-11ec-be9d-0a58a9feac02.dem,2,81574,81640,redBlue
sh1ro,LNZ,87649,87737,138,131,2352501_129549_nip-vs-gambit-m1-dust2_f47b6c3a-3c05-11ec-be9d-0a58a9feac02.dem,2,81657,81740,redBlue
sh1ro,dev1ce,88736,88752,138,134,2352501_129549_nip-vs-gambit-m1-dust2_f47b6c3a-3c05-11ec-be9d-0a58a9feac02.dem,2,82676,82692,red
sh1ro,hampus,89244,89282,138,135,2352501_129549_nip-vs-gambit-m1-dust2_f47b6c3a-3c05-11ec-be9d-0a58a9feac02.dem,2,83153,83189,greenBlue
