spotter,spotted,start_game_tick,end_game_tick,spotter_id,spotted_id,demo,hacking,start_frame_num,end_frame_num,color
EPSILON G[M]X * Nike,Ex6TenZ,62888,62913,47,52,319_titan-epsilon_de_dust2.dem,2,721,733,green
EPSILON G[M]X * Nike,kennyS,62929,63044,47,56,319_titan-epsilon_de_dust2.dem,2,740,794,greenBlue
EPSILON G[M]X * Nike,apEX[D],62948,62965,47,55,319_titan-epsilon_de_dust2.dem,2,749,757,red
EPSILON G[M]X * Nike,KQLY,63044,63074,47,53,319_titan-epsilon_de_dust2.dem,2,794,808,redBlue
EPSILON G[M]X * Nike,Ex6TenZ,63078,63108,47,52,319_titan-epsilon_de_dust2.dem,2,810,824,green
EPSILON G[M]X * Nike,Ex6TenZ,63185,63208,47,52,319_titan-epsilon_de_dust2.dem,2,860,871,green
EPSILON G[M]X * Nike,KQLY,63199,63304,47,53,319_titan-epsilon_de_dust2.dem,2,867,916,redBlue
EPSILON G[M]X * Nike,KQLY,63349,63415,47,53,319_titan-epsilon_de_dust2.dem,2,937,968,redBlue
EPSILON G[M]X * Nike,KQLY,63462,63624,47,53,319_titan-epsilon_de_dust2.dem,2,990,1066,redBlue
EPSILON G[M]X * Nike,KQLY,63630,63645,47,53,319_titan-epsilon_de_dust2.dem,2,1069,1076,redBlue
EPSILON G[M]X * Nike,kennyS,63835,63935,47,56,319_titan-epsilon_de_dust2.dem,2,1165,1212,greenBlue
EPSILON G[M]X * Nike,Ex6TenZ,65132,65160,47,52,319_titan-epsilon_de_dust2.dem,2,1773,1786,green
EPSILON G[M]X * Nike,Maniac,70481,70593,47,54,319_titan-epsilon_de_dust2.dem,2,4280,4333,blue
EPSILON G[M]X * Nike,kennyS,70918,71129,47,56,319_titan-epsilon_de_dust2.dem,2,4485,4584,greenBlue
EPSILON G[M]X * Nike,KQLY,70948,71451,47,53,319_titan-epsilon_de_dust2.dem,2,4499,4735,redBlue
EPSILON G[M]X * Nike,kennyS,71135,71142,47,56,319_titan-epsilon_de_dust2.dem,2,4587,4590,greenBlue
EPSILON G[M]X * Nike,apEX[D],79786,79805,47,55,319_titan-epsilon_de_dust2.dem,2,8642,8651,red
EPSILON G[M]X * Nike,Ex6TenZ,79818,79842,47,52,319_titan-epsilon_de_dust2.dem,2,8657,8668,green
EPSILON G[M]X * Nike,kennyS,79948,79963,47,56,319_titan-epsilon_de_dust2.dem,2,8718,8725,greenBlue
EPSILON G[M]X * Nike,KQLY,86404,86408,47,53,319_titan-epsilon_de_dust2.dem,2,11744,11746,redBlue
EPSILON G[M]X * Nike,KQLY,93798,93968,47,53,319_titan-epsilon_de_dust2.dem,2,15210,15290,redBlue
EPSILON G[M]X * Nike,apEX[D],96834,96863,47,55,319_titan-epsilon_de_dust2.dem,2,16633,16647,red
EPSILON G[M]X * Nike,Maniac,101787,101815,47,54,319_titan-epsilon_de_dust2.dem,2,18955,18968,blue
EPSILON G[M]X * Nike,KQLY,101847,101892,47,53,319_titan-epsilon_de_dust2.dem,2,18983,19004,redBlue
EPSILON G[M]X * Nike,Maniac,101873,101892,47,54,319_titan-epsilon_de_dust2.dem,2,18995,19004,blue
EPSILON G[M]X * Nike,KQLY,101909,101935,47,53,319_titan-epsilon_de_dust2.dem,2,19012,19024,redBlue
EPSILON G[M]X * Nike,KQLY,102007,102063,47,53,319_titan-epsilon_de_dust2.dem,2,19058,19084,redBlue
EPSILON G[M]X * Nike,KQLY,102487,102535,47,53,319_titan-epsilon_de_dust2.dem,2,19283,19306,redBlue
EPSILON G[M]X * Nike,kennyS,103669,103727,47,56,319_titan-epsilon_de_dust2.dem,2,19837,19864,greenBlue
EPSILON G[M]X * Nike,Maniac,103680,103686,47,54,319_titan-epsilon_de_dust2.dem,2,19842,19845,blue
EPSILON G[M]X * Nike,kennyS,103759,103844,47,56,319_titan-epsilon_de_dust2.dem,2,19879,19919,greenBlue
EPSILON G[M]X * Nike,kennyS,103923,103927,47,56,319_titan-epsilon_de_dust2.dem,2,19956,19958,greenBlue
EPSILON G[M]X * Nike,kennyS,104008,104051,47,56,319_titan-epsilon_de_dust2.dem,2,19996,20016,greenBlue
EPSILON G[M]X * Nike,kennyS,104055,104059,47,56,319_titan-epsilon_de_dust2.dem,2,20018,20020,greenBlue
EPSILON G[M]X * Nike,KQLY,108057,108089,47,53,319_titan-epsilon_de_dust2.dem,2,21894,21909,redBlue
EPSILON G[M]X * Nike,KQLY,108217,108255,47,53,319_titan-epsilon_de_dust2.dem,2,21969,21987,redBlue
EPSILON G[M]X * Nike,KQLY,108362,108431,47,53,319_titan-epsilon_de_dust2.dem,2,22037,22069,redBlue
EPSILON G[M]X * Nike,KQLY,108486,108490,47,53,319_titan-epsilon_de_dust2.dem,2,22095,22097,redBlue
EPSILON G[M]X * Nike,Maniac,108958,108983,47,54,319_titan-epsilon_de_dust2.dem,2,22316,22328,blue
EPSILON G[M]X * Nike,Maniac,108987,109124,47,54,319_titan-epsilon_de_dust2.dem,2,22330,22394,blue
EPSILON G[M]X * Nike,apEX[D],110318,110393,47,55,319_titan-epsilon_de_dust2.dem,2,22954,22989,red
EPSILON G[M]X * Nike,Ex6TenZ,111930,112019,47,52,319_titan-epsilon_de_dust2.dem,2,23709,23751,green
EPSILON G[M]X * Nike,apEX[D],117423,117441,47,55,319_titan-epsilon_de_dust2.dem,2,26284,26293,red
EPSILON G[M]X * Nike,apEX[D],117516,117544,47,55,319_titan-epsilon_de_dust2.dem,2,26328,26341,red
EPSILON G[M]X * Nike,kennyS,117516,117549,47,56,319_titan-epsilon_de_dust2.dem,2,26328,26343,greenBlue
EPSILON G[M]X * Nike,apEX[D],117768,117902,47,55,319_titan-epsilon_de_dust2.dem,2,26446,26509,red
EPSILON G[M]X * Nike,kennyS,117768,117983,47,56,319_titan-epsilon_de_dust2.dem,2,26446,26547,greenBlue
EPSILON G[M]X * Nike,apEX[D],127204,127233,47,55,319_titan-epsilon_de_dust2.dem,2,30869,30883,red
EPSILON G[M]X * Nike,KQLY,131341,131371,47,53,319_titan-epsilon_de_dust2.dem,2,32808,32822,redBlue
EPSILON G[M]X * Nike,KQLY,131507,131545,47,53,319_titan-epsilon_de_dust2.dem,2,32886,32904,redBlue
EPSILON G[M]X * Nike,kennyS,132204,132385,47,56,319_titan-epsilon_de_dust2.dem,2,33213,33298,greenBlue
EPSILON G[M]X * Nike,apEX[D],132866,132942,47,55,319_titan-epsilon_de_dust2.dem,2,33523,33559,red
EPSILON G[M]X * Nike,apEX[D],132966,132985,47,55,319_titan-epsilon_de_dust2.dem,2,33570,33579,red
EPSILON G[M]X * Nike,apEX[D],133042,133169,47,55,319_titan-epsilon_de_dust2.dem,2,33606,33665,red
EPSILON G[M]X * Nike,apEX[D],133411,133463,47,55,319_titan-epsilon_de_dust2.dem,2,33779,33803,red
