spotter,spotted,start_game_tick,end_game_tick,spotter_id,spotted_id,demo,hacking,start_frame_num,end_frame_num,color
EPSILON MAJ3R,Maniac,64165,64199,48,54,319_titan-epsilon_de_dust2.dem,2,2856,2888,blue
EPSILON MAJ3R,apEX[D],65526,65833,48,55,319_titan-epsilon_de_dust2.dem,2,4132,4420,red
EPSILON MAJ3R,apEX[D],66009,66194,48,55,319_titan-epsilon_de_dust2.dem,2,4584,4758,red
EPSILON MAJ3R,Ex6TenZ,66057,66212,48,52,319_titan-epsilon_de_dust2.dem,2,4629,4775,green
EPSILON MAJ3R,Ex6TenZ,72927,72971,48,52,319_titan-epsilon_de_dust2.dem,2,11070,11112,green
EPSILON MAJ3R,Ex6TenZ,72975,73016,48,52,319_titan-epsilon_de_dust2.dem,2,11115,11154,green
EPSILON MAJ3R,Ex6TenZ,76432,76695,48,52,319_titan-epsilon_de_dust2.dem,2,14356,14603,green
EPSILON MAJ3R,Ex6TenZ,76974,77008,48,52,319_titan-epsilon_de_dust2.dem,2,14864,14896,green
EPSILON MAJ3R,Ex6TenZ,77082,77118,48,52,319_titan-epsilon_de_dust2.dem,2,14965,15000,green
EPSILON MAJ3R,Maniac,80342,80446,48,54,319_titan-epsilon_de_dust2.dem,2,18021,18119,blue
EPSILON MAJ3R,Ex6TenZ,81591,81645,48,52,319_titan-epsilon_de_dust2.dem,2,19192,19243,green
EPSILON MAJ3R,Ex6TenZ,81857,81903,48,52,319_titan-epsilon_de_dust2.dem,2,19441,19485,green
EPSILON MAJ3R,apEX[D],81868,81874,48,55,319_titan-epsilon_de_dust2.dem,2,19452,19457,red
EPSILON MAJ3R,Ex6TenZ,81906,81933,48,52,319_titan-epsilon_de_dust2.dem,2,19488,19513,green
EPSILON MAJ3R,Ex6TenZ,82024,82067,48,52,319_titan-epsilon_de_dust2.dem,2,19599,19639,green
EPSILON MAJ3R,Ex6TenZ,82112,82119,48,52,319_titan-epsilon_de_dust2.dem,2,19681,19687,green
EPSILON MAJ3R,Ex6TenZ,82177,82329,48,52,319_titan-epsilon_de_dust2.dem,2,19742,19885,green
EPSILON MAJ3R,apEX[D],82222,82332,48,55,319_titan-epsilon_de_dust2.dem,2,19784,19887,red
EPSILON MAJ3R,KQLY,85988,87836,48,53,319_titan-epsilon_de_dust2.dem,2,23315,25047,redBlue
EPSILON MAJ3R,Ex6TenZ,87888,87989,48,52,319_titan-epsilon_de_dust2.dem,2,25096,25190,green
EPSILON MAJ3R,KQLY,87952,87968,48,53,319_titan-epsilon_de_dust2.dem,2,25156,25171,redBlue
EPSILON MAJ3R,apEX[D],88194,88260,48,55,319_titan-epsilon_de_dust2.dem,2,25383,25445,red
EPSILON MAJ3R,apEX[D],88293,88314,48,55,319_titan-epsilon_de_dust2.dem,2,25476,25496,red
EPSILON MAJ3R,apEX[D],88356,88390,48,55,319_titan-epsilon_de_dust2.dem,2,25535,25567,red
EPSILON MAJ3R,apEX[D],88479,88538,48,55,319_titan-epsilon_de_dust2.dem,2,25650,25707,red
EPSILON MAJ3R,Maniac,88480,88508,48,54,319_titan-epsilon_de_dust2.dem,2,25651,25678,blue
EPSILON MAJ3R,kennyS,92622,92648,48,56,319_titan-epsilon_de_dust2.dem,2,29534,29559,greenBlue
EPSILON MAJ3R,Ex6TenZ,92627,92646,48,52,319_titan-epsilon_de_dust2.dem,2,29539,29557,green
EPSILON MAJ3R,Ex6TenZ,92697,92796,48,52,319_titan-epsilon_de_dust2.dem,2,29605,29697,green
EPSILON MAJ3R,kennyS,92697,92770,48,56,319_titan-epsilon_de_dust2.dem,2,29605,29673,greenBlue
EPSILON MAJ3R,Ex6TenZ,92832,92921,48,52,319_titan-epsilon_de_dust2.dem,2,29731,29814,green
EPSILON MAJ3R,kennyS,92840,92882,48,56,319_titan-epsilon_de_dust2.dem,2,29739,29778,greenBlue
EPSILON MAJ3R,Ex6TenZ,92930,92961,48,52,319_titan-epsilon_de_dust2.dem,2,29823,29852,green
