spotter,spotted,start_game_tick,end_game_tick,spotter_id,spotted_id,demo,hacking,start_frame_num,end_frame_num,color
EPSILON • SIXER/j/,Ex6TenZ,62890,62922,49,52,319_titan-epsilon_de_dust2.dem,2,1659,1690,green
EPSILON • SIXER/j/,apEX[D],62954,62978,49,55,319_titan-epsilon_de_dust2.dem,2,1719,1742,red
EPSILON • SIXER/j/,kennyS,62969,63093,49,56,319_titan-epsilon_de_dust2.dem,2,1733,1850,greenBlue
EPSILON • SIXER/j/,KQLY,63052,63074,49,53,319_titan-epsilon_de_dust2.dem,2,1811,1832,redBlue
EPSILON • SIXER/j/,Ex6TenZ,63054,63080,49,52,319_titan-epsilon_de_dust2.dem,2,1813,1838,green
EPSILON • SIXER/j/,kennyS,63152,63272,49,56,319_titan-epsilon_de_dust2.dem,2,1905,2018,greenBlue
EPSILON • SIXER/j/,Ex6TenZ,63206,63272,49,52,319_titan-epsilon_de_dust2.dem,2,1956,2018,green
EPSILON • SIXER/j/,KQLY,63206,63215,49,53,319_titan-epsilon_de_dust2.dem,2,1956,1964,redBlue
EPSILON • SIXER/j/,KQLY,63221,63251,49,53,319_titan-epsilon_de_dust2.dem,2,1970,1998,redBlue
EPSILON • SIXER/j/,apEX[D],71449,71655,49,55,319_titan-epsilon_de_dust2.dem,2,9684,9876,red
EPSILON • SIXER/j/,kennyS,81195,81210,49,56,319_titan-epsilon_de_dust2.dem,2,18820,18834,greenBlue
EPSILON • SIXER/j/,KQLY,81389,81464,49,53,319_titan-epsilon_de_dust2.dem,2,19002,19073,redBlue
EPSILON • SIXER/j/,KQLY,81521,81534,49,53,319_titan-epsilon_de_dust2.dem,2,19126,19138,redBlue
EPSILON • SIXER/j/,KQLY,81587,81609,49,53,319_titan-epsilon_de_dust2.dem,2,19188,19209,redBlue
EPSILON • SIXER/j/,kennyS,85112,85127,49,56,319_titan-epsilon_de_dust2.dem,2,22492,22507,greenBlue
EPSILON • SIXER/j/,KQLY,85425,85461,49,53,319_titan-epsilon_de_dust2.dem,2,22786,22819,redBlue
EPSILON • SIXER/j/,KQLY,85682,85734,49,53,319_titan-epsilon_de_dust2.dem,2,23027,23076,redBlue
EPSILON • SIXER/j/,KQLY,85912,85949,49,53,319_titan-epsilon_de_dust2.dem,2,23243,23278,redBlue
EPSILON • SIXER/j/,KQLY,85954,86006,49,53,319_titan-epsilon_de_dust2.dem,2,23282,23331,redBlue
EPSILON • SIXER/j/,Ex6TenZ,87055,87183,49,52,319_titan-epsilon_de_dust2.dem,2,24314,24367,green
EPSILON • SIXER/j/,Ex6TenZ,87312,87350,49,52,319_titan-epsilon_de_dust2.dem,2,24555,24591,green
EPSILON • SIXER/j/,Ex6TenZ,87353,87366,49,52,319_titan-epsilon_de_dust2.dem,2,24594,24606,green
EPSILON • SIXER/j/,Maniac,87550,87594,49,54,319_titan-epsilon_de_dust2.dem,2,24778,24819,blue
EPSILON • SIXER/j/,Ex6TenZ,87574,87594,49,52,319_titan-epsilon_de_dust2.dem,2,24801,24819,green
EPSILON • SIXER/j/,apEX[D],87574,87592,49,55,319_titan-epsilon_de_dust2.dem,2,24801,24817,red
EPSILON • SIXER/j/,Maniac,87598,87602,49,54,319_titan-epsilon_de_dust2.dem,2,24823,24827,blue
EPSILON • SIXER/j/,Maniac,87607,87612,49,54,319_titan-epsilon_de_dust2.dem,2,24832,24836,blue
