spotter,spotted,start_game_tick,end_game_tick,spotter_id,spotted_id,demo,hacking,start_frame_num,end_frame_num,color
EPSILON • ScreaM -R-,kennyS,63903,63945,50,56,319_titan-epsilon_de_dust2.dem,2,2611,2651,greenBlue
EPSILON • ScreaM -R-,kennyS,63978,64088,50,56,319_titan-epsilon_de_dust2.dem,2,2681,2785,greenBlue
EPSILON • ScreaM -R-,apEX[D],66137,66194,50,55,319_titan-epsilon_de_dust2.dem,2,4705,4759,red
EPSILON • ScreaM -R-,Ex6TenZ,66486,66542,50,52,319_titan-epsilon_de_dust2.dem,2,5033,5087,green
EPSILON • ScreaM -R-,apEX[D],69959,69981,50,55,319_titan-epsilon_de_dust2.dem,2,8289,8309,red
EPSILON • ScreaM -R-,Ex6TenZ,72936,73002,50,52,319_titan-epsilon_de_dust2.dem,2,11080,11142,green
EPSILON • ScreaM -R-,kennyS,80769,80839,50,56,319_titan-epsilon_de_dust2.dem,2,18423,18489,greenBlue
EPSILON • ScreaM -R-,KQLY,80854,80866,50,53,319_titan-epsilon_de_dust2.dem,2,18503,18514,redBlue
EPSILON • ScreaM -R-,kennyS,80963,80994,50,56,319_titan-epsilon_de_dust2.dem,2,18605,18635,greenBlue
EPSILON • ScreaM -R-,apEX[D],86905,86930,50,55,319_titan-epsilon_de_dust2.dem,2,24176,24199,red
EPSILON • ScreaM -R-,apEX[D],87076,87197,50,55,319_titan-epsilon_de_dust2.dem,2,24336,24450,red
EPSILON • ScreaM -R-,apEX[D],93346,93441,50,55,319_titan-epsilon_de_dust2.dem,2,30214,30303,red
EPSILON • ScreaM -R-,apEX[D],93493,93515,50,55,319_titan-epsilon_de_dust2.dem,2,30352,30373,red
EPSILON • ScreaM -R-,KQLY,97233,97250,50,53,319_titan-epsilon_de_dust2.dem,2,33858,33874,redBlue
EPSILON • ScreaM -R-,KQLY,97291,97422,50,53,319_titan-epsilon_de_dust2.dem,2,33912,34035,redBlue
EPSILON • ScreaM -R-,Ex6TenZ,98925,99090,50,52,319_titan-epsilon_de_dust2.dem,2,35444,35599,green
EPSILON • ScreaM -R-,Maniac,101797,101824,50,54,319_titan-epsilon_de_dust2.dem,2,38137,38162,blue
EPSILON • ScreaM -R-,KQLY,102486,102535,50,53,319_titan-epsilon_de_dust2.dem,2,38783,38829,redBlue
EPSILON • ScreaM -R-,kennyS,103183,103267,50,56,319_titan-epsilon_de_dust2.dem,2,39436,39515,greenBlue
EPSILON • ScreaM -R-,KQLY,108213,108242,50,53,319_titan-epsilon_de_dust2.dem,2,44152,44179,redBlue
