spotter,spotted,start_game_tick,end_game_tick,spotter_id,spotted_id,demo,hacking,start_frame_num,end_frame_num,color
EPSILON • Uzzziii * ViewSonic,Maniac,64127,64199,51,54,319_titan-epsilon_de_dust2.dem,2,2822,2890,blue
EPSILON • Uzzziii * ViewSonic,Ex6TenZ,65617,65783,51,52,319_titan-epsilon_de_dust2.dem,2,4219,4375,green
EPSILON • Uzzziii * ViewSonic,apEX[D],65628,65741,51,55,319_titan-epsilon_de_dust2.dem,2,4229,4335,red
EPSILON • Uzzziii * ViewSonic,Ex6TenZ,69179,69210,51,52,319_titan-epsilon_de_dust2.dem,2,7558,7587,green
EPSILON • Uzzziii * ViewSonic,apEX[D],70101,70162,51,55,319_titan-epsilon_de_dust2.dem,2,8422,8480,red
EPSILON • Uzzziii * ViewSonic,KQLY,71370,71451,51,53,319_titan-epsilon_de_dust2.dem,2,9612,9688,redBlue
EPSILON • Uzzziii * ViewSonic,apEX[D],71897,71909,51,55,319_titan-epsilon_de_dust2.dem,2,10106,10117,red
EPSILON • Uzzziii * ViewSonic,apEX[D],71976,72104,51,55,319_titan-epsilon_de_dust2.dem,2,10180,10300,red
EPSILON • Uzzziii * ViewSonic,apEX[D],72201,72249,51,55,319_titan-epsilon_de_dust2.dem,2,10391,10436,red
EPSILON • Uzzziii * ViewSonic,kennyS,79849,79866,51,56,319_titan-epsilon_de_dust2.dem,2,17561,17566,greenBlue
EPSILON • Uzzziii * ViewSonic,kennyS,79901,79946,51,56,319_titan-epsilon_de_dust2.dem,2,17610,17652,greenBlue
EPSILON • Uzzziii * ViewSonic,kennyS,79961,80061,51,56,319_titan-epsilon_de_dust2.dem,2,17667,17760,greenBlue
EPSILON • Uzzziii * ViewSonic,Ex6TenZ,80037,80100,51,52,319_titan-epsilon_de_dust2.dem,2,17738,17797,green
EPSILON • Uzzziii * ViewSonic,kennyS,80154,80241,51,56,319_titan-epsilon_de_dust2.dem,2,17847,17929,greenBlue
EPSILON • Uzzziii * ViewSonic,KQLY,85825,86016,51,53,319_titan-epsilon_de_dust2.dem,2,23164,23343,redBlue
EPSILON • Uzzziii * ViewSonic,KQLY,86575,86609,51,53,319_titan-epsilon_de_dust2.dem,2,23867,23899,redBlue
EPSILON • Uzzziii * ViewSonic,apEX[D],86721,86779,51,55,319_titan-epsilon_de_dust2.dem,2,24004,24058,red
EPSILON • Uzzziii * ViewSonic,Maniac,101801,101829,51,54,319_titan-epsilon_de_dust2.dem,2,38142,38168,blue
EPSILON • Uzzziii * ViewSonic,Maniac,101846,101902,51,54,319_titan-epsilon_de_dust2.dem,2,38185,38236,blue
EPSILON • Uzzziii * ViewSonic,KQLY,101851,101902,51,53,319_titan-epsilon_de_dust2.dem,2,38189,38236,redBlue
