spotter,spotted,start_game_tick,end_game_tick,spotter_id,spotted_id,demo,hacking,start_frame_num,end_frame_num,color
KQLY,EPSILON G[M]X * Nike,63043,63051,53,47,319_titan-epsilon_de_dust2.dem,2,1807,1815,redBlue
KQLY,EPSILON • SIXER/j/,63049,63060,53,49,319_titan-epsilon_de_dust2.dem,2,1813,1823,green
KQLY,EPSILON • Uzzziii * ViewSonic,63053,63064,53,51,319_titan-epsilon_de_dust2.dem,2,1817,1827,blue
KQLY,EPSILON • SIXER/j/,63203,63227,53,49,319_titan-epsilon_de_dust2.dem,2,1957,1979,green
KQLY,EPSILON • Uzzziii * ViewSonic,63203,63235,53,51,319_titan-epsilon_de_dust2.dem,2,1957,1987,blue
KQLY,EPSILON G[M]X * Nike,63204,63290,53,47,319_titan-epsilon_de_dust2.dem,2,1958,2039,redBlue
KQLY,EPSILON • SIXER/j/,63236,63272,53,49,319_titan-epsilon_de_dust2.dem,2,1988,2022,green
KQLY,EPSILON G[M]X * Nike,63348,63404,53,47,319_titan-epsilon_de_dust2.dem,2,2093,2146,redBlue
KQLY,EPSILON G[M]X * Nike,63462,63602,53,47,319_titan-epsilon_de_dust2.dem,2,2200,2331,redBlue
KQLY,EPSILON G[M]X * Nike,63635,63645,53,47,319_titan-epsilon_de_dust2.dem,2,2362,2372,redBlue
KQLY,EPSILON G[M]X * Nike,70947,71451,53,47,319_titan-epsilon_de_dust2.dem,2,9217,9690,redBlue
KQLY,EPSILON • SIXER/j/,81383,81475,53,49,319_titan-epsilon_de_dust2.dem,2,19001,19087,green
KQLY,EPSILON • SIXER/j/,81497,81524,53,49,319_titan-epsilon_de_dust2.dem,2,19108,19133,green
KQLY,EPSILON • SIXER/j/,81539,81609,53,49,319_titan-epsilon_de_dust2.dem,2,19147,19213,green
KQLY,EPSILON • SIXER/j/,85427,85439,53,49,319_titan-epsilon_de_dust2.dem,2,22792,22803,green
KQLY,EPSILON • SIXER/j/,85690,85751,53,49,319_titan-epsilon_de_dust2.dem,2,23039,23096,green
