spotter,spotted,start_game_tick,end_game_tick,spotter_id,spotted_id,demo,hacking,start_frame_num,end_frame_num,color
apEX[D],EPSILON MAJ3R,65525,65823,55,48,319_titan-epsilon_de_dust2.dem,2,4132,4412,red
apEX[D],EPSILON • Uzzziii * ViewSonic,65636,65736,55,51,319_titan-epsilon_de_dust2.dem,2,4236,4330,blue
apEX[D],EPSILON MAJ3R,66005,66194,55,48,319_titan-epsilon_de_dust2.dem,2,4582,4760,red
apEX[D],EPSILON • SIXER/j/,71146,71156,55,49,319_titan-epsilon_de_dust2.dem,2,9402,9411,green
apEX[D],EPSILON • SIXER/j/,71268,71655,55,49,319_titan-epsilon_de_dust2.dem,2,9516,9879,green
apEX[D],EPSILON • Uzzziii * ViewSonic,71899,71917,55,51,319_titan-epsilon_de_dust2.dem,2,10108,10124,blue
apEX[D],EPSILON • Uzzziii * ViewSonic,71968,72037,55,51,319_titan-epsilon_de_dust2.dem,2,10173,10237,blue
apEX[D],EPSILON • Uzzziii * ViewSonic,72066,72097,55,51,319_titan-epsilon_de_dust2.dem,2,10264,10294,blue
apEX[D],EPSILON • Uzzziii * ViewSonic,72200,72249,55,51,319_titan-epsilon_de_dust2.dem,2,10390,10436,blue
apEX[D],EPSILON MAJ3R,82225,82340,55,48,319_titan-epsilon_de_dust2.dem,2,19788,19896,red
apEX[D],EPSILON MAJ3R,82437,82466,55,48,319_titan-epsilon_de_dust2.dem,2,19987,20015,red
apEX[D],EPSILON G[M]X * Nike,86662,86748,55,47,319_titan-epsilon_de_dust2.dem,2,23948,24029,redBlue
apEX[D],EPSILON • Uzzziii * ViewSonic,86709,86780,55,51,319_titan-epsilon_de_dust2.dem,2,23993,24059,blue
apEX[D],EPSILON • ScreaM -R-,86879,86931,55,50,319_titan-epsilon_de_dust2.dem,2,24152,24200,greenBlue
apEX[D],EPSILON • ScreaM -R-,87072,87222,55,50,319_titan-epsilon_de_dust2.dem,2,24333,24473,greenBlue
apEX[D],EPSILON • SIXER/j/,87546,87553,55,49,319_titan-epsilon_de_dust2.dem,2,24777,24784,green
apEX[D],EPSILON • SIXER/j/,87563,87572,55,49,319_titan-epsilon_de_dust2.dem,2,24793,24801,green
apEX[D],EPSILON • SIXER/j/,87604,87607,55,49,319_titan-epsilon_de_dust2.dem,2,24831,24834,green
apEX[D],EPSILON • SIXER/j/,87910,87935,55,49,319_titan-epsilon_de_dust2.dem,2,25118,25142,green
apEX[D],EPSILON • SIXER/j/,88194,88226,55,49,319_titan-epsilon_de_dust2.dem,2,25385,25415,green
apEX[D],EPSILON MAJ3R,88234,88314,55,48,319_titan-epsilon_de_dust2.dem,2,25422,25496,red
apEX[D],EPSILON MAJ3R,88342,88392,55,48,319_titan-epsilon_de_dust2.dem,2,25523,25570,red
apEX[D],EPSILON MAJ3R,88480,88538,55,48,319_titan-epsilon_de_dust2.dem,2,25652,25708,red
apEX[D],EPSILON • SIXER/j/,93011,93204,55,49,319_titan-epsilon_de_dust2.dem,2,29900,30082,green
apEX[D],EPSILON • ScreaM -R-,93347,93353,55,50,319_titan-epsilon_de_dust2.dem,2,30216,30221,greenBlue
apEX[D],EPSILON • ScreaM -R-,93433,93447,55,50,319_titan-epsilon_de_dust2.dem,2,30296,30309,greenBlue
apEX[D],EPSILON • ScreaM -R-,93495,93515,55,50,319_titan-epsilon_de_dust2.dem,2,30354,30373,greenBlue
apEX[D],EPSILON G[M]X * Nike,96835,96863,55,47,319_titan-epsilon_de_dust2.dem,2,33485,33512,redBlue
apEX[D],EPSILON MAJ3R,104348,104631,55,48,319_titan-epsilon_de_dust2.dem,2,40529,40794,red
apEX[D],EPSILON • ScreaM -R-,109261,109435,55,50,319_titan-epsilon_de_dust2.dem,2,45135,45298,greenBlue
apEX[D],EPSILON G[M]X * Nike,110233,110392,55,47,319_titan-epsilon_de_dust2.dem,2,46046,46100,redBlue
apEX[D],EPSILON MAJ3R,110281,110392,55,48,319_titan-epsilon_de_dust2.dem,2,46091,46100,red
apEX[D],EPSILON MAJ3R,116610,116635,55,48,319_titan-epsilon_de_dust2.dem,2,52025,52048,red
apEX[D],EPSILON MAJ3R,116723,116987,55,48,319_titan-epsilon_de_dust2.dem,2,52131,52378,red
apEX[D],EPSILON G[M]X * Nike,117419,117430,55,47,319_titan-epsilon_de_dust2.dem,2,52783,52794,redBlue
apEX[D],EPSILON G[M]X * Nike,117521,117551,55,47,319_titan-epsilon_de_dust2.dem,2,52879,52907,redBlue
apEX[D],EPSILON G[M]X * Nike,117761,117895,55,47,319_titan-epsilon_de_dust2.dem,2,53104,53229,redBlue
apEX[D],EPSILON • SIXER/j/,117945,118026,55,49,319_titan-epsilon_de_dust2.dem,2,53277,53352,green
apEX[D],EPSILON • ScreaM -R-,117946,117952,55,50,319_titan-epsilon_de_dust2.dem,2,53278,53283,greenBlue
apEX[D],EPSILON • Uzzziii * ViewSonic,117946,118026,55,51,319_titan-epsilon_de_dust2.dem,2,53278,53352,blue
apEX[D],EPSILON • ScreaM -R-,117955,117972,55,50,319_titan-epsilon_de_dust2.dem,2,53285,53302,greenBlue
apEX[D],EPSILON • ScreaM -R-,117975,117998,55,50,319_titan-epsilon_de_dust2.dem,2,53305,53320,greenBlue
apEX[D],EPSILON • SIXER/j/,118137,118141,55,49,319_titan-epsilon_de_dust2.dem,2,53456,53461,green
apEX[D],EPSILON • Uzzziii * ViewSonic,118137,118141,55,51,319_titan-epsilon_de_dust2.dem,2,53456,53461,blue
apEX[D],EPSILON G[M]X * Nike,126869,126888,55,47,319_titan-epsilon_de_dust2.dem,2,61642,61660,redBlue
apEX[D],EPSILON G[M]X * Nike,127100,127111,55,47,319_titan-epsilon_de_dust2.dem,2,61859,61870,redBlue
apEX[D],EPSILON G[M]X * Nike,127201,127233,55,47,319_titan-epsilon_de_dust2.dem,2,61953,61984,redBlue
apEX[D],EPSILON • Uzzziii * ViewSonic,127403,127515,55,51,319_titan-epsilon_de_dust2.dem,2,62143,62248,blue
apEX[D],EPSILON • Uzzziii * ViewSonic,127922,127956,55,51,319_titan-epsilon_de_dust2.dem,2,62629,62661,blue
apEX[D],EPSILON • Uzzziii * ViewSonic,128558,128598,55,51,319_titan-epsilon_de_dust2.dem,2,63225,63264,blue
apEX[D],EPSILON G[M]X * Nike,132863,132914,55,47,319_titan-epsilon_de_dust2.dem,2,67261,67310,redBlue
apEX[D],EPSILON G[M]X * Nike,132917,132923,55,47,319_titan-epsilon_de_dust2.dem,2,67313,67318,redBlue
apEX[D],EPSILON G[M]X * Nike,132934,132951,55,47,319_titan-epsilon_de_dust2.dem,2,67329,67345,redBlue
apEX[D],EPSILON G[M]X * Nike,133047,133118,55,47,319_titan-epsilon_de_dust2.dem,2,67434,67501,redBlue
