spotter,spotted,start_game_tick,end_game_tick,spotter_id,spotted_id,demo,hacking,start_frame_num,end_frame_num,color
EPSILON • SIXER/j/,KQLY,16122,16154,91,95,320_titan-epsilon_de_cache.dem,2,4052,4082,blue
EPSILON • SIXER/j/,KQLY,16180,16282,91,95,320_titan-epsilon_de_cache.dem,2,4107,4203,blue
EPSILON • SIXER/j/,kennyS,33208,33256,91,98,320_titan-epsilon_de_cache.dem,2,20071,20116,redBlue
EPSILON • SIXER/j/,kennyS,33262,33280,91,98,320_titan-epsilon_de_cache.dem,2,20121,20138,redBlue
EPSILON • SIXER/j/,kennyS,33562,33730,91,98,320_titan-epsilon_de_cache.dem,2,20402,20560,redBlue
EPSILON • SIXER/j/,kennyS,47092,47109,91,98,320_titan-epsilon_de_cache.dem,2,33087,33103,redBlue
EPSILON • SIXER/j/,kennyS,59953,59995,91,98,320_titan-epsilon_de_cache.dem,2,45144,45183,redBlue
EPSILON • SIXER/j/,kennyS,59998,63416,91,98,320_titan-epsilon_de_cache.dem,2,45187,48390,redBlue
EPSILON • SIXER/j/,Maniac,63421,63633,91,96,320_titan-epsilon_de_cache.dem,2,48395,48594,green
EPSILON • SIXER/j/,Maniac,63637,63738,91,96,320_titan-epsilon_de_cache.dem,2,48598,48693,green
EPSILON • SIXER/j/,Maniac,72466,72501,91,96,320_titan-epsilon_de_cache.dem,2,56875,56908,green
EPSILON • SIXER/j/,Maniac,78501,78516,91,96,320_titan-epsilon_de_cache.dem,2,62533,62547,green
EPSILON • SIXER/j/,Maniac,78526,78533,91,96,320_titan-epsilon_de_cache.dem,2,62556,62563,green
EPSILON • SIXER/j/,Maniac,78538,78565,91,96,320_titan-epsilon_de_cache.dem,2,62568,62593,green
EPSILON • SIXER/j/,apEX[D],81720,81920,91,97,320_titan-epsilon_de_cache.dem,2,65551,65739,greenBlue
EPSILON • SIXER/j/,kennyS,85253,85265,91,98,320_titan-epsilon_de_cache.dem,2,68862,68873,redBlue
EPSILON • SIXER/j/,KQLY,106743,106783,91,95,320_titan-epsilon_de_cache.dem,2,89010,89047,blue
EPSILON • SIXER/j/,KQLY,106838,106859,91,95,320_titan-epsilon_de_cache.dem,2,89099,89119,blue
EPSILON • SIXER/j/,KQLY,107447,107491,91,95,320_titan-epsilon_de_cache.dem,2,89670,89711,blue
EPSILON • SIXER/j/,apEX[D],107493,107496,91,97,320_titan-epsilon_de_cache.dem,2,89713,89716,greenBlue
EPSILON • SIXER/j/,apEX[D],107522,107539,91,97,320_titan-epsilon_de_cache.dem,2,89740,89756,greenBlue
EPSILON • SIXER/j/,apEX[D],107542,107553,91,97,320_titan-epsilon_de_cache.dem,2,89759,89765,greenBlue
EPSILON • SIXER/j/,apEX[D],114944,114950,91,97,320_titan-epsilon_de_cache.dem,2,96698,96704,greenBlue
EPSILON • SIXER/j/,apEX[D],114983,114989,91,97,320_titan-epsilon_de_cache.dem,2,96735,96740,greenBlue
EPSILON • SIXER/j/,apEX[D],115016,115061,91,97,320_titan-epsilon_de_cache.dem,2,96766,96808,greenBlue
EPSILON • SIXER/j/,Ex6TenZ,125545,125582,91,94,320_titan-epsilon_de_cache.dem,2,106637,106671,red
EPSILON • SIXER/j/,Ex6TenZ,125669,125728,91,94,320_titan-epsilon_de_cache.dem,2,106753,106808,red
EPSILON • SIXER/j/,KQLY,125737,125747,91,95,320_titan-epsilon_de_cache.dem,2,106816,106826,blue
EPSILON • SIXER/j/,KQLY,125799,125841,91,95,320_titan-epsilon_de_cache.dem,2,106875,106914,blue
EPSILON • SIXER/j/,KQLY,125911,125990,91,95,320_titan-epsilon_de_cache.dem,2,106980,107054,blue
EPSILON • SIXER/j/,KQLY,126057,126075,91,95,320_titan-epsilon_de_cache.dem,2,107117,107134,blue
EPSILON • SIXER/j/,apEX[D],136333,136379,91,97,320_titan-epsilon_de_cache.dem,2,116750,116793,greenBlue
EPSILON • SIXER/j/,kennyS,140523,140546,91,98,320_titan-epsilon_de_cache.dem,2,120678,120700,redBlue
EPSILON • SIXER/j/,kennyS,140554,140560,91,98,320_titan-epsilon_de_cache.dem,2,120707,120713,redBlue
EPSILON • SIXER/j/,Maniac,147255,147327,91,96,320_titan-epsilon_de_cache.dem,2,126990,127058,green
EPSILON • SIXER/j/,kennyS,154608,154639,91,98,320_titan-epsilon_de_cache.dem,2,133883,133912,redBlue
EPSILON • SIXER/j/,kennyS,155398,155423,91,98,320_titan-epsilon_de_cache.dem,2,134624,134647,redBlue
EPSILON • SIXER/j/,kennyS,155456,155503,91,98,320_titan-epsilon_de_cache.dem,2,134678,134722,redBlue
EPSILON • SIXER/j/,kennyS,155506,155521,91,98,320_titan-epsilon_de_cache.dem,2,134725,134739,redBlue
EPSILON • SIXER/j/,kennyS,155626,155661,91,98,320_titan-epsilon_de_cache.dem,2,134838,134871,redBlue
EPSILON • SIXER/j/,kennyS,159393,159456,91,98,320_titan-epsilon_de_cache.dem,2,138369,138428,redBlue
EPSILON • SIXER/j/,kennyS,160925,160969,91,98,320_titan-epsilon_de_cache.dem,2,139805,139847,redBlue
EPSILON • SIXER/j/,Ex6TenZ,173719,173798,91,94,320_titan-epsilon_de_cache.dem,2,151799,151874,red
EPSILON • SIXER/j/,KQLY,175293,175329,91,95,320_titan-epsilon_de_cache.dem,2,153276,153309,blue
EPSILON • SIXER/j/,KQLY,175386,175416,91,95,320_titan-epsilon_de_cache.dem,2,153363,153390,blue
EPSILON • SIXER/j/,KQLY,175454,175523,91,95,320_titan-epsilon_de_cache.dem,2,153426,153491,blue
EPSILON • SIXER/j/,Maniac,176089,176120,91,96,320_titan-epsilon_de_cache.dem,2,154022,154051,green
EPSILON • SIXER/j/,Maniac,176178,176234,91,96,320_titan-epsilon_de_cache.dem,2,154105,154158,green
EPSILON • SIXER/j/,KQLY,182862,182868,91,95,320_titan-epsilon_de_cache.dem,2,160372,160377,blue
EPSILON • SIXER/j/,KQLY,182902,182928,91,95,320_titan-epsilon_de_cache.dem,2,160409,160434,blue
EPSILON • SIXER/j/,kennyS,182902,182928,91,98,320_titan-epsilon_de_cache.dem,2,160409,160434,redBlue
EPSILON • SIXER/j/,KQLY,183229,183291,91,95,320_titan-epsilon_de_cache.dem,2,160716,160774,blue
EPSILON • SIXER/j/,KQLY,183360,183371,91,95,320_titan-epsilon_de_cache.dem,2,160838,160849,blue
EPSILON • SIXER/j/,KQLY,183374,183412,91,95,320_titan-epsilon_de_cache.dem,2,160851,160887,blue
EPSILON • SIXER/j/,Maniac,183779,183796,91,96,320_titan-epsilon_de_cache.dem,2,161231,161247,green
EPSILON • SIXER/j/,kennyS,183874,183939,91,98,320_titan-epsilon_de_cache.dem,2,161320,161381,redBlue
EPSILON • SIXER/j/,kennyS,184820,184843,91,98,320_titan-epsilon_de_cache.dem,2,162207,162229,redBlue
EPSILON • SIXER/j/,KQLY,184983,185064,91,95,320_titan-epsilon_de_cache.dem,2,162359,162436,blue
EPSILON • SIXER/j/,KQLY,185068,185093,91,95,320_titan-epsilon_de_cache.dem,2,162439,162463,blue
EPSILON • SIXER/j/,kennyS,185318,185389,91,98,320_titan-epsilon_de_cache.dem,2,162673,162740,redBlue
EPSILON • SIXER/j/,apEX[D],185479,185564,91,97,320_titan-epsilon_de_cache.dem,2,162825,162904,greenBlue
EPSILON • SIXER/j/,kennyS,185991,186056,91,98,320_titan-epsilon_de_cache.dem,2,163305,163365,redBlue
EPSILON • SIXER/j/,kennyS,186174,186187,91,98,320_titan-epsilon_de_cache.dem,2,163476,163489,redBlue
EPSILON • SIXER/j/,kennyS,186622,186707,91,98,320_titan-epsilon_de_cache.dem,2,163896,163978,redBlue
EPSILON • SIXER/j/,apEX[D],192763,192805,91,97,320_titan-epsilon_de_cache.dem,2,169654,169693,greenBlue
EPSILON • SIXER/j/,apEX[D],192905,192984,91,97,320_titan-epsilon_de_cache.dem,2,169787,169861,greenBlue
EPSILON • SIXER/j/,Maniac,200216,200273,91,96,320_titan-epsilon_de_cache.dem,2,176640,176694,green
EPSILON • SIXER/j/,apEX[D],217103,217186,91,97,320_titan-epsilon_de_cache.dem,2,192472,192550,greenBlue
EPSILON • SIXER/j/,kennyS,217186,217296,91,98,320_titan-epsilon_de_cache.dem,2,192550,192653,redBlue
