spotter,spotted,start_game_tick,end_game_tick,spotter_id,spotted_id,demo,hacking,start_frame_num,end_frame_num,color
EPSILON • ScreaM -R-,kennyS,16891,17001,92,98,320_titan-epsilon_de_cache.dem,2,4771,4874,redBlue
EPSILON • ScreaM -R-,KQLY,17081,17090,92,95,320_titan-epsilon_de_cache.dem,2,4949,4958,blue
EPSILON • ScreaM -R-,KQLY,17113,17139,92,95,320_titan-epsilon_de_cache.dem,2,4979,5004,blue
EPSILON • ScreaM -R-,kennyS,22864,22982,92,98,320_titan-epsilon_de_cache.dem,2,10371,10482,redBlue
EPSILON • ScreaM -R-,kennyS,23014,23034,92,98,320_titan-epsilon_de_cache.dem,2,10512,10530,redBlue
EPSILON • ScreaM -R-,apEX[D],26910,26957,92,97,320_titan-epsilon_de_cache.dem,2,14164,14208,greenBlue
EPSILON • ScreaM -R-,apEX[D],34935,35010,92,97,320_titan-epsilon_de_cache.dem,2,21688,21758,greenBlue
EPSILON • ScreaM -R-,apEX[D],35095,35141,92,97,320_titan-epsilon_de_cache.dem,2,21838,21881,greenBlue
EPSILON • ScreaM -R-,apEX[D],35182,35210,92,97,320_titan-epsilon_de_cache.dem,2,21919,21946,greenBlue
EPSILON • ScreaM -R-,apEX[D],35273,35285,92,97,320_titan-epsilon_de_cache.dem,2,22005,22016,greenBlue
EPSILON • ScreaM -R-,Maniac,36847,36914,92,96,320_titan-epsilon_de_cache.dem,2,23480,23543,green
EPSILON • ScreaM -R-,Maniac,36927,36949,92,96,320_titan-epsilon_de_cache.dem,2,23556,23576,green
EPSILON • ScreaM -R-,Maniac,47473,47547,92,96,320_titan-epsilon_de_cache.dem,2,33442,33511,green
EPSILON • ScreaM -R-,Maniac,47573,47698,92,96,320_titan-epsilon_de_cache.dem,2,33536,33653,green
EPSILON • ScreaM -R-,kennyS,47579,47612,92,98,320_titan-epsilon_de_cache.dem,2,33542,33573,redBlue
EPSILON • ScreaM -R-,kennyS,48000,48178,92,98,320_titan-epsilon_de_cache.dem,2,33937,34103,redBlue
EPSILON • ScreaM -R-,Ex6TenZ,48264,48337,92,94,320_titan-epsilon_de_cache.dem,2,34184,34253,red
EPSILON • ScreaM -R-,KQLY,48652,48741,92,95,320_titan-epsilon_de_cache.dem,2,34548,34584,blue
EPSILON • ScreaM -R-,Ex6TenZ,49133,49162,92,94,320_titan-epsilon_de_cache.dem,2,34999,35002,red
EPSILON • ScreaM -R-,Ex6TenZ,49165,49181,92,94,320_titan-epsilon_de_cache.dem,2,35029,35044,red
EPSILON • ScreaM -R-,Ex6TenZ,49272,49279,92,94,320_titan-epsilon_de_cache.dem,2,35129,35136,red
EPSILON • ScreaM -R-,Ex6TenZ,49307,49557,92,94,320_titan-epsilon_de_cache.dem,2,35162,35396,red
EPSILON • ScreaM -R-,KQLY,51906,51946,92,95,320_titan-epsilon_de_cache.dem,2,37598,37635,blue
EPSILON • ScreaM -R-,KQLY,52017,52036,92,95,320_titan-epsilon_de_cache.dem,2,37702,37722,blue
EPSILON • ScreaM -R-,Ex6TenZ,52142,52477,92,94,320_titan-epsilon_de_cache.dem,2,37819,38133,red
EPSILON • ScreaM -R-,Ex6TenZ,52680,54462,92,94,320_titan-epsilon_de_cache.dem,2,38324,39995,red
EPSILON • ScreaM -R-,Maniac,62376,62481,92,96,320_titan-epsilon_de_cache.dem,2,47414,47512,green
EPSILON • ScreaM -R-,apEX[D],62401,62481,92,97,320_titan-epsilon_de_cache.dem,2,47437,47512,greenBlue
EPSILON • ScreaM -R-,apEX[D],71604,71648,92,97,320_titan-epsilon_de_cache.dem,2,56065,56106,greenBlue
EPSILON • ScreaM -R-,kennyS,77299,77328,92,98,320_titan-epsilon_de_cache.dem,2,61404,61431,redBlue
EPSILON • ScreaM -R-,Maniac,77460,77558,92,96,320_titan-epsilon_de_cache.dem,2,61555,61647,green
EPSILON • ScreaM -R-,kennyS,77478,77554,92,98,320_titan-epsilon_de_cache.dem,2,61572,61644,redBlue
EPSILON • ScreaM -R-,Maniac,86535,86540,92,96,320_titan-epsilon_de_cache.dem,2,70063,70067,green
EPSILON • ScreaM -R-,apEX[D],88372,88377,92,97,320_titan-epsilon_de_cache.dem,2,71785,71790,greenBlue
EPSILON • ScreaM -R-,apEX[D],88477,88483,92,97,320_titan-epsilon_de_cache.dem,2,71883,71889,greenBlue
