spotter,spotted,start_game_tick,end_game_tick,spotter_id,spotted_id,demo,hacking,start_frame_num,end_frame_num,color
EPSILON • Uzzziii * ViewSonic,Maniac,17728,17745,93,96,320_titan-epsilon_de_cache.dem,0,5556,5572,green
EPSILON • Uzzziii * ViewSonic,KQLY,17894,17910,93,95,320_titan-epsilon_de_cache.dem,0,5711,5726,blue
EPSILON • Uzzziii * ViewSonic,Maniac,17896,18024,93,96,320_titan-epsilon_de_cache.dem,0,5713,5835,green
EPSILON • Uzzziii * ViewSonic,Maniac,24056,24103,93,96,320_titan-epsilon_de_cache.dem,0,11488,11532,green
EPSILON • Uzzziii * ViewSonic,Maniac,24123,24298,93,96,320_titan-epsilon_de_cache.dem,0,11551,11715,green
EPSILON • Uzzziii * ViewSonic,Ex6TenZ,24263,24298,93,94,320_titan-epsilon_de_cache.dem,0,11682,11715,red
EPSILON • Uzzziii * ViewSonic,Maniac,24327,24378,93,96,320_titan-epsilon_de_cache.dem,0,11742,11790,green
EPSILON • Uzzziii * ViewSonic,Maniac,24431,24445,93,96,320_titan-epsilon_de_cache.dem,0,11840,11853,green
EPSILON • Uzzziii * ViewSonic,KQLY,27748,27824,93,95,320_titan-epsilon_de_cache.dem,0,14949,15021,blue
EPSILON • Uzzziii * ViewSonic,kennyS,33915,33958,93,98,320_titan-epsilon_de_cache.dem,0,20731,20772,redBlue
EPSILON • Uzzziii * ViewSonic,kennyS,47996,48177,93,98,320_titan-epsilon_de_cache.dem,0,33932,34102,redBlue
EPSILON • Uzzziii * ViewSonic,Ex6TenZ,48729,48771,93,94,320_titan-epsilon_de_cache.dem,0,34619,34659,red
EPSILON • Uzzziii * ViewSonic,KQLY,51086,51111,93,95,320_titan-epsilon_de_cache.dem,0,36829,36852,blue
EPSILON • Uzzziii * ViewSonic,KQLY,51900,51943,93,95,320_titan-epsilon_de_cache.dem,0,37592,37632,blue
EPSILON • Uzzziii * ViewSonic,KQLY,51989,52035,93,95,320_titan-epsilon_de_cache.dem,0,37675,37720,blue
EPSILON • Uzzziii * ViewSonic,KQLY,62112,62129,93,95,320_titan-epsilon_de_cache.dem,0,47166,47182,blue
EPSILON • Uzzziii * ViewSonic,apEX[D],71872,71897,93,97,320_titan-epsilon_de_cache.dem,0,56316,56339,greenBlue
EPSILON • Uzzziii * ViewSonic,apEX[D],71920,71938,93,97,320_titan-epsilon_de_cache.dem,0,56361,56378,greenBlue
EPSILON • Uzzziii * ViewSonic,apEX[D],71944,71963,93,97,320_titan-epsilon_de_cache.dem,0,56384,56401,greenBlue
EPSILON • Uzzziii * ViewSonic,apEX[D],72167,72192,93,97,320_titan-epsilon_de_cache.dem,0,56592,56616,greenBlue
EPSILON • Uzzziii * ViewSonic,Maniac,78263,78359,93,96,320_titan-epsilon_de_cache.dem,0,62307,62397,green
EPSILON • Uzzziii * ViewSonic,KQLY,86821,86826,93,95,320_titan-epsilon_de_cache.dem,0,70331,70335,blue
EPSILON • Uzzziii * ViewSonic,KQLY,86876,86979,93,95,320_titan-epsilon_de_cache.dem,0,70382,70479,blue
EPSILON • Uzzziii * ViewSonic,kennyS,89245,89462,93,98,320_titan-epsilon_de_cache.dem,0,72603,72806,redBlue
EPSILON • Uzzziii * ViewSonic,kennyS,99064,99075,93,98,320_titan-epsilon_de_cache.dem,0,81808,81819,redBlue
EPSILON • Uzzziii * ViewSonic,kennyS,108362,108387,93,98,320_titan-epsilon_de_cache.dem,0,90525,90548,redBlue
EPSILON • Uzzziii * ViewSonic,Maniac,109096,109110,93,96,320_titan-epsilon_de_cache.dem,0,91213,91227,green
EPSILON • Uzzziii * ViewSonic,Maniac,109139,109162,93,96,320_titan-epsilon_de_cache.dem,0,91253,91275,green
EPSILON • Uzzziii * ViewSonic,Maniac,109165,109186,93,96,320_titan-epsilon_de_cache.dem,0,91278,91298,green
EPSILON • Uzzziii * ViewSonic,Ex6TenZ,119911,119925,93,94,320_titan-epsilon_de_cache.dem,0,101352,101365,red
EPSILON • Uzzziii * ViewSonic,Maniac,119911,119986,93,96,320_titan-epsilon_de_cache.dem,0,101352,101423,green
EPSILON • Uzzziii * ViewSonic,Ex6TenZ,119941,119971,93,94,320_titan-epsilon_de_cache.dem,0,101380,101408,red
EPSILON • Uzzziii * ViewSonic,Ex6TenZ,120017,120049,93,94,320_titan-epsilon_de_cache.dem,0,101452,101482,red
EPSILON • Uzzziii * ViewSonic,kennyS,120044,120099,93,98,320_titan-epsilon_de_cache.dem,0,101477,101529,redBlue
EPSILON • Uzzziii * ViewSonic,KQLY,124327,124338,93,95,320_titan-epsilon_de_cache.dem,0,105492,105502,blue
EPSILON • Uzzziii * ViewSonic,kennyS,135402,135413,93,98,320_titan-epsilon_de_cache.dem,0,115875,115885,redBlue
EPSILON • Uzzziii * ViewSonic,Maniac,135424,135429,93,96,320_titan-epsilon_de_cache.dem,0,115896,115900,green
EPSILON • Uzzziii * ViewSonic,kennyS,138412,138451,93,98,320_titan-epsilon_de_cache.dem,0,118697,118733,redBlue
EPSILON • Uzzziii * ViewSonic,kennyS,144774,144817,93,98,320_titan-epsilon_de_cache.dem,0,124661,124702,redBlue
EPSILON • Uzzziii * ViewSonic,apEX[D],145905,145912,93,97,320_titan-epsilon_de_cache.dem,0,125721,125728,greenBlue
EPSILON • Uzzziii * ViewSonic,kennyS,154809,154835,93,98,320_titan-epsilon_de_cache.dem,0,134069,134093,redBlue
EPSILON • Uzzziii * ViewSonic,kennyS,155147,155270,93,98,320_titan-epsilon_de_cache.dem,0,134386,134501,redBlue
EPSILON • Uzzziii * ViewSonic,Maniac,155230,155270,93,96,320_titan-epsilon_de_cache.dem,0,134463,134501,green
EPSILON • Uzzziii * ViewSonic,kennyS,155392,155471,93,98,320_titan-epsilon_de_cache.dem,0,134616,134690,redBlue
EPSILON • Uzzziii * ViewSonic,kennyS,155567,155591,93,98,320_titan-epsilon_de_cache.dem,0,134780,134802,redBlue
EPSILON • Uzzziii * ViewSonic,kennyS,155606,155662,93,98,320_titan-epsilon_de_cache.dem,0,134816,134869,redBlue
EPSILON • Uzzziii * ViewSonic,KQLY,163393,163404,93,95,320_titan-epsilon_de_cache.dem,0,142117,142127,blue
EPSILON • Uzzziii * ViewSonic,KQLY,163424,163468,93,95,320_titan-epsilon_de_cache.dem,0,142146,142188,blue
EPSILON • Uzzziii * ViewSonic,kennyS,163873,164043,93,98,320_titan-epsilon_de_cache.dem,0,142567,142726,redBlue
EPSILON • Uzzziii * ViewSonic,Maniac,166302,166371,93,96,320_titan-epsilon_de_cache.dem,0,144844,144909,green
EPSILON • Uzzziii * ViewSonic,kennyS,173271,173302,93,98,320_titan-epsilon_de_cache.dem,0,151377,151406,redBlue
EPSILON • Uzzziii * ViewSonic,kennyS,173311,173324,93,98,320_titan-epsilon_de_cache.dem,0,151415,151427,redBlue
EPSILON • Uzzziii * ViewSonic,KQLY,173699,173719,93,95,320_titan-epsilon_de_cache.dem,0,151779,151797,blue
EPSILON • Uzzziii * ViewSonic,KQLY,173801,173845,93,95,320_titan-epsilon_de_cache.dem,0,151874,151915,blue
EPSILON • Uzzziii * ViewSonic,apEX[D],173902,173934,93,97,320_titan-epsilon_de_cache.dem,0,151969,151999,greenBlue
EPSILON • Uzzziii * ViewSonic,Ex6TenZ,182637,182730,93,94,320_titan-epsilon_de_cache.dem,0,160158,160245,red
EPSILON • Uzzziii * ViewSonic,KQLY,182703,182817,93,95,320_titan-epsilon_de_cache.dem,0,160220,160327,blue
EPSILON • Uzzziii * ViewSonic,kennyS,182783,182817,93,98,320_titan-epsilon_de_cache.dem,0,160295,160327,redBlue
EPSILON • Uzzziii * ViewSonic,apEX[D],193648,193668,93,97,320_titan-epsilon_de_cache.dem,0,170481,170500,greenBlue
EPSILON • Uzzziii * ViewSonic,KQLY,199031,199068,93,95,320_titan-epsilon_de_cache.dem,0,175527,175562,blue
EPSILON • Uzzziii * ViewSonic,apEX[D],199943,200009,93,97,320_titan-epsilon_de_cache.dem,0,176382,176445,greenBlue
EPSILON • Uzzziii * ViewSonic,apEX[D],200042,200058,93,97,320_titan-epsilon_de_cache.dem,0,176476,176490,greenBlue
EPSILON • Uzzziii * ViewSonic,apEX[D],200245,200262,93,97,320_titan-epsilon_de_cache.dem,0,176666,176682,greenBlue
EPSILON • Uzzziii * ViewSonic,Maniac,201500,201550,93,96,320_titan-epsilon_de_cache.dem,0,177842,177889,green
EPSILON • Uzzziii * ViewSonic,Maniac,201716,201756,93,96,320_titan-epsilon_de_cache.dem,0,178045,178082,green
EPSILON • Uzzziii * ViewSonic,KQLY,211551,211567,93,95,320_titan-epsilon_de_cache.dem,0,187265,187280,blue
EPSILON • Uzzziii * ViewSonic,KQLY,211584,211612,93,95,320_titan-epsilon_de_cache.dem,0,187296,187322,blue
EPSILON • Uzzziii * ViewSonic,KQLY,211624,211639,93,95,320_titan-epsilon_de_cache.dem,0,187333,187347,blue
EPSILON • Uzzziii * ViewSonic,KQLY,211705,211903,93,95,320_titan-epsilon_de_cache.dem,0,187409,187595,blue
EPSILON • Uzzziii * ViewSonic,Ex6TenZ,216737,216802,93,94,320_titan-epsilon_de_cache.dem,0,192127,192188,red
EPSILON • Uzzziii * ViewSonic,KQLY,216782,216835,93,95,320_titan-epsilon_de_cache.dem,0,192169,192219,blue
EPSILON • Uzzziii * ViewSonic,kennyS,216797,216802,93,98,320_titan-epsilon_de_cache.dem,0,192183,192188,redBlue
EPSILON • Uzzziii * ViewSonic,KQLY,228445,228472,93,95,320_titan-epsilon_de_cache.dem,0,203103,203128,blue
EPSILON • Uzzziii * ViewSonic,KQLY,228480,228522,93,95,320_titan-epsilon_de_cache.dem,0,203135,203175,blue
EPSILON • Uzzziii * ViewSonic,KQLY,228546,228601,93,95,320_titan-epsilon_de_cache.dem,0,203198,203249,blue
EPSILON • Uzzziii * ViewSonic,kennyS,228546,228612,93,98,320_titan-epsilon_de_cache.dem,0,203198,203259,redBlue
EPSILON • Uzzziii * ViewSonic,Ex6TenZ,240332,240412,93,94,320_titan-epsilon_de_cache.dem,0,214247,214322,red
EPSILON • Uzzziii * ViewSonic,KQLY,240347,240412,93,95,320_titan-epsilon_de_cache.dem,0,214261,214322,blue
