spotter,spotted,start_game_tick,end_game_tick,spotter_id,spotted_id,demo,hacking,start_frame_num,end_frame_num,color
Ex6TenZ,EPSILON MAJ3R,15525,15547,94,90,320_titan-epsilon_de_cache.dem,2,3479,3500,red
Ex6TenZ,EPSILON MAJ3R,15586,15609,94,90,320_titan-epsilon_de_cache.dem,2,3537,3559,red
Ex6TenZ,EPSILON G[M]X * Nike,21954,21962,94,89,320_titan-epsilon_de_cache.dem,2,9506,9514,green
Ex6TenZ,EPSILON • SIXER/j/,28470,28574,94,91,320_titan-epsilon_de_cache.dem,2,15615,15714,greenBlue
Ex6TenZ,EPSILON G[M]X * Nike,41095,41116,94,89,320_titan-epsilon_de_cache.dem,2,27451,27471,green
Ex6TenZ,EPSILON G[M]X * Nike,41217,41305,94,89,320_titan-epsilon_de_cache.dem,2,27566,27648,green
Ex6TenZ,EPSILON G[M]X * Nike,41425,41493,94,89,320_titan-epsilon_de_cache.dem,2,27761,27824,green
Ex6TenZ,EPSILON • Uzzziii * ViewSonic,48733,48771,94,93,320_titan-epsilon_de_cache.dem,2,34612,34647,blue
Ex6TenZ,EPSILON G[M]X * Nike,55895,55925,94,89,320_titan-epsilon_de_cache.dem,2,41326,41354,green
Ex6TenZ,EPSILON G[M]X * Nike,56153,56316,94,89,320_titan-epsilon_de_cache.dem,2,41568,41721,green
Ex6TenZ,EPSILON • Uzzziii * ViewSonic,86034,86107,94,93,320_titan-epsilon_de_cache.dem,2,69581,69650,blue
Ex6TenZ,EPSILON G[M]X * Nike,86458,86487,94,89,320_titan-epsilon_de_cache.dem,2,69979,70006,green
Ex6TenZ,EPSILON G[M]X * Nike,86549,86668,94,89,320_titan-epsilon_de_cache.dem,2,70064,70157,green
Ex6TenZ,EPSILON G[M]X * Nike,87561,87582,94,89,320_titan-epsilon_de_cache.dem,2,71013,71033,green
Ex6TenZ,EPSILON G[M]X * Nike,87982,87988,94,89,320_titan-epsilon_de_cache.dem,2,71408,71413,green
Ex6TenZ,EPSILON • ScreaM -R-,101376,101416,94,92,320_titan-epsilon_de_cache.dem,2,83964,84002,redBlue
Ex6TenZ,EPSILON G[M]X * Nike,119073,119170,94,89,320_titan-epsilon_de_cache.dem,2,100556,100647,green
Ex6TenZ,EPSILON • Uzzziii * ViewSonic,119899,120098,94,93,320_titan-epsilon_de_cache.dem,2,101330,101517,blue
Ex6TenZ,EPSILON MAJ3R,120144,120346,94,90,320_titan-epsilon_de_cache.dem,2,101560,101749,red
Ex6TenZ,EPSILON MAJ3R,146823,146851,94,90,320_titan-epsilon_de_cache.dem,2,126571,126597,red
Ex6TenZ,EPSILON • ScreaM -R-,152863,152991,94,92,320_titan-epsilon_de_cache.dem,2,132234,132354,redBlue
