spotter,spotted,start_game_tick,end_game_tick,spotter_id,spotted_id,demo,hacking,start_frame_num,end_frame_num,color
KQLY,EPSILON • SIXER/j/,16126,16282,95,91,320_titan-epsilon_de_cache.dem,2,4055,4201,greenBlue
KQLY,EPSILON • ScreaM -R-,17075,17139,95,92,320_titan-epsilon_de_cache.dem,2,4944,5005,redBlue
KQLY,EPSILON G[M]X * Nike,17334,17583,95,89,320_titan-epsilon_de_cache.dem,2,5187,5421,green
KQLY,EPSILON • Uzzziii * ViewSonic,17896,18026,95,93,320_titan-epsilon_de_cache.dem,2,5714,5836,blue
KQLY,EPSILON G[M]X * Nike,22773,22907,95,89,320_titan-epsilon_de_cache.dem,2,10286,10412,green
KQLY,EPSILON • Uzzziii * ViewSonic,27719,27824,95,93,320_titan-epsilon_de_cache.dem,2,14923,15022,blue
KQLY,EPSILON G[M]X * Nike,41089,41128,95,89,320_titan-epsilon_de_cache.dem,2,27458,27494,green
KQLY,EPSILON G[M]X * Nike,41131,41148,95,89,320_titan-epsilon_de_cache.dem,2,27497,27513,green
KQLY,EPSILON G[M]X * Nike,48651,48699,95,89,320_titan-epsilon_de_cache.dem,2,34547,34592,green
KQLY,EPSILON • Uzzziii * ViewSonic,51078,51187,95,93,320_titan-epsilon_de_cache.dem,2,36822,36925,blue
KQLY,EPSILON • Uzzziii * ViewSonic,51899,51954,95,93,320_titan-epsilon_de_cache.dem,2,37592,37644,blue
KQLY,EPSILON • Uzzziii * ViewSonic,51985,51991,95,93,320_titan-epsilon_de_cache.dem,2,37673,37678,blue
KQLY,EPSILON • Uzzziii * ViewSonic,59253,59298,95,93,320_titan-epsilon_de_cache.dem,2,44486,44529,blue
KQLY,EPSILON • Uzzziii * ViewSonic,59302,59321,95,93,320_titan-epsilon_de_cache.dem,2,44532,44550,blue
KQLY,EPSILON • Uzzziii * ViewSonic,62111,62133,95,93,320_titan-epsilon_de_cache.dem,2,47166,47186,blue
KQLY,EPSILON • Uzzziii * ViewSonic,85966,85990,95,93,320_titan-epsilon_de_cache.dem,2,69530,69552,blue
KQLY,EPSILON • Uzzziii * ViewSonic,86027,86050,95,93,320_titan-epsilon_de_cache.dem,2,69587,69609,blue
KQLY,EPSILON • Uzzziii * ViewSonic,86054,86104,95,93,320_titan-epsilon_de_cache.dem,2,69613,69660,blue
KQLY,EPSILON G[M]X * Nike,86591,86633,95,89,320_titan-epsilon_de_cache.dem,2,70116,70155,green
KQLY,EPSILON G[M]X * Nike,86636,86894,95,89,320_titan-epsilon_de_cache.dem,2,70158,70400,green
KQLY,EPSILON • Uzzziii * ViewSonic,86894,86916,95,93,320_titan-epsilon_de_cache.dem,2,70400,70420,blue
KQLY,EPSILON G[M]X * Nike,87441,87487,95,89,320_titan-epsilon_de_cache.dem,2,70913,70956,green
KQLY,EPSILON G[M]X * Nike,87490,87496,95,89,320_titan-epsilon_de_cache.dem,2,70959,70964,green
KQLY,EPSILON G[M]X * Nike,87679,87693,95,89,320_titan-epsilon_de_cache.dem,2,71136,71149,green
KQLY,EPSILON G[M]X * Nike,101854,101893,95,89,320_titan-epsilon_de_cache.dem,2,84425,84462,green
KQLY,EPSILON MAJ3R,106450,106486,95,90,320_titan-epsilon_de_cache.dem,2,88734,88767,red
KQLY,EPSILON MAJ3R,106497,106561,95,90,320_titan-epsilon_de_cache.dem,2,88778,88838,red
KQLY,EPSILON • SIXER/j/,106761,106802,95,91,320_titan-epsilon_de_cache.dem,2,89025,89064,greenBlue
KQLY,EPSILON • ScreaM -R-,106763,106845,95,92,320_titan-epsilon_de_cache.dem,2,89027,89075,redBlue
KQLY,EPSILON • Uzzziii * ViewSonic,106773,106797,95,93,320_titan-epsilon_de_cache.dem,2,89036,89059,blue
KQLY,EPSILON • SIXER/j/,106835,106839,95,91,320_titan-epsilon_de_cache.dem,2,89095,89098,greenBlue
KQLY,EPSILON MAJ3R,106988,107026,95,90,320_titan-epsilon_de_cache.dem,2,89238,89274,red
KQLY,EPSILON • ScreaM -R-,107001,107026,95,92,320_titan-epsilon_de_cache.dem,2,89250,89274,redBlue
KQLY,EPSILON • ScreaM -R-,107031,107090,95,92,320_titan-epsilon_de_cache.dem,2,89278,89334,redBlue
KQLY,EPSILON G[M]X * Nike,114373,114377,95,89,320_titan-epsilon_de_cache.dem,2,96161,96165,green
KQLY,EPSILON G[M]X * Nike,124035,124073,95,89,320_titan-epsilon_de_cache.dem,2,105219,105255,green
KQLY,EPSILON G[M]X * Nike,124130,124149,95,89,320_titan-epsilon_de_cache.dem,2,105308,105327,green
KQLY,EPSILON • Uzzziii * ViewSonic,124358,124366,95,93,320_titan-epsilon_de_cache.dem,2,105522,105530,blue
KQLY,EPSILON MAJ3R,124613,124633,95,90,320_titan-epsilon_de_cache.dem,2,105762,105780,red
KQLY,EPSILON MAJ3R,124669,124693,95,90,320_titan-epsilon_de_cache.dem,2,105814,105836,red
KQLY,EPSILON • SIXER/j/,125741,125755,95,91,320_titan-epsilon_de_cache.dem,2,106819,106832,greenBlue
KQLY,EPSILON • SIXER/j/,125799,125808,95,91,320_titan-epsilon_de_cache.dem,2,106874,106882,greenBlue
KQLY,EPSILON • SIXER/j/,126054,126075,95,91,320_titan-epsilon_de_cache.dem,2,107112,107132,greenBlue
KQLY,EPSILON G[M]X * Nike,135041,135094,95,89,320_titan-epsilon_de_cache.dem,2,115537,115587,green
KQLY,EPSILON G[M]X * Nike,147676,147780,95,89,320_titan-epsilon_de_cache.dem,2,127383,127480,green
KQLY,EPSILON • ScreaM -R-,147978,148072,95,92,320_titan-epsilon_de_cache.dem,2,127666,127754,redBlue
KQLY,EPSILON G[M]X * Nike,148003,148024,95,89,320_titan-epsilon_de_cache.dem,2,127689,127709,green
KQLY,EPSILON G[M]X * Nike,148036,148077,95,89,320_titan-epsilon_de_cache.dem,2,127721,127759,green
KQLY,EPSILON G[M]X * Nike,148131,148145,95,89,320_titan-epsilon_de_cache.dem,2,127810,127822,green
KQLY,EPSILON G[M]X * Nike,151736,151764,95,89,320_titan-epsilon_de_cache.dem,2,131189,131215,green
KQLY,EPSILON G[M]X * Nike,151924,151944,95,89,320_titan-epsilon_de_cache.dem,2,131365,131384,green
KQLY,EPSILON G[M]X * Nike,151948,151965,95,89,320_titan-epsilon_de_cache.dem,2,131388,131404,green
KQLY,EPSILON • ScreaM -R-,162915,162961,95,92,320_titan-epsilon_de_cache.dem,2,141669,141713,redBlue
KQLY,EPSILON • ScreaM -R-,162966,162980,95,92,320_titan-epsilon_de_cache.dem,2,141717,141731,redBlue
KQLY,EPSILON • ScreaM -R-,163393,163472,95,92,320_titan-epsilon_de_cache.dem,2,142118,142161,redBlue
KQLY,EPSILON • Uzzziii * ViewSonic,163394,163472,95,93,320_titan-epsilon_de_cache.dem,2,142119,142161,blue
KQLY,EPSILON • Uzzziii * ViewSonic,173702,173707,95,93,320_titan-epsilon_de_cache.dem,2,151782,151787,blue
