spotter,spotted,start_game_tick,end_game_tick,spotter_id,spotted_id,demo,hacking,start_frame_num,end_frame_num,color
Maniac,EPSILON MAJ3R,16390,16519,96,90,320_titan-epsilon_de_cache.dem,2,4302,4423,red
Maniac,EPSILON G[M]X * Nike,17167,17175,96,89,320_titan-epsilon_de_cache.dem,2,5031,5038,green
Maniac,EPSILON • Uzzziii * ViewSonic,17733,17756,96,93,320_titan-epsilon_de_cache.dem,2,5561,5583,blue
Maniac,EPSILON • Uzzziii * ViewSonic,17781,18026,96,93,320_titan-epsilon_de_cache.dem,2,5606,5836,blue
Maniac,EPSILON • Uzzziii * ViewSonic,24063,24091,96,93,320_titan-epsilon_de_cache.dem,2,11496,11522,blue
Maniac,EPSILON MAJ3R,24092,24122,96,90,320_titan-epsilon_de_cache.dem,2,11523,11551,red
Maniac,EPSILON • Uzzziii * ViewSonic,24118,24122,96,93,320_titan-epsilon_de_cache.dem,2,11547,11551,blue
Maniac,EPSILON • Uzzziii * ViewSonic,24125,24291,96,93,320_titan-epsilon_de_cache.dem,2,11554,11709,blue
Maniac,EPSILON MAJ3R,24173,24297,96,90,320_titan-epsilon_de_cache.dem,2,11599,11715,red
Maniac,EPSILON • ScreaM -R-,24218,24291,96,92,320_titan-epsilon_de_cache.dem,2,11641,11644,redBlue
Maniac,EPSILON MAJ3R,24306,24351,96,90,320_titan-epsilon_de_cache.dem,2,11724,11766,red
Maniac,EPSILON • Uzzziii * ViewSonic,24319,24387,96,93,320_titan-epsilon_de_cache.dem,2,11736,11800,blue
Maniac,EPSILON • ScreaM -R-,24345,24351,96,92,320_titan-epsilon_de_cache.dem,2,11760,11766,redBlue
Maniac,EPSILON • Uzzziii * ViewSonic,24427,24442,96,93,320_titan-epsilon_de_cache.dem,2,11837,11851,blue
Maniac,EPSILON • ScreaM -R-,36793,36929,96,92,320_titan-epsilon_de_cache.dem,2,23430,23510,redBlue
Maniac,EPSILON • ScreaM -R-,47307,47406,96,92,320_titan-epsilon_de_cache.dem,2,33287,33380,redBlue
Maniac,EPSILON • Uzzziii * ViewSonic,47671,47702,96,93,320_titan-epsilon_de_cache.dem,2,33628,33657,blue
Maniac,EPSILON MAJ3R,47679,47702,96,90,320_titan-epsilon_de_cache.dem,2,33636,33657,red
Maniac,EPSILON • SIXER/j/,63450,63738,96,91,320_titan-epsilon_de_cache.dem,2,48421,48691,greenBlue
Maniac,EPSILON G[M]X * Nike,72142,72215,96,89,320_titan-epsilon_de_cache.dem,2,56570,56640,green
Maniac,EPSILON • ScreaM -R-,72184,72215,96,92,320_titan-epsilon_de_cache.dem,2,56610,56640,redBlue
Maniac,EPSILON MAJ3R,77457,77498,96,90,320_titan-epsilon_de_cache.dem,2,61552,61591,red
Maniac,EPSILON • ScreaM -R-,77460,77567,96,92,320_titan-epsilon_de_cache.dem,2,61555,61656,redBlue
Maniac,EPSILON • Uzzziii * ViewSonic,78264,78360,96,93,320_titan-epsilon_de_cache.dem,2,62309,62399,blue
Maniac,EPSILON • SIXER/j/,78494,78559,96,91,320_titan-epsilon_de_cache.dem,2,62525,62586,greenBlue
Maniac,EPSILON MAJ3R,86616,86630,96,90,320_titan-epsilon_de_cache.dem,2,70139,70152,red
Maniac,EPSILON • ScreaM -R-,86616,86630,96,92,320_titan-epsilon_de_cache.dem,2,70139,70152,redBlue
Maniac,EPSILON MAJ3R,86648,86654,96,90,320_titan-epsilon_de_cache.dem,2,70169,70175,red
Maniac,EPSILON • ScreaM -R-,86648,86654,96,92,320_titan-epsilon_de_cache.dem,2,70169,70175,redBlue
Maniac,EPSILON • Uzzziii * ViewSonic,109165,109186,96,93,320_titan-epsilon_de_cache.dem,2,91279,91299,blue
Maniac,EPSILON • Uzzziii * ViewSonic,117781,117803,96,93,320_titan-epsilon_de_cache.dem,2,99356,99377,blue
Maniac,EPSILON G[M]X * Nike,119034,119060,96,89,320_titan-epsilon_de_cache.dem,2,100531,100555,green
Maniac,EPSILON G[M]X * Nike,119072,119220,96,89,320_titan-epsilon_de_cache.dem,2,100567,100706,green
Maniac,EPSILON • ScreaM -R-,119212,119220,96,92,320_titan-epsilon_de_cache.dem,2,100699,100706,redBlue
Maniac,EPSILON G[M]X * Nike,119476,119690,96,89,320_titan-epsilon_de_cache.dem,2,100946,101147,green
Maniac,EPSILON • SIXER/j/,119601,119611,96,91,320_titan-epsilon_de_cache.dem,2,101063,101072,greenBlue
Maniac,EPSILON • ScreaM -R-,119620,119625,96,92,320_titan-epsilon_de_cache.dem,2,101081,101086,redBlue
Maniac,EPSILON • ScreaM -R-,119632,119639,96,92,320_titan-epsilon_de_cache.dem,2,101092,101099,redBlue
Maniac,EPSILON • Uzzziii * ViewSonic,119643,119671,96,93,320_titan-epsilon_de_cache.dem,2,101103,101128,blue
Maniac,EPSILON • ScreaM -R-,119671,119714,96,92,320_titan-epsilon_de_cache.dem,2,101128,101169,redBlue
Maniac,EPSILON MAJ3R,119826,119971,96,90,320_titan-epsilon_de_cache.dem,2,101274,101410,red
Maniac,EPSILON • Uzzziii * ViewSonic,119905,119978,96,93,320_titan-epsilon_de_cache.dem,2,101348,101416,blue
Maniac,EPSILON MAJ3R,120142,120329,96,90,320_titan-epsilon_de_cache.dem,2,101570,101745,red
Maniac,EPSILON MAJ3R,131722,131741,96,90,320_titan-epsilon_de_cache.dem,2,112426,112444,red
Maniac,EPSILON • Uzzziii * ViewSonic,133354,133372,96,93,320_titan-epsilon_de_cache.dem,2,113956,113973,blue
Maniac,EPSILON • Uzzziii * ViewSonic,135418,135441,96,93,320_titan-epsilon_de_cache.dem,2,115891,115913,blue
Maniac,EPSILON • ScreaM -R-,138002,138102,96,92,320_titan-epsilon_de_cache.dem,2,118313,118407,redBlue
Maniac,EPSILON • ScreaM -R-,140587,140647,96,92,320_titan-epsilon_de_cache.dem,2,120737,120793,redBlue
Maniac,EPSILON • ScreaM -R-,140859,141067,96,92,320_titan-epsilon_de_cache.dem,2,120992,121188,redBlue
Maniac,EPSILON G[M]X * Nike,146490,146526,96,89,320_titan-epsilon_de_cache.dem,2,126271,126305,green
Maniac,EPSILON G[M]X * Nike,147065,147098,96,89,320_titan-epsilon_de_cache.dem,2,126810,126841,green
Maniac,EPSILON G[M]X * Nike,152604,152616,96,89,320_titan-epsilon_de_cache.dem,2,132002,132014,green
Maniac,EPSILON MAJ3R,160503,160585,96,90,320_titan-epsilon_de_cache.dem,2,139408,139485,red
Maniac,EPSILON • Uzzziii * ViewSonic,166293,166366,96,93,320_titan-epsilon_de_cache.dem,2,144836,144905,blue
Maniac,EPSILON G[M]X * Nike,166445,166552,96,89,320_titan-epsilon_de_cache.dem,2,144979,145080,green
Maniac,EPSILON • SIXER/j/,176112,176142,96,91,320_titan-epsilon_de_cache.dem,2,154042,154069,greenBlue
Maniac,EPSILON • SIXER/j/,176178,176234,96,91,320_titan-epsilon_de_cache.dem,2,154103,154156,greenBlue
Maniac,EPSILON • ScreaM -R-,182895,182951,96,92,320_titan-epsilon_de_cache.dem,2,160401,160453,redBlue
Maniac,EPSILON • SIXER/j/,198132,198145,96,91,320_titan-epsilon_de_cache.dem,2,174685,174698,greenBlue
Maniac,EPSILON • Uzzziii * ViewSonic,201495,201537,96,93,320_titan-epsilon_de_cache.dem,2,177838,177877,blue
Maniac,EPSILON MAJ3R,202249,202290,96,90,320_titan-epsilon_de_cache.dem,2,178545,178584,red
Maniac,EPSILON • ScreaM -R-,202313,202320,96,92,320_titan-epsilon_de_cache.dem,2,178605,178611,redBlue
Maniac,EPSILON • ScreaM -R-,202394,202412,96,92,320_titan-epsilon_de_cache.dem,2,178681,178698,redBlue
Maniac,EPSILON MAJ3R,202405,202422,96,90,320_titan-epsilon_de_cache.dem,2,178691,178707,red
Maniac,EPSILON • ScreaM -R-,202419,202479,96,92,320_titan-epsilon_de_cache.dem,2,178704,178761,redBlue
Maniac,EPSILON • SIXER/j/,217382,217650,96,91,320_titan-epsilon_de_cache.dem,2,192732,192984,greenBlue
Maniac,EPSILON • ScreaM -R-,217836,217874,96,92,320_titan-epsilon_de_cache.dem,2,193158,193194,redBlue
Maniac,EPSILON G[M]X * Nike,221432,221510,96,89,320_titan-epsilon_de_cache.dem,2,196529,196602,green
Maniac,EPSILON • ScreaM -R-,227807,227849,96,92,320_titan-epsilon_de_cache.dem,2,202506,202545,redBlue
Maniac,EPSILON • ScreaM -R-,227877,228206,96,92,320_titan-epsilon_de_cache.dem,2,202571,202880,redBlue
Maniac,EPSILON • ScreaM -R-,228224,228230,96,92,320_titan-epsilon_de_cache.dem,2,202897,202903,redBlue
Maniac,EPSILON • SIXER/j/,229691,229738,96,91,320_titan-epsilon_de_cache.dem,2,204273,204312,greenBlue
Maniac,EPSILON • SIXER/j/,230001,230030,96,91,320_titan-epsilon_de_cache.dem,2,204563,204590,greenBlue
Maniac,EPSILON • SIXER/j/,230063,230106,96,91,320_titan-epsilon_de_cache.dem,2,204621,204661,greenBlue
Maniac,EPSILON • SIXER/j/,230144,230152,96,91,320_titan-epsilon_de_cache.dem,2,204696,204704,greenBlue
Maniac,EPSILON MAJ3R,230787,230912,96,90,320_titan-epsilon_de_cache.dem,2,205299,205417,red
Maniac,EPSILON G[M]X * Nike,234810,234816,96,89,320_titan-epsilon_de_cache.dem,2,209071,209077,green
Maniac,EPSILON G[M]X * Nike,234889,234892,96,89,320_titan-epsilon_de_cache.dem,2,209145,209148,green
Maniac,EPSILON MAJ3R,235171,235181,96,90,320_titan-epsilon_de_cache.dem,2,209410,209419,red
Maniac,EPSILON • SIXER/j/,240871,240925,96,91,320_titan-epsilon_de_cache.dem,2,214753,214804,greenBlue
Maniac,EPSILON G[M]X * Nike,251843,251898,96,89,320_titan-epsilon_de_cache.dem,2,225039,225091,green
Maniac,EPSILON G[M]X * Nike,251913,252033,96,89,320_titan-epsilon_de_cache.dem,2,225105,225218,green
Maniac,EPSILON MAJ3R,281311,281478,96,90,320_titan-epsilon_de_cache.dem,2,252666,252823,red
Maniac,EPSILON MAJ3R,281720,282033,96,90,320_titan-epsilon_de_cache.dem,2,253050,253344,red
Maniac,EPSILON MAJ3R,283071,283076,96,90,320_titan-epsilon_de_cache.dem,2,254316,254321,red
Maniac,EPSILON MAJ3R,283080,283154,96,90,320_titan-epsilon_de_cache.dem,2,254324,254393,red
Maniac,EPSILON MAJ3R,283162,283205,96,90,320_titan-epsilon_de_cache.dem,2,254401,254441,red
Maniac,EPSILON MAJ3R,283408,284917,96,90,320_titan-epsilon_de_cache.dem,2,254631,256046,red
Maniac,EPSILON • ScreaM -R-,291707,291732,96,92,320_titan-epsilon_de_cache.dem,2,262412,262436,redBlue
Maniac,EPSILON • Uzzziii * ViewSonic,291717,291725,96,93,320_titan-epsilon_de_cache.dem,2,262421,262429,blue
Maniac,EPSILON • ScreaM -R-,299831,300004,96,92,320_titan-epsilon_de_cache.dem,2,270029,270192,redBlue
Maniac,EPSILON G[M]X * Nike,305571,305589,96,89,320_titan-epsilon_de_cache.dem,2,275409,275426,green
Maniac,EPSILON MAJ3R,305589,305716,96,90,320_titan-epsilon_de_cache.dem,2,275426,275545,red
Maniac,EPSILON G[M]X * Nike,316298,316370,96,89,320_titan-epsilon_de_cache.dem,2,285466,285533,green
Maniac,EPSILON G[M]X * Nike,319843,319887,96,89,320_titan-epsilon_de_cache.dem,2,288790,288831,green
Maniac,EPSILON • Uzzziii * ViewSonic,319849,319852,96,93,320_titan-epsilon_de_cache.dem,2,288795,288798,blue
