spotter,spotted,start_game_tick,end_game_tick,spotter_id,spotted_id,demo,hacking,start_frame_num,end_frame_num,color
kennyS,EPSILON • ScreaM -R-,16721,16727,98,92,320_titan-epsilon_de_cache.dem,2,4613,4619,redBlue
kennyS,EPSILON • ScreaM -R-,16892,17020,98,92,320_titan-epsilon_de_cache.dem,2,4773,4893,redBlue
kennyS,EPSILON • ScreaM -R-,22862,22969,98,92,320_titan-epsilon_de_cache.dem,2,10370,10471,redBlue
kennyS,EPSILON • ScreaM -R-,23017,23033,98,92,320_titan-epsilon_de_cache.dem,2,10515,10531,redBlue
kennyS,EPSILON • SIXER/j/,33245,33279,98,91,320_titan-epsilon_de_cache.dem,2,20105,20136,greenBlue
kennyS,EPSILON G[M]X * Nike,33406,33456,98,89,320_titan-epsilon_de_cache.dem,2,20255,20302,green
kennyS,EPSILON G[M]X * Nike,33484,33527,98,89,320_titan-epsilon_de_cache.dem,2,20328,20369,green
kennyS,EPSILON • SIXER/j/,33590,33730,98,91,320_titan-epsilon_de_cache.dem,2,20428,20559,greenBlue
kennyS,EPSILON • Uzzziii * ViewSonic,33872,33889,98,93,320_titan-epsilon_de_cache.dem,2,20692,20708,blue
kennyS,EPSILON • Uzzziii * ViewSonic,33907,33958,98,93,320_titan-epsilon_de_cache.dem,2,20725,20773,blue
kennyS,EPSILON MAJ3R,33996,34013,98,90,320_titan-epsilon_de_cache.dem,2,20809,20824,red
kennyS,EPSILON MAJ3R,34037,34080,98,90,320_titan-epsilon_de_cache.dem,2,20847,20887,red
kennyS,EPSILON MAJ3R,34138,34312,98,90,320_titan-epsilon_de_cache.dem,2,20942,21105,red
kennyS,EPSILON • SIXER/j/,47070,47109,98,91,320_titan-epsilon_de_cache.dem,2,33065,33102,greenBlue
kennyS,EPSILON MAJ3R,47567,47649,98,90,320_titan-epsilon_de_cache.dem,2,33531,33609,red
kennyS,EPSILON • Uzzziii * ViewSonic,48108,48150,98,93,320_titan-epsilon_de_cache.dem,2,34038,34078,blue
kennyS,EPSILON • Uzzziii * ViewSonic,48153,48180,98,93,320_titan-epsilon_de_cache.dem,2,34081,34106,blue
kennyS,EPSILON • SIXER/j/,59959,59987,98,91,320_titan-epsilon_de_cache.dem,2,45148,45175,greenBlue
kennyS,EPSILON • SIXER/j/,72058,72083,98,91,320_titan-epsilon_de_cache.dem,2,56491,56515,greenBlue
kennyS,EPSILON MAJ3R,77239,77279,98,90,320_titan-epsilon_de_cache.dem,2,61348,61386,red
kennyS,EPSILON MAJ3R,77282,77326,98,90,320_titan-epsilon_de_cache.dem,2,61389,61430,red
kennyS,EPSILON MAJ3R,77483,77498,98,90,320_titan-epsilon_de_cache.dem,2,61577,61592,red
kennyS,EPSILON • ScreaM -R-,77485,77568,98,92,320_titan-epsilon_de_cache.dem,2,61579,61657,redBlue
kennyS,EPSILON • SIXER/j/,85244,85279,98,91,320_titan-epsilon_de_cache.dem,2,68854,68886,greenBlue
kennyS,EPSILON MAJ3R,89138,89161,98,90,320_titan-epsilon_de_cache.dem,2,72503,72526,red
kennyS,EPSILON • Uzzziii * ViewSonic,89304,89462,98,93,320_titan-epsilon_de_cache.dem,2,72659,72763,blue
kennyS,EPSILON • SIXER/j/,117311,117338,98,91,320_titan-epsilon_de_cache.dem,2,98916,98942,greenBlue
kennyS,EPSILON • ScreaM -R-,119630,119714,98,92,320_titan-epsilon_de_cache.dem,2,101091,101169,redBlue
kennyS,EPSILON • Uzzziii * ViewSonic,119844,120098,98,93,320_titan-epsilon_de_cache.dem,2,101291,101529,blue
kennyS,EPSILON • Uzzziii * ViewSonic,133067,133094,98,93,320_titan-epsilon_de_cache.dem,2,113687,113713,blue
kennyS,EPSILON • Uzzziii * ViewSonic,133251,133365,98,93,320_titan-epsilon_de_cache.dem,2,113860,113958,blue
kennyS,EPSILON • Uzzziii * ViewSonic,133371,133379,98,93,320_titan-epsilon_de_cache.dem,2,113972,113980,blue
kennyS,EPSILON MAJ3R,134146,134197,98,90,320_titan-epsilon_de_cache.dem,2,114699,114731,red
kennyS,EPSILON • Uzzziii * ViewSonic,138416,138451,98,93,320_titan-epsilon_de_cache.dem,2,118701,118735,blue
kennyS,EPSILON • SIXER/j/,140528,140560,98,91,320_titan-epsilon_de_cache.dem,2,120682,120712,greenBlue
kennyS,EPSILON • Uzzziii * ViewSonic,144779,144804,98,93,320_titan-epsilon_de_cache.dem,2,124667,124691,blue
kennyS,EPSILON • ScreaM -R-,145047,145098,98,92,320_titan-epsilon_de_cache.dem,2,124918,124967,redBlue
kennyS,EPSILON • ScreaM -R-,145102,145125,98,92,320_titan-epsilon_de_cache.dem,2,124970,124992,redBlue
kennyS,EPSILON MAJ3R,154752,154788,98,90,320_titan-epsilon_de_cache.dem,2,134017,134051,red
kennyS,EPSILON • Uzzziii * ViewSonic,155150,155204,98,93,320_titan-epsilon_de_cache.dem,2,134390,134441,blue
kennyS,EPSILON • Uzzziii * ViewSonic,155224,155256,98,93,320_titan-epsilon_de_cache.dem,2,134459,134490,blue
kennyS,EPSILON • Uzzziii * ViewSonic,155260,155277,98,93,320_titan-epsilon_de_cache.dem,2,134494,134510,blue
kennyS,EPSILON • Uzzziii * ViewSonic,155395,155418,98,93,320_titan-epsilon_de_cache.dem,2,134620,134642,blue
kennyS,EPSILON • Uzzziii * ViewSonic,155446,155476,98,93,320_titan-epsilon_de_cache.dem,2,134668,134696,blue
kennyS,EPSILON • SIXER/j/,155463,155476,98,91,320_titan-epsilon_de_cache.dem,2,134684,134696,greenBlue
kennyS,EPSILON • SIXER/j/,155479,155501,98,91,320_titan-epsilon_de_cache.dem,2,134699,134720,greenBlue
kennyS,EPSILON • Uzzziii * ViewSonic,155479,155489,98,93,320_titan-epsilon_de_cache.dem,2,134699,134708,blue
kennyS,EPSILON • Uzzziii * ViewSonic,155620,155667,98,93,320_titan-epsilon_de_cache.dem,2,134831,134875,blue
kennyS,EPSILON • SIXER/j/,159387,159413,98,91,320_titan-epsilon_de_cache.dem,2,138362,138387,greenBlue
kennyS,EPSILON • SIXER/j/,159416,159444,98,91,320_titan-epsilon_de_cache.dem,2,138390,138416,greenBlue
kennyS,EPSILON • SIXER/j/,160935,160969,98,91,320_titan-epsilon_de_cache.dem,2,139813,139846,greenBlue
kennyS,EPSILON • Uzzziii * ViewSonic,163882,163924,98,93,320_titan-epsilon_de_cache.dem,2,142577,142616,blue
kennyS,EPSILON • Uzzziii * ViewSonic,163927,164016,98,93,320_titan-epsilon_de_cache.dem,2,142619,142702,blue
kennyS,EPSILON • Uzzziii * ViewSonic,172953,172998,98,93,320_titan-epsilon_de_cache.dem,2,151080,151123,blue
kennyS,EPSILON • ScreaM -R-,173251,173335,98,92,320_titan-epsilon_de_cache.dem,2,151360,151439,redBlue
kennyS,EPSILON • Uzzziii * ViewSonic,173273,173309,98,93,320_titan-epsilon_de_cache.dem,2,151381,151414,blue
kennyS,EPSILON • Uzzziii * ViewSonic,173315,173324,98,93,320_titan-epsilon_de_cache.dem,2,151420,151428,blue
kennyS,EPSILON • Uzzziii * ViewSonic,182790,182816,98,93,320_titan-epsilon_de_cache.dem,2,160302,160327,blue
kennyS,EPSILON • ScreaM -R-,182799,182928,98,92,320_titan-epsilon_de_cache.dem,2,160311,160432,redBlue
kennyS,EPSILON • ScreaM -R-,182931,182939,98,92,320_titan-epsilon_de_cache.dem,2,160435,160443,redBlue
kennyS,EPSILON • SIXER/j/,183869,183935,98,91,320_titan-epsilon_de_cache.dem,2,161314,161376,greenBlue
kennyS,EPSILON • SIXER/j/,184804,184844,98,91,320_titan-epsilon_de_cache.dem,2,162191,162229,greenBlue
kennyS,EPSILON G[M]X * Nike,184808,184841,98,89,320_titan-epsilon_de_cache.dem,2,162195,162226,green
