spotter,spotted,start_game_tick,end_game_tick,spotter_id,spotted_id,demo,hacking,start_frame_num,end_frame_num,color
Edward,LDLC kiokiNgo * CMSTORM,20055,20068,99,104,335_natus-vincere-team-ldlc_de_dust2.dem,2,7384,7396,blue
Edward,LDLC kiokiNgo * CMSTORM,21247,21324,99,104,335_natus-vincere-team-ldlc_de_dust2.dem,2,8501,8574,blue
Edward,LDLC SMITHZZ * CMSTORM,27915,27937,99,103,335_natus-vincere-team-ldlc_de_dust2.dem,2,14753,14773,redBlue
Edward,LDLC SMITHZZ * CMSTORM,27983,28109,99,103,335_natus-vincere-team-ldlc_de_dust2.dem,2,14816,14935,redBlue
Edward,LDLC kiokiNgo * CMSTORM,51269,51310,99,104,335_natus-vincere-team-ldlc_de_dust2.dem,2,36647,36685,blue
Edward,LDLC kiokiNgo * CMSTORM,51333,51570,99,104,335_natus-vincere-team-ldlc_de_dust2.dem,2,36707,36929,blue
Edward,LDLC kiokiNgo * CMSTORM,51580,51585,99,104,335_natus-vincere-team-ldlc_de_dust2.dem,2,36939,36943,blue
Edward,LDLC kiokiNgo * CMSTORM,52284,52375,99,104,335_natus-vincere-team-ldlc_de_dust2.dem,2,37599,37684,blue
Edward,LDLC NBeardK- * CMSTORM,53392,53419,99,102,335_natus-vincere-team-ldlc_de_dust2.dem,2,38638,38647,red
Edward,LDLC NBeardK- * CMSTORM,53426,53443,99,102,335_natus-vincere-team-ldlc_de_dust2.dem,2,38669,38685,red
Edward,LDLC Happy * CMSTORM,53454,53551,99,101,335_natus-vincere-team-ldlc_de_dust2.dem,2,38696,38787,greenBlue
Edward,LDLC NBeardK- * CMSTORM,53618,53669,99,102,335_natus-vincere-team-ldlc_de_dust2.dem,2,38850,38897,red
Edward,LDLC shox * CMSTORM,56938,56986,99,105,335_natus-vincere-team-ldlc_de_dust2.dem,2,41962,42008,green
Edward,LDLC shox * CMSTORM,58829,58900,99,105,335_natus-vincere-team-ldlc_de_dust2.dem,2,43735,43801,green
Edward,LDLC shox * CMSTORM,58982,59084,99,105,335_natus-vincere-team-ldlc_de_dust2.dem,2,43878,43974,green
Edward,LDLC kiokiNgo * CMSTORM,63311,63365,99,104,335_natus-vincere-team-ldlc_de_dust2.dem,2,47937,47987,blue
Edward,LDLC kiokiNgo * CMSTORM,63406,63485,99,104,335_natus-vincere-team-ldlc_de_dust2.dem,2,48025,48099,blue
Edward,LDLC kiokiNgo * CMSTORM,63489,63748,99,104,335_natus-vincere-team-ldlc_de_dust2.dem,2,48103,48346,blue
Edward,LDLC kiokiNgo * CMSTORM,63773,63786,99,104,335_natus-vincere-team-ldlc_de_dust2.dem,2,48370,48382,blue
Edward,LDLC kiokiNgo * CMSTORM,63793,63799,99,104,335_natus-vincere-team-ldlc_de_dust2.dem,2,48388,48394,blue
Edward,LDLC kiokiNgo * CMSTORM,64036,64102,99,104,335_natus-vincere-team-ldlc_de_dust2.dem,2,48616,48678,blue
Edward,LDLC shox * CMSTORM,64841,64894,99,105,335_natus-vincere-team-ldlc_de_dust2.dem,2,49371,49421,green
Edward,LDLC NBeardK- * CMSTORM,75310,75429,99,102,335_natus-vincere-team-ldlc_de_dust2.dem,2,59185,59297,red
Edward,LDLC NBeardK- * CMSTORM,75546,75651,99,102,335_natus-vincere-team-ldlc_de_dust2.dem,2,59407,59505,red
Edward,LDLC NBeardK- * CMSTORM,75744,75819,99,102,335_natus-vincere-team-ldlc_de_dust2.dem,2,59593,59663,red
Edward,LDLC NBeardK- * CMSTORM,75860,75880,99,102,335_natus-vincere-team-ldlc_de_dust2.dem,2,59701,59720,red
Edward,LDLC NBeardK- * CMSTORM,75895,75928,99,102,335_natus-vincere-team-ldlc_de_dust2.dem,2,59735,59765,red
Edward,LDLC NBeardK- * CMSTORM,75941,75965,99,102,335_natus-vincere-team-ldlc_de_dust2.dem,2,59777,59800,red
Edward,LDLC SMITHZZ * CMSTORM,77843,77864,99,103,335_natus-vincere-team-ldlc_de_dust2.dem,2,61560,61580,redBlue
Edward,LDLC kiokiNgo * CMSTORM,78285,78341,99,104,335_natus-vincere-team-ldlc_de_dust2.dem,2,61974,62027,blue
Edward,LDLC kiokiNgo * CMSTORM,78454,78481,99,104,335_natus-vincere-team-ldlc_de_dust2.dem,2,62133,62158,blue
Edward,LDLC kiokiNgo * CMSTORM,78640,78694,99,104,335_natus-vincere-team-ldlc_de_dust2.dem,2,62307,62358,blue
Edward,LDLC kiokiNgo * CMSTORM,90535,90748,99,104,335_natus-vincere-team-ldlc_de_dust2.dem,2,73459,73659,blue
Edward,LDLC kiokiNgo * CMSTORM,90859,90937,99,104,335_natus-vincere-team-ldlc_de_dust2.dem,2,73763,73836,blue
Edward,LDLC NBeardK- * CMSTORM,93003,93080,99,102,335_natus-vincere-team-ldlc_de_dust2.dem,2,75772,75845,red
Edward,LDLC NBeardK- * CMSTORM,93090,93106,99,102,335_natus-vincere-team-ldlc_de_dust2.dem,2,75854,75870,red
Edward,LDLC shox * CMSTORM,96981,97024,99,105,335_natus-vincere-team-ldlc_de_dust2.dem,2,79502,79542,green
Edward,LDLC NBeardK- * CMSTORM,100468,100545,99,102,335_natus-vincere-team-ldlc_de_dust2.dem,2,82771,82843,red
Edward,LDLC Happy * CMSTORM,101824,101922,99,101,335_natus-vincere-team-ldlc_de_dust2.dem,2,84042,84134,greenBlue
Edward,LDLC kiokiNgo * CMSTORM,101878,101922,99,104,335_natus-vincere-team-ldlc_de_dust2.dem,2,84093,84134,blue
Edward,LDLC NBeardK- * CMSTORM,102616,102633,99,102,335_natus-vincere-team-ldlc_de_dust2.dem,2,84785,84802,red
Edward,LDLC NBeardK- * CMSTORM,106659,106807,99,102,335_natus-vincere-team-ldlc_de_dust2.dem,2,88575,88714,red
