spotter,spotted,start_game_tick,end_game_tick,spotter_id,spotted_id,demo,hacking,start_frame_num,end_frame_num,color
GuardviaN,LDLC SMITHZZ * CMSTORM,20958,21128,100,103,335_natus-vincere-team-ldlc_de_dust2.dem,2,8229,8388,redBlue
GuardviaN,LDLC SMITHZZ * CMSTORM,21186,21191,100,103,335_natus-vincere-team-ldlc_de_dust2.dem,2,8443,8447,redBlue
GuardviaN,LDLC SMITHZZ * CMSTORM,27746,27752,100,103,335_natus-vincere-team-ldlc_de_dust2.dem,2,14592,14598,redBlue
GuardviaN,LDLC SMITHZZ * CMSTORM,27761,27778,100,103,335_natus-vincere-team-ldlc_de_dust2.dem,2,14607,14623,redBlue
GuardviaN,LDLC SMITHZZ * CMSTORM,27939,28109,100,103,335_natus-vincere-team-ldlc_de_dust2.dem,2,14774,14933,redBlue
GuardviaN,LDLC shox * CMSTORM,31299,31443,100,105,335_natus-vincere-team-ldlc_de_dust2.dem,2,17924,18058,green
GuardviaN,LDLC shox * CMSTORM,31481,31504,100,105,335_natus-vincere-team-ldlc_de_dust2.dem,2,18094,18116,green
GuardviaN,LDLC shox * CMSTORM,43429,43448,100,105,335_natus-vincere-team-ldlc_de_dust2.dem,2,29295,29313,green
GuardviaN,LDLC Happy * CMSTORM,43588,43603,100,101,335_natus-vincere-team-ldlc_de_dust2.dem,2,29445,29459,greenBlue
GuardviaN,LDLC Happy * CMSTORM,43658,43702,100,101,335_natus-vincere-team-ldlc_de_dust2.dem,2,29510,29551,greenBlue
GuardviaN,LDLC Happy * CMSTORM,43743,43788,100,101,335_natus-vincere-team-ldlc_de_dust2.dem,2,29590,29632,greenBlue
GuardviaN,LDLC Happy * CMSTORM,43869,43915,100,101,335_natus-vincere-team-ldlc_de_dust2.dem,2,29708,29751,greenBlue
GuardviaN,LDLC SMITHZZ * CMSTORM,44013,44059,100,103,335_natus-vincere-team-ldlc_de_dust2.dem,2,29843,29887,redBlue
GuardviaN,LDLC SMITHZZ * CMSTORM,44106,44156,100,103,335_natus-vincere-team-ldlc_de_dust2.dem,2,29930,29977,redBlue
GuardviaN,LDLC SMITHZZ * CMSTORM,44159,44194,100,103,335_natus-vincere-team-ldlc_de_dust2.dem,2,29980,30012,redBlue
GuardviaN,LDLC SMITHZZ * CMSTORM,44335,44351,100,103,335_natus-vincere-team-ldlc_de_dust2.dem,2,30145,30160,redBlue
GuardviaN,LDLC kiokiNgo * CMSTORM,44346,44351,100,104,335_natus-vincere-team-ldlc_de_dust2.dem,2,30155,30160,blue
GuardviaN,LDLC SMITHZZ * CMSTORM,44407,44445,100,103,335_natus-vincere-team-ldlc_de_dust2.dem,2,30213,30248,redBlue
GuardviaN,LDLC SMITHZZ * CMSTORM,44580,44587,100,103,335_natus-vincere-team-ldlc_de_dust2.dem,2,30374,30381,redBlue
GuardviaN,LDLC SMITHZZ * CMSTORM,44596,44663,100,103,335_natus-vincere-team-ldlc_de_dust2.dem,2,30389,30413,redBlue
GuardviaN,LDLC SMITHZZ * CMSTORM,44673,44680,100,103,335_natus-vincere-team-ldlc_de_dust2.dem,2,30462,30468,redBlue
GuardviaN,LDLC SMITHZZ * CMSTORM,46816,46841,100,103,335_natus-vincere-team-ldlc_de_dust2.dem,2,32471,32494,redBlue
GuardviaN,LDLC SMITHZZ * CMSTORM,47015,47072,100,103,335_natus-vincere-team-ldlc_de_dust2.dem,2,32657,32711,redBlue
GuardviaN,LDLC SMITHZZ * CMSTORM,47184,47219,100,103,335_natus-vincere-team-ldlc_de_dust2.dem,2,32816,32849,redBlue
GuardviaN,LDLC SMITHZZ * CMSTORM,47253,47263,100,103,335_natus-vincere-team-ldlc_de_dust2.dem,2,32880,32890,redBlue
GuardviaN,LDLC Happy * CMSTORM,50121,50125,100,101,335_natus-vincere-team-ldlc_de_dust2.dem,2,35569,35573,greenBlue
GuardviaN,LDLC Happy * CMSTORM,50324,50374,100,101,335_natus-vincere-team-ldlc_de_dust2.dem,2,35759,35807,greenBlue
GuardviaN,LDLC kiokiNgo * CMSTORM,50342,50345,100,104,335_natus-vincere-team-ldlc_de_dust2.dem,2,35776,35779,blue
GuardviaN,LDLC Happy * CMSTORM,50377,50391,100,101,335_natus-vincere-team-ldlc_de_dust2.dem,2,35810,35822,greenBlue
GuardviaN,LDLC Happy * CMSTORM,50820,50867,100,101,335_natus-vincere-team-ldlc_de_dust2.dem,2,36225,36269,greenBlue
GuardviaN,LDLC Happy * CMSTORM,50874,50942,100,101,335_natus-vincere-team-ldlc_de_dust2.dem,2,36275,36339,greenBlue
GuardviaN,LDLC Happy * CMSTORM,50945,51106,100,101,335_natus-vincere-team-ldlc_de_dust2.dem,2,36342,36493,greenBlue
GuardviaN,LDLC NBeardK- * CMSTORM,51154,51207,100,102,335_natus-vincere-team-ldlc_de_dust2.dem,2,36538,36587,red
GuardviaN,LDLC NBeardK- * CMSTORM,51237,51281,100,102,335_natus-vincere-team-ldlc_de_dust2.dem,2,36616,36657,red
GuardviaN,LDLC NBeardK- * CMSTORM,51495,51542,100,102,335_natus-vincere-team-ldlc_de_dust2.dem,2,36857,36902,red
GuardviaN,LDLC shox * CMSTORM,52266,52275,100,105,335_natus-vincere-team-ldlc_de_dust2.dem,2,37580,37589,green
GuardviaN,LDLC shox * CMSTORM,52278,52355,100,105,335_natus-vincere-team-ldlc_de_dust2.dem,2,37592,37664,green
GuardviaN,LDLC NBeardK- * CMSTORM,52621,52678,100,102,335_natus-vincere-team-ldlc_de_dust2.dem,2,37913,37967,red
GuardviaN,LDLC Happy * CMSTORM,56543,56565,100,101,335_natus-vincere-team-ldlc_de_dust2.dem,2,41590,41610,greenBlue
GuardviaN,LDLC shox * CMSTORM,56574,56596,100,105,335_natus-vincere-team-ldlc_de_dust2.dem,2,41619,41640,green
