spotter,spotted,start_game_tick,end_game_tick,spotter_id,spotted_id,demo,hacking,start_frame_num,end_frame_num,color
LDLC SMITHZZ * CMSTORM,seized,20755,20804,103,107,335_natus-vincere-team-ldlc_de_dust2.dem,0,8039,8085,red
LDLC SMITHZZ * CMSTORM,GuardviaN,20958,21027,103,100,335_natus-vincere-team-ldlc_de_dust2.dem,0,8229,8294,redBlue
LDLC SMITHZZ * CMSTORM,GuardviaN,21040,21141,103,100,335_natus-vincere-team-ldlc_de_dust2.dem,0,8306,8401,redBlue
LDLC SMITHZZ * CMSTORM,Zeu$,21048,21254,103,106,335_natus-vincere-team-ldlc_de_dust2.dem,0,8314,8507,blue
LDLC SMITHZZ * CMSTORM,GuardviaN,21176,21191,103,100,335_natus-vincere-team-ldlc_de_dust2.dem,0,8434,8448,redBlue
LDLC SMITHZZ * CMSTORM,starix,22689,22857,103,108,335_natus-vincere-team-ldlc_de_dust2.dem,0,9852,10010,green
LDLC SMITHZZ * CMSTORM,starix,22893,23015,103,108,335_natus-vincere-team-ldlc_de_dust2.dem,0,10043,10158,green
LDLC SMITHZZ * CMSTORM,starix,23059,23223,103,108,335_natus-vincere-team-ldlc_de_dust2.dem,0,10199,10353,green
LDLC SMITHZZ * CMSTORM,starix,23304,23594,103,108,335_natus-vincere-team-ldlc_de_dust2.dem,0,10429,10702,green
LDLC SMITHZZ * CMSTORM,Zeu$,27392,27426,103,106,335_natus-vincere-team-ldlc_de_dust2.dem,0,14261,14293,blue
LDLC SMITHZZ * CMSTORM,Zeu$,27429,27455,103,106,335_natus-vincere-team-ldlc_de_dust2.dem,0,14296,14320,blue
LDLC SMITHZZ * CMSTORM,Zeu$,27538,27638,103,106,335_natus-vincere-team-ldlc_de_dust2.dem,0,14398,14492,blue
LDLC SMITHZZ * CMSTORM,Zeu$,27642,27664,103,106,335_natus-vincere-team-ldlc_de_dust2.dem,0,14495,14516,blue
LDLC SMITHZZ * CMSTORM,GuardviaN,27745,27762,103,100,335_natus-vincere-team-ldlc_de_dust2.dem,0,14592,14608,redBlue
LDLC SMITHZZ * CMSTORM,Edward,27913,27953,103,99,335_natus-vincere-team-ldlc_de_dust2.dem,0,14750,14787,greenBlue
LDLC SMITHZZ * CMSTORM,GuardviaN,27944,28004,103,100,335_natus-vincere-team-ldlc_de_dust2.dem,0,14779,14835,redBlue
LDLC SMITHZZ * CMSTORM,Edward,27979,28004,103,99,335_natus-vincere-team-ldlc_de_dust2.dem,0,14811,14835,greenBlue
LDLC SMITHZZ * CMSTORM,Edward,28008,28110,103,99,335_natus-vincere-team-ldlc_de_dust2.dem,0,14839,14934,greenBlue
LDLC SMITHZZ * CMSTORM,GuardviaN,28008,28018,103,100,335_natus-vincere-team-ldlc_de_dust2.dem,0,14839,14848,redBlue
LDLC SMITHZZ * CMSTORM,seized,28043,28110,103,107,335_natus-vincere-team-ldlc_de_dust2.dem,0,14871,14934,red
LDLC SMITHZZ * CMSTORM,GuardviaN,43987,44000,103,100,335_natus-vincere-team-ldlc_de_dust2.dem,0,29819,29831,redBlue
LDLC SMITHZZ * CMSTORM,GuardviaN,44056,44073,103,100,335_natus-vincere-team-ldlc_de_dust2.dem,0,29884,29900,redBlue
LDLC SMITHZZ * CMSTORM,GuardviaN,44100,44126,103,100,335_natus-vincere-team-ldlc_de_dust2.dem,0,29925,29949,redBlue
LDLC SMITHZZ * CMSTORM,GuardviaN,44129,44181,103,100,335_natus-vincere-team-ldlc_de_dust2.dem,0,29952,30001,redBlue
LDLC SMITHZZ * CMSTORM,GuardviaN,44326,44335,103,100,335_natus-vincere-team-ldlc_de_dust2.dem,0,30137,30145,redBlue
LDLC SMITHZZ * CMSTORM,GuardviaN,44411,44422,103,100,335_natus-vincere-team-ldlc_de_dust2.dem,0,30216,30227,redBlue
LDLC SMITHZZ * CMSTORM,GuardviaN,44588,44626,103,100,335_natus-vincere-team-ldlc_de_dust2.dem,0,30382,30419,redBlue
