spotter,spotted,start_game_tick,end_game_tick,spotter_id,spotted_id,demo,hacking,start_frame_num,end_frame_num,color
LDLC shox * CMSTORM,Zeu$,18426,18444,105,106,335_natus-vincere-team-ldlc_de_dust2.dem,0,5860,5876,blue
LDLC shox * CMSTORM,seized,20499,20559,105,107,335_natus-vincere-team-ldlc_de_dust2.dem,0,7803,7860,red
LDLC shox * CMSTORM,starix,22057,22069,105,108,335_natus-vincere-team-ldlc_de_dust2.dem,0,9264,9275,green
LDLC shox * CMSTORM,starix,22676,22988,105,108,335_natus-vincere-team-ldlc_de_dust2.dem,0,9844,9933,green
LDLC shox * CMSTORM,GuardviaN,31271,31290,105,100,335_natus-vincere-team-ldlc_de_dust2.dem,0,17902,17919,redBlue
LDLC shox * CMSTORM,GuardviaN,31299,31450,105,100,335_natus-vincere-team-ldlc_de_dust2.dem,0,17928,18070,redBlue
LDLC shox * CMSTORM,GuardviaN,31470,36109,105,100,335_natus-vincere-team-ldlc_de_dust2.dem,0,18088,18118,redBlue
LDLC shox * CMSTORM,starix,49240,49315,105,108,335_natus-vincere-team-ldlc_de_dust2.dem,0,34748,34818,green
LDLC shox * CMSTORM,starix,49424,49464,105,108,335_natus-vincere-team-ldlc_de_dust2.dem,0,34920,34958,green
LDLC shox * CMSTORM,starix,49495,49498,105,108,335_natus-vincere-team-ldlc_de_dust2.dem,0,34987,34990,green
LDLC shox * CMSTORM,Zeu$,52030,52096,105,106,335_natus-vincere-team-ldlc_de_dust2.dem,0,37364,37425,blue
LDLC shox * CMSTORM,GuardviaN,52277,52354,105,100,335_natus-vincere-team-ldlc_de_dust2.dem,0,37595,37667,redBlue
LDLC shox * CMSTORM,GuardviaN,56577,56589,105,100,335_natus-vincere-team-ldlc_de_dust2.dem,0,41626,41637,redBlue
LDLC shox * CMSTORM,GuardviaN,56783,56800,105,100,335_natus-vincere-team-ldlc_de_dust2.dem,0,41819,41835,redBlue
