spotter,spotted,start_game_tick,end_game_tick,spotter_id,spotted_id,demo,hacking,start_frame_num,end_frame_num,color
Zeu$,LDLC shox * CMSTORM,18510,18521,106,105,335_natus-vincere-team-ldlc_de_dust2.dem,2,5934,5944,green
Zeu$,LDLC kiokiNgo * CMSTORM,20055,20125,106,104,335_natus-vincere-team-ldlc_de_dust2.dem,2,7382,7448,blue
Zeu$,LDLC SMITHZZ * CMSTORM,21051,21254,106,103,335_natus-vincere-team-ldlc_de_dust2.dem,2,8316,8507,redBlue
Zeu$,LDLC kiokiNgo * CMSTORM,21196,21207,106,104,335_natus-vincere-team-ldlc_de_dust2.dem,2,8452,8463,blue
Zeu$,LDLC kiokiNgo * CMSTORM,21220,21254,106,104,335_natus-vincere-team-ldlc_de_dust2.dem,2,8475,8479,blue
Zeu$,LDLC NBeardK- * CMSTORM,30667,30670,106,102,335_natus-vincere-team-ldlc_de_dust2.dem,2,17331,17334,red
Zeu$,LDLC NBeardK- * CMSTORM,30702,30827,106,102,335_natus-vincere-team-ldlc_de_dust2.dem,2,17364,17481,red
Zeu$,LDLC NBeardK- * CMSTORM,30907,30964,106,102,335_natus-vincere-team-ldlc_de_dust2.dem,2,17556,17610,red
Zeu$,LDLC NBeardK- * CMSTORM,31071,31112,106,102,335_natus-vincere-team-ldlc_de_dust2.dem,2,17710,17748,red
Zeu$,LDLC NBeardK- * CMSTORM,31445,31461,106,102,335_natus-vincere-team-ldlc_de_dust2.dem,2,18060,18075,red
Zeu$,LDLC NBeardK- * CMSTORM,32724,32807,106,102,335_natus-vincere-team-ldlc_de_dust2.dem,2,19260,19337,red
Zeu$,LDLC Happy * CMSTORM,50815,51028,106,101,335_natus-vincere-team-ldlc_de_dust2.dem,2,36220,36419,greenBlue
Zeu$,LDLC Happy * CMSTORM,51031,51061,106,101,335_natus-vincere-team-ldlc_de_dust2.dem,2,36423,36451,greenBlue
Zeu$,LDLC NBeardK- * CMSTORM,51227,51252,106,102,335_natus-vincere-team-ldlc_de_dust2.dem,2,36606,36630,red
Zeu$,LDLC NBeardK- * CMSTORM,51257,51402,106,102,335_natus-vincere-team-ldlc_de_dust2.dem,2,36635,36770,red
Zeu$,LDLC NBeardK- * CMSTORM,51435,51460,106,102,335_natus-vincere-team-ldlc_de_dust2.dem,2,36801,36825,red
Zeu$,LDLC NBeardK- * CMSTORM,51474,51489,106,102,335_natus-vincere-team-ldlc_de_dust2.dem,2,36838,36852,red
Zeu$,LDLC Happy * CMSTORM,51496,51567,106,101,335_natus-vincere-team-ldlc_de_dust2.dem,2,36858,36925,greenBlue
Zeu$,LDLC Happy * CMSTORM,51575,51579,106,101,335_natus-vincere-team-ldlc_de_dust2.dem,2,36933,36936,greenBlue
Zeu$,LDLC Happy * CMSTORM,51603,51623,106,101,335_natus-vincere-team-ldlc_de_dust2.dem,2,36959,36977,greenBlue
Zeu$,LDLC shox * CMSTORM,52031,52096,106,105,335_natus-vincere-team-ldlc_de_dust2.dem,2,37360,37422,green
Zeu$,LDLC Happy * CMSTORM,52045,52096,106,101,335_natus-vincere-team-ldlc_de_dust2.dem,2,37373,37422,greenBlue
Zeu$,LDLC Happy * CMSTORM,58434,58540,106,101,335_natus-vincere-team-ldlc_de_dust2.dem,2,43363,43462,greenBlue
Zeu$,LDLC shox * CMSTORM,75743,75798,106,105,335_natus-vincere-team-ldlc_de_dust2.dem,2,59590,59641,green
Zeu$,LDLC kiokiNgo * CMSTORM,75908,76010,106,104,335_natus-vincere-team-ldlc_de_dust2.dem,2,59745,59840,blue
Zeu$,LDLC shox * CMSTORM,76004,76046,106,105,335_natus-vincere-team-ldlc_de_dust2.dem,2,59835,59874,green
Zeu$,LDLC SMITHZZ * CMSTORM,78324,78360,106,103,335_natus-vincere-team-ldlc_de_dust2.dem,2,62010,62043,redBlue
Zeu$,LDLC SMITHZZ * CMSTORM,79007,79090,106,103,335_natus-vincere-team-ldlc_de_dust2.dem,2,62650,62728,redBlue
Zeu$,LDLC SMITHZZ * CMSTORM,79151,79190,106,103,335_natus-vincere-team-ldlc_de_dust2.dem,2,62785,62821,redBlue
Zeu$,LDLC SMITHZZ * CMSTORM,79228,79332,106,103,335_natus-vincere-team-ldlc_de_dust2.dem,2,62857,62954,redBlue
Zeu$,LDLC Happy * CMSTORM,90506,90583,106,101,335_natus-vincere-team-ldlc_de_dust2.dem,2,73430,73502,greenBlue
Zeu$,LDLC NBeardK- * CMSTORM,90738,90765,106,102,335_natus-vincere-team-ldlc_de_dust2.dem,2,73648,73673,red
Zeu$,LDLC NBeardK- * CMSTORM,90877,90920,106,102,335_natus-vincere-team-ldlc_de_dust2.dem,2,73778,73818,red
Zeu$,LDLC NBeardK- * CMSTORM,91166,91243,106,102,335_natus-vincere-team-ldlc_de_dust2.dem,2,74049,74121,red
Zeu$,LDLC NBeardK- * CMSTORM,97911,98017,106,102,335_natus-vincere-team-ldlc_de_dust2.dem,2,80373,80472,red
Zeu$,LDLC NBeardK- * CMSTORM,98063,98079,106,102,335_natus-vincere-team-ldlc_de_dust2.dem,2,80515,80530,red
Zeu$,LDLC NBeardK- * CMSTORM,98110,98120,106,102,335_natus-vincere-team-ldlc_de_dust2.dem,2,80559,80568,red
Zeu$,LDLC NBeardK- * CMSTORM,101091,101143,106,102,335_natus-vincere-team-ldlc_de_dust2.dem,2,83354,83402,red
Zeu$,LDLC NBeardK- * CMSTORM,101150,101381,106,102,335_natus-vincere-team-ldlc_de_dust2.dem,2,83409,83625,red
Zeu$,LDLC NBeardK- * CMSTORM,101519,101710,106,102,335_natus-vincere-team-ldlc_de_dust2.dem,2,83755,83934,red
Zeu$,LDLC NBeardK- * CMSTORM,101764,101780,106,102,335_natus-vincere-team-ldlc_de_dust2.dem,2,83985,84000,red
Zeu$,LDLC NBeardK- * CMSTORM,101828,101872,106,102,335_natus-vincere-team-ldlc_de_dust2.dem,2,84045,84086,red
Zeu$,LDLC NBeardK- * CMSTORM,102156,102432,106,102,335_natus-vincere-team-ldlc_de_dust2.dem,2,84352,84611,red
Zeu$,LDLC NBeardK- * CMSTORM,106306,106329,106,102,335_natus-vincere-team-ldlc_de_dust2.dem,2,88243,88264,red
Zeu$,LDLC NBeardK- * CMSTORM,106365,106404,106,102,335_natus-vincere-team-ldlc_de_dust2.dem,2,88298,88335,red
Zeu$,LDLC Happy * CMSTORM,123298,123308,106,101,335_natus-vincere-team-ldlc_de_dust2.dem,2,104173,104182,greenBlue
Zeu$,LDLC Happy * CMSTORM,123438,123708,106,101,335_natus-vincere-team-ldlc_de_dust2.dem,2,104304,104557,greenBlue
Zeu$,LDLC Happy * CMSTORM,123767,123801,106,101,335_natus-vincere-team-ldlc_de_dust2.dem,2,104613,104645,greenBlue
Zeu$,LDLC shox * CMSTORM,123772,123882,106,105,335_natus-vincere-team-ldlc_de_dust2.dem,2,104617,104720,green
Zeu$,LDLC NBeardK- * CMSTORM,124520,124615,106,102,335_natus-vincere-team-ldlc_de_dust2.dem,2,105319,105407,red
Zeu$,LDLC NBeardK- * CMSTORM,129183,129237,106,102,335_natus-vincere-team-ldlc_de_dust2.dem,2,109690,109741,red
Zeu$,LDLC kiokiNgo * CMSTORM,150444,150658,106,104,335_natus-vincere-team-ldlc_de_dust2.dem,2,129622,129823,blue
Zeu$,LDLC kiokiNgo * CMSTORM,150687,150728,106,104,335_natus-vincere-team-ldlc_de_dust2.dem,2,129850,129889,blue
Zeu$,LDLC SMITHZZ * CMSTORM,150962,151065,106,103,335_natus-vincere-team-ldlc_de_dust2.dem,2,130107,130205,redBlue
Zeu$,LDLC SMITHZZ * CMSTORM,151363,151387,106,103,335_natus-vincere-team-ldlc_de_dust2.dem,2,130484,130507,redBlue
Zeu$,LDLC SMITHZZ * CMSTORM,152596,152606,106,103,335_natus-vincere-team-ldlc_de_dust2.dem,2,131640,131649,redBlue
Zeu$,LDLC NBeardK- * CMSTORM,152936,152975,106,102,335_natus-vincere-team-ldlc_de_dust2.dem,2,131959,131995,red
Zeu$,LDLC NBeardK- * CMSTORM,153066,153095,106,102,335_natus-vincere-team-ldlc_de_dust2.dem,2,132080,132108,red
Zeu$,LDLC NBeardK- * CMSTORM,153098,153113,106,102,335_natus-vincere-team-ldlc_de_dust2.dem,2,132111,132125,red
Zeu$,LDLC shox * CMSTORM,153300,153375,106,105,335_natus-vincere-team-ldlc_de_dust2.dem,2,132300,132370,green
Zeu$,LDLC NBeardK- * CMSTORM,153309,153375,106,102,335_natus-vincere-team-ldlc_de_dust2.dem,2,132308,132370,red
Zeu$,LDLC shox * CMSTORM,166260,166391,106,105,335_natus-vincere-team-ldlc_de_dust2.dem,2,144449,144573,green
Zeu$,LDLC shox * CMSTORM,179381,179392,106,105,335_natus-vincere-team-ldlc_de_dust2.dem,2,156750,156761,green
Zeu$,LDLC SMITHZZ * CMSTORM,190811,190904,106,103,335_natus-vincere-team-ldlc_de_dust2.dem,2,167466,167553,redBlue
Zeu$,LDLC kiokiNgo * CMSTORM,191512,191591,106,104,335_natus-vincere-team-ldlc_de_dust2.dem,2,168123,168198,blue
Zeu$,LDLC kiokiNgo * CMSTORM,191628,191647,106,104,335_natus-vincere-team-ldlc_de_dust2.dem,2,168232,168250,blue
Zeu$,LDLC Happy * CMSTORM,206108,206125,106,101,335_natus-vincere-team-ldlc_de_dust2.dem,2,181807,181823,greenBlue
Zeu$,LDLC Happy * CMSTORM,206136,206154,106,101,335_natus-vincere-team-ldlc_de_dust2.dem,2,181833,181850,greenBlue
