spotter,spotted,start_game_tick,end_game_tick,spotter_id,spotted_id,demo,hacking,start_frame_num,end_frame_num,color
seized,LDLC kiokiNgo * CMSTORM,20203,20268,107,104,335_natus-vincere-team-ldlc_de_dust2.dem,2,7525,7586,blue
seized,LDLC kiokiNgo * CMSTORM,20498,20550,107,104,335_natus-vincere-team-ldlc_de_dust2.dem,2,7802,7851,blue
seized,LDLC kiokiNgo * CMSTORM,20700,20804,107,104,335_natus-vincere-team-ldlc_de_dust2.dem,2,7991,8089,blue
seized,LDLC SMITHZZ * CMSTORM,20753,20804,107,103,335_natus-vincere-team-ldlc_de_dust2.dem,2,8041,8089,redBlue
seized,LDLC SMITHZZ * CMSTORM,28041,28110,107,103,335_natus-vincere-team-ldlc_de_dust2.dem,2,14873,14938,redBlue
seized,LDLC Happy * CMSTORM,31816,31837,107,101,335_natus-vincere-team-ldlc_de_dust2.dem,2,18412,18432,greenBlue
seized,LDLC Happy * CMSTORM,31890,31916,107,101,335_natus-vincere-team-ldlc_de_dust2.dem,2,18482,18506,greenBlue
seized,LDLC Happy * CMSTORM,31953,32148,107,101,335_natus-vincere-team-ldlc_de_dust2.dem,2,18541,18724,greenBlue
seized,LDLC kiokiNgo * CMSTORM,34980,35079,107,104,335_natus-vincere-team-ldlc_de_dust2.dem,2,21378,21471,blue
seized,LDLC SMITHZZ * CMSTORM,46970,46989,107,103,335_natus-vincere-team-ldlc_de_dust2.dem,2,32619,32637,redBlue
seized,LDLC SMITHZZ * CMSTORM,47212,47227,107,103,335_natus-vincere-team-ldlc_de_dust2.dem,2,32846,32860,redBlue
seized,LDLC Happy * CMSTORM,50804,50972,107,101,335_natus-vincere-team-ldlc_de_dust2.dem,2,36214,36371,greenBlue
seized,LDLC Happy * CMSTORM,58621,58720,107,101,335_natus-vincere-team-ldlc_de_dust2.dem,2,43542,43635,greenBlue
seized,LDLC Happy * CMSTORM,58807,58864,107,101,335_natus-vincere-team-ldlc_de_dust2.dem,2,43717,43770,greenBlue
seized,LDLC Happy * CMSTORM,58867,58877,107,101,335_natus-vincere-team-ldlc_de_dust2.dem,2,43773,43782,greenBlue
seized,LDLC kiokiNgo * CMSTORM,62910,62960,107,104,335_natus-vincere-team-ldlc_de_dust2.dem,2,47563,47610,blue
seized,LDLC kiokiNgo * CMSTORM,62999,63017,107,104,335_natus-vincere-team-ldlc_de_dust2.dem,2,47647,47663,blue
seized,LDLC kiokiNgo * CMSTORM,63103,63110,107,104,335_natus-vincere-team-ldlc_de_dust2.dem,2,47744,47750,blue
seized,LDLC kiokiNgo * CMSTORM,63317,63364,107,104,335_natus-vincere-team-ldlc_de_dust2.dem,2,47945,47988,blue
seized,LDLC SMITHZZ * CMSTORM,63401,63490,107,103,335_natus-vincere-team-ldlc_de_dust2.dem,2,48024,48107,redBlue
seized,LDLC kiokiNgo * CMSTORM,63567,63601,107,104,335_natus-vincere-team-ldlc_de_dust2.dem,2,48179,48211,blue
seized,LDLC Happy * CMSTORM,74264,74338,107,101,335_natus-vincere-team-ldlc_de_dust2.dem,2,58207,58277,greenBlue
seized,LDLC shox * CMSTORM,74679,74784,107,105,335_natus-vincere-team-ldlc_de_dust2.dem,2,58597,58695,green
seized,LDLC shox * CMSTORM,74856,74883,107,105,335_natus-vincere-team-ldlc_de_dust2.dem,2,58762,58788,green
seized,LDLC shox * CMSTORM,74949,74975,107,105,335_natus-vincere-team-ldlc_de_dust2.dem,2,58850,58874,green
seized,LDLC shox * CMSTORM,75138,75159,107,105,335_natus-vincere-team-ldlc_de_dust2.dem,2,59027,59047,green
seized,LDLC shox * CMSTORM,75592,75654,107,105,335_natus-vincere-team-ldlc_de_dust2.dem,2,59452,59511,green
seized,LDLC Happy * CMSTORM,89811,89878,107,101,335_natus-vincere-team-ldlc_de_dust2.dem,2,72783,72845,greenBlue
seized,LDLC SMITHZZ * CMSTORM,89831,89837,107,103,335_natus-vincere-team-ldlc_de_dust2.dem,2,72801,72807,redBlue
seized,LDLC kiokiNgo * CMSTORM,97400,97493,107,104,335_natus-vincere-team-ldlc_de_dust2.dem,2,79897,79985,blue
seized,LDLC kiokiNgo * CMSTORM,97574,97616,107,104,335_natus-vincere-team-ldlc_de_dust2.dem,2,80061,80100,blue
seized,LDLC shox * CMSTORM,99142,99170,107,105,335_natus-vincere-team-ldlc_de_dust2.dem,2,81531,81557,green
seized,LDLC shox * CMSTORM,99389,99435,107,105,335_natus-vincere-team-ldlc_de_dust2.dem,2,81762,81805,green
seized,LDLC shox * CMSTORM,99533,99551,107,105,335_natus-vincere-team-ldlc_de_dust2.dem,2,81897,81914,green
seized,LDLC shox * CMSTORM,99740,99815,107,105,335_natus-vincere-team-ldlc_de_dust2.dem,2,82091,82161,green
