spotter,spotted,start_game_tick,end_game_tick,spotter_id,spotted_id,demo,hacking,start_frame_num,end_frame_num,color
starix,LDLC shox * CMSTORM,22055,22058,108,105,335_natus-vincere-team-ldlc_de_dust2.dem,0,9257,9260,green
starix,LDLC shox * CMSTORM,22697,22850,108,105,335_natus-vincere-team-ldlc_de_dust2.dem,0,9858,10002,green
starix,LDLC SMITHZZ * CMSTORM,22720,22848,108,103,335_natus-vincere-team-ldlc_de_dust2.dem,0,9880,10001,redBlue
starix,LDLC kiokiNgo * CMSTORM,22862,22931,108,104,335_natus-vincere-team-ldlc_de_dust2.dem,0,10013,10078,blue
starix,LDLC shox * CMSTORM,22869,22988,108,105,335_natus-vincere-team-ldlc_de_dust2.dem,0,10020,10132,green
starix,LDLC SMITHZZ * CMSTORM,22883,22937,108,103,335_natus-vincere-team-ldlc_de_dust2.dem,0,10033,10084,redBlue
starix,LDLC SMITHZZ * CMSTORM,22983,22996,108,103,335_natus-vincere-team-ldlc_de_dust2.dem,0,10127,10139,redBlue
starix,LDLC SMITHZZ * CMSTORM,23064,23252,108,103,335_natus-vincere-team-ldlc_de_dust2.dem,0,10203,10379,redBlue
starix,LDLC kiokiNgo * CMSTORM,23188,23191,108,104,335_natus-vincere-team-ldlc_de_dust2.dem,0,10319,10322,blue
starix,LDLC SMITHZZ * CMSTORM,23310,23463,108,103,335_natus-vincere-team-ldlc_de_dust2.dem,0,10433,10576,redBlue
starix,LDLC Happy * CMSTORM,32145,32193,108,101,335_natus-vincere-team-ldlc_de_dust2.dem,0,18716,18761,greenBlue
starix,LDLC Happy * CMSTORM,32202,32249,108,101,335_natus-vincere-team-ldlc_de_dust2.dem,0,18770,18814,greenBlue
starix,LDLC kiokiNgo * CMSTORM,34950,35079,108,104,335_natus-vincere-team-ldlc_de_dust2.dem,0,21346,21467,blue
starix,LDLC shox * CMSTORM,49232,49345,108,105,335_natus-vincere-team-ldlc_de_dust2.dem,0,34735,34841,green
starix,LDLC kiokiNgo * CMSTORM,49356,49380,108,104,335_natus-vincere-team-ldlc_de_dust2.dem,0,34851,34874,blue
starix,LDLC kiokiNgo * CMSTORM,49388,49501,108,104,335_natus-vincere-team-ldlc_de_dust2.dem,0,34881,34987,blue
starix,LDLC shox * CMSTORM,49388,49399,108,105,335_natus-vincere-team-ldlc_de_dust2.dem,0,34881,34892,green
starix,LDLC shox * CMSTORM,49423,49472,108,105,335_natus-vincere-team-ldlc_de_dust2.dem,0,34914,34960,green
starix,LDLC shox * CMSTORM,49492,49501,108,105,335_natus-vincere-team-ldlc_de_dust2.dem,0,34979,34987,green
starix,LDLC kiokiNgo * CMSTORM,62885,62955,108,104,335_natus-vincere-team-ldlc_de_dust2.dem,0,47535,47601,blue
starix,LDLC kiokiNgo * CMSTORM,63104,63109,108,104,335_natus-vincere-team-ldlc_de_dust2.dem,0,47740,47745,blue
starix,LDLC kiokiNgo * CMSTORM,63267,63270,108,104,335_natus-vincere-team-ldlc_de_dust2.dem,0,47893,47896,blue
starix,LDLC SMITHZZ * CMSTORM,63406,63490,108,103,335_natus-vincere-team-ldlc_de_dust2.dem,0,48023,48102,redBlue
starix,LDLC SMITHZZ * CMSTORM,72186,72198,108,103,335_natus-vincere-team-ldlc_de_dust2.dem,0,56254,56266,redBlue
starix,LDLC NBeardK- * CMSTORM,75368,75377,108,102,335_natus-vincere-team-ldlc_de_dust2.dem,0,59238,59246,red
starix,LDLC NBeardK- * CMSTORM,75414,75429,108,102,335_natus-vincere-team-ldlc_de_dust2.dem,0,59281,59295,red
starix,LDLC NBeardK- * CMSTORM,75544,75637,108,102,335_natus-vincere-team-ldlc_de_dust2.dem,0,59402,59490,red
starix,LDLC kiokiNgo * CMSTORM,76280,76559,108,104,335_natus-vincere-team-ldlc_de_dust2.dem,0,60093,60355,blue
starix,LDLC shox * CMSTORM,76390,76417,108,105,335_natus-vincere-team-ldlc_de_dust2.dem,0,60197,60222,green
starix,LDLC shox * CMSTORM,76910,76932,108,105,335_natus-vincere-team-ldlc_de_dust2.dem,0,60684,60704,green
starix,LDLC shox * CMSTORM,77218,77316,108,105,335_natus-vincere-team-ldlc_de_dust2.dem,0,60972,61064,green
starix,LDLC SMITHZZ * CMSTORM,78704,78764,108,103,335_natus-vincere-team-ldlc_de_dust2.dem,0,62365,62422,redBlue
starix,LDLC SMITHZZ * CMSTORM,78785,78803,108,103,335_natus-vincere-team-ldlc_de_dust2.dem,0,62441,62458,redBlue
starix,LDLC SMITHZZ * CMSTORM,78812,78979,108,103,335_natus-vincere-team-ldlc_de_dust2.dem,0,62467,62623,redBlue
starix,LDLC SMITHZZ * CMSTORM,79170,79180,108,103,335_natus-vincere-team-ldlc_de_dust2.dem,0,62802,62812,redBlue
starix,LDLC SMITHZZ * CMSTORM,79206,79240,108,103,335_natus-vincere-team-ldlc_de_dust2.dem,0,62836,62851,redBlue
starix,LDLC SMITHZZ * CMSTORM,80571,80647,108,103,335_natus-vincere-team-ldlc_de_dust2.dem,0,64116,64187,redBlue
starix,LDLC SMITHZZ * CMSTORM,87969,88044,108,103,335_natus-vincere-team-ldlc_de_dust2.dem,0,71051,71121,redBlue
starix,LDLC SMITHZZ * CMSTORM,88106,88206,108,103,335_natus-vincere-team-ldlc_de_dust2.dem,0,71180,71273,redBlue
starix,LDLC kiokiNgo * CMSTORM,88137,88167,108,104,335_natus-vincere-team-ldlc_de_dust2.dem,0,71208,71237,blue
starix,LDLC Happy * CMSTORM,88138,88157,108,101,335_natus-vincere-team-ldlc_de_dust2.dem,0,71210,71227,greenBlue
