spotter,spotted,start_game_tick,end_game_tick,spotter_id,spotted_id,demo,hacking,start_frame_num,end_frame_num,color
Michelle Obama,i_eat_short_people_for_breakfast,6652,6711,21,16,9_19_21_durst_t_wang_ct_with_walls.dem,1,978,1088,red
Michelle Obama,Adam,6741,6755,21,17,9_19_21_durst_t_wang_ct_with_walls.dem,1,1145,1170,blue
Michelle Obama,i_eat_short_people_for_breakfast,7595,7609,21,16,9_19_21_durst_t_wang_ct_with_walls.dem,1,2745,2772,red
Michelle Obama,i_eat_short_people_for_breakfast,7657,7705,21,16,9_19_21_durst_t_wang_ct_with_walls.dem,1,2863,2952,red
Michelle Obama,i_eat_short_people_for_breakfast,7708,7737,21,16,9_19_21_durst_t_wang_ct_with_walls.dem,1,2957,3012,red
Michelle Obama,Henry,7870,7917,21,19,9_19_21_durst_t_wang_ct_with_walls.dem,1,3262,3349,green
Michelle Obama,i_eat_short_people_for_breakfast,10287,10343,21,16,9_19_21_durst_t_wang_ct_with_walls.dem,1,7794,7899,red
Michelle Obama,i_eat_short_people_for_breakfast,10377,10388,21,16,9_19_21_durst_t_wang_ct_with_walls.dem,1,7961,7982,red
Michelle Obama,Adam,13473,13486,21,17,9_19_21_durst_t_wang_ct_with_walls.dem,1,13767,13791,blue
Michelle Obama,Adam,13509,13515,21,17,9_19_21_durst_t_wang_ct_with_walls.dem,1,13834,13846,blue
Michelle Obama,Adam,13529,13688,21,17,9_19_21_durst_t_wang_ct_with_walls.dem,1,13871,14171,blue
Michelle Obama,i_eat_short_people_for_breakfast,13578,13640,21,16,9_19_21_durst_t_wang_ct_with_walls.dem,1,13964,14082,red
Michelle Obama,i_eat_short_people_for_breakfast,14034,14064,21,16,9_19_21_durst_t_wang_ct_with_walls.dem,1,14819,14875,red
Michelle Obama,Adam,15901,16068,21,17,9_19_21_durst_t_wang_ct_with_walls.dem,1,18319,18633,blue
Michelle Obama,Henry,18108,18139,21,19,9_19_21_durst_t_wang_ct_with_walls.dem,1,22458,22516,green
Michelle Obama,i_eat_short_people_for_breakfast,18110,18203,21,16,9_19_21_durst_t_wang_ct_with_walls.dem,1,22461,22591,red
Michelle Obama,i_eat_short_people_for_breakfast,18209,18259,21,16,9_19_21_durst_t_wang_ct_with_walls.dem,1,22647,22656,red
Michelle Obama,Henry,20359,20400,21,19,9_19_21_durst_t_wang_ct_with_walls.dem,1,26679,26755,green
Michelle Obama,Henry,20517,20594,21,19,9_19_21_durst_t_wang_ct_with_walls.dem,1,26974,27016,green
Michelle Obama,Henry,20634,20662,21,19,9_19_21_durst_t_wang_ct_with_walls.dem,1,27194,27246,green
Michelle Obama,Henry,20672,20701,21,19,9_19_21_durst_t_wang_ct_with_walls.dem,1,27266,27319,green
Michelle Obama,Henry,20766,20783,21,19,9_19_21_durst_t_wang_ct_with_walls.dem,1,27441,27473,green
Michelle Obama,Adam,22967,23011,21,17,9_19_21_durst_t_wang_ct_with_walls.dem,1,31568,31651,blue
Michelle Obama,i_eat_short_people_for_breakfast,23008,23099,21,16,9_19_21_durst_t_wang_ct_with_walls.dem,1,31645,31817,red
Michelle Obama,i_eat_short_people_for_breakfast,23150,23210,21,16,9_19_21_durst_t_wang_ct_with_walls.dem,1,31912,32025,red
Michelle Obama,i_eat_short_people_for_breakfast,23377,23421,21,16,9_19_21_durst_t_wang_ct_with_walls.dem,1,32337,32420,red
Michelle Obama,Henry,23501,23539,21,19,9_19_21_durst_t_wang_ct_with_walls.dem,1,32569,32640,green
Michelle Obama,i_eat_short_people_for_breakfast,25342,25372,21,16,9_19_21_durst_t_wang_ct_with_walls.dem,1,36021,36078,red
Michelle Obama,Henry,25855,25872,21,19,9_19_21_durst_t_wang_ct_with_walls.dem,1,36983,37015,green
Michelle Obama,Adam,25961,26004,21,17,9_19_21_durst_t_wang_ct_with_walls.dem,1,37183,37262,blue
Michelle Obama,Adam,26009,26141,21,17,9_19_21_durst_t_wang_ct_with_walls.dem,1,37272,37520,blue
Michelle Obama,Adam,27907,27993,21,17,9_19_21_durst_t_wang_ct_with_walls.dem,1,40831,40992,blue
Michelle Obama,Henry,28313,28317,21,19,9_19_21_durst_t_wang_ct_with_walls.dem,1,41591,41600,green
Michelle Obama,Henry,28323,28326,21,19,9_19_21_durst_t_wang_ct_with_walls.dem,1,41610,41616,green
Michelle Obama,i_eat_short_people_for_breakfast,28353,28390,21,16,9_19_21_durst_t_wang_ct_with_walls.dem,1,41667,41736,red
