spotter,spotted,start_game_tick,end_game_tick,spotter_id,spotted_id,demo,hacking,start_frame_num,end_frame_num,color
Michelle Obama,i_eat_short_people_for_breakfast,6652,6708,21,16,9_19_21_durst_t_wang_ct_with_walls.dem,1,721,827,red
Michelle Obama,Adam,6738,6754,21,17,9_19_21_durst_t_wang_ct_with_walls.dem,1,882,913,blue
Michelle Obama,i_eat_short_people_for_breakfast,7594,7608,21,16,9_19_21_durst_t_wang_ct_with_walls.dem,1,2488,2514,red
Michelle Obama,i_eat_short_people_for_breakfast,7657,7702,21,16,9_19_21_durst_t_wang_ct_with_walls.dem,1,2606,2690,red
Michelle Obama,i_eat_short_people_for_breakfast,7707,7738,21,16,9_19_21_durst_t_wang_ct_with_walls.dem,1,2699,2757,red
Michelle Obama,Henry,7871,7917,21,19,9_19_21_durst_t_wang_ct_with_walls.dem,1,3006,3094,green
Michelle Obama,i_eat_short_people_for_breakfast,10287,10343,21,16,9_19_21_durst_t_wang_ct_with_walls.dem,1,7536,7641,red
Michelle Obama,i_eat_short_people_for_breakfast,10377,10388,21,16,9_19_21_durst_t_wang_ct_with_walls.dem,1,7705,7726,red
Michelle Obama,Adam,13470,13483,21,17,9_19_21_durst_t_wang_ct_with_walls.dem,1,13506,13529,blue
Michelle Obama,Adam,13505,13515,21,17,9_19_21_durst_t_wang_ct_with_walls.dem,1,13571,13590,blue
Michelle Obama,Adam,13529,13688,21,17,9_19_21_durst_t_wang_ct_with_walls.dem,1,13615,13914,blue
Michelle Obama,i_eat_short_people_for_breakfast,13574,13638,21,16,9_19_21_durst_t_wang_ct_with_walls.dem,1,13701,13820,red
Michelle Obama,i_eat_short_people_for_breakfast,14034,14066,21,16,9_19_21_durst_t_wang_ct_with_walls.dem,1,14563,14623,red
Michelle Obama,Adam,15901,16068,21,17,9_19_21_durst_t_wang_ct_with_walls.dem,1,18062,18376,blue
Michelle Obama,Henry,18108,18139,21,19,9_19_21_durst_t_wang_ct_with_walls.dem,1,22202,22260,green
Michelle Obama,i_eat_short_people_for_breakfast,18110,18259,21,16,9_19_21_durst_t_wang_ct_with_walls.dem,1,22205,22336,red
Michelle Obama,Henry,20360,20398,21,19,9_19_21_durst_t_wang_ct_with_walls.dem,1,26423,26495,green
Michelle Obama,Henry,20517,20594,21,19,9_19_21_durst_t_wang_ct_with_walls.dem,1,26718,26759,green
