spotter,spotted,start_game_tick,end_game_tick,spotter_id,spotted_id,demo,hacking,start_frame_num,end_frame_num,color
Kcirrem,Step Papi,6917,7237,29,32,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,1633,2232,blue
Kcirrem,meeseeks,6924,6965,29,30,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,1646,1723,green
Kcirrem,Step Papi,9210,9263,29,32,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,5931,6031,blue
Kcirrem,meeseeks,9389,9426,29,30,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,6267,6337,green
Kcirrem,meeseeks,9544,9571,29,30,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,6559,6608,green
Kcirrem,meeseeks,9581,9625,29,30,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,6627,6709,green
Kcirrem,meeseeks,10022,10097,29,30,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,7455,7595,green
Kcirrem,Step Papi,12187,12278,29,32,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,11513,11684,blue
Kcirrem,i_eat_short_people_for_breakfast,12225,12278,29,24,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,11585,11684,red
Kcirrem,meeseeks,14036,14045,29,30,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,14980,14997,green
Kcirrem,i_eat_short_people_for_breakfast,14046,14101,29,24,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,15000,15102,red
Kcirrem,meeseeks,14084,14090,29,30,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,15071,15082,green
Kcirrem,meeseeks,14112,14119,29,30,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,15124,15137,green
Kcirrem,meeseeks,14188,14245,29,30,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,15266,15372,green
Kcirrem,Step Papi,14302,14329,29,32,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,15480,15530,blue
Kcirrem,Step Papi,14337,14433,29,32,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,15545,15665,blue
Kcirrem,meeseeks,14735,14793,29,30,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,16292,16401,green
Kcirrem,meeseeks,14812,14986,29,30,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,16435,16472,green
Kcirrem,meeseeks,15297,15339,29,30,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,17346,17424,green
Kcirrem,meeseeks,16425,16447,29,30,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,19459,19500,green
Kcirrem,i_eat_short_people_for_breakfast,17920,17941,29,24,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,22262,22303,red
Kcirrem,i_eat_short_people_for_breakfast,21318,21344,29,24,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,28634,28682,red
Kcirrem,Step Papi,21323,21400,29,32,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,28643,28788,blue
Kcirrem,Step Papi,25250,25324,29,32,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,36008,36145,blue
Kcirrem,i_eat_short_people_for_breakfast,25265,25313,29,24,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,36035,36072,red
Kcirrem,meeseeks,25294,25313,29,30,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,36090,36125,green
Kcirrem,Step Papi,25352,25419,29,32,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,36199,36279,blue
Kcirrem,meeseeks,25353,25394,29,30,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,36200,36277,green
Kcirrem,i_eat_short_people_for_breakfast,25385,25419,29,24,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,36260,36323,red
Kcirrem,meeseeks,26679,26682,29,30,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,38685,38691,green
Kcirrem,i_eat_short_people_for_breakfast,26815,26842,29,24,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,38941,38992,red
Kcirrem,i_eat_short_people_for_breakfast,27227,27248,29,24,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,39714,39754,red
Kcirrem,Step Papi,28254,28274,29,32,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,41640,41676,blue
Kcirrem,Step Papi,28300,28376,29,32,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,41725,41868,blue
Kcirrem,Step Papi,29902,29940,29,32,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,44729,44801,blue
Kcirrem,Step Papi,29967,29996,29,32,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,44851,44905,blue
Kcirrem,meeseeks,29985,30023,29,30,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,44885,44917,green
Kcirrem,meeseeks,30377,30417,29,30,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,45619,45694,green
Kcirrem,meeseeks,30437,30486,29,30,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,45732,45802,green
Kcirrem,Step Papi,32555,32654,29,32,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,49704,49889,blue
