spotter,spotted,start_game_tick,end_game_tick,spotter_id,spotted_id,demo,hacking,start_frame_num,end_frame_num,color
Malia Obama,Step Papi,6934,6957,31,32,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,1660,1705,blue
Malia Obama,meeseeks,6946,6957,31,30,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,1684,1705,green
Malia Obama,i_eat_short_people_for_breakfast,9329,9390,31,24,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,6152,6266,red
Malia Obama,i_eat_short_people_for_breakfast,9426,9549,31,24,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,6334,6564,red
Malia Obama,meeseeks,9707,9753,31,30,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,6861,6946,green
Malia Obama,meeseeks,9792,9828,31,30,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,7019,7088,green
Malia Obama,meeseeks,9867,9889,31,30,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,7161,7202,green
Malia Obama,meeseeks,9901,9923,31,30,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,7223,7265,green
Malia Obama,meeseeks,9943,10067,31,30,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,7303,7535,green
Malia Obama,meeseeks,12234,12259,31,30,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,11599,11645,green
Malia Obama,i_eat_short_people_for_breakfast,13990,14031,31,24,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,14890,14967,red
Malia Obama,i_eat_short_people_for_breakfast,16440,16509,31,24,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,19485,19603,red
Malia Obama,Step Papi,16476,16499,31,32,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,19553,19595,blue
Malia Obama,Step Papi,16506,16542,31,32,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,19609,19676,blue
Malia Obama,i_eat_short_people_for_breakfast,16526,16530,31,24,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,19645,19654,red
Malia Obama,i_eat_short_people_for_breakfast,17933,17985,31,24,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,22283,22381,red
Malia Obama,meeseeks,18105,18143,31,30,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,22607,22662,green
Malia Obama,i_eat_short_people_for_breakfast,21002,21116,31,24,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,28038,28252,red
Malia Obama,Step Papi,25140,25193,31,32,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,35798,35896,blue
Malia Obama,meeseeks,25142,25200,31,30,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,35801,35910,green
Malia Obama,i_eat_short_people_for_breakfast,25147,25188,31,24,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,35810,35822,red
Malia Obama,i_eat_short_people_for_breakfast,25238,25245,31,24,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,35981,35994,red
Malia Obama,Step Papi,25242,25283,31,32,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,35988,36065,blue
Malia Obama,i_eat_short_people_for_breakfast,25254,25283,31,24,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,36011,36065,red
Malia Obama,meeseeks,25272,25283,31,30,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,36044,36065,green
Malia Obama,meeseeks,27164,27220,31,30,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,39592,39697,green
Malia Obama,Step Papi,27313,27316,31,32,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,39872,39877,blue
Malia Obama,Step Papi,27345,27379,31,32,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,39931,39978,blue
Malia Obama,Step Papi,27385,27406,31,32,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,40006,40046,blue
Malia Obama,i_eat_short_people_for_breakfast,30456,30498,31,24,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,45765,45843,red
Malia Obama,meeseeks,31920,31944,31,30,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,48509,48524,green
Malia Obama,Step Papi,32648,32660,31,32,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,49874,49897,blue
Malia Obama,i_eat_short_people_for_breakfast,32652,32655,31,24,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,49883,49888,red
Malia Obama,Step Papi,32666,32672,31,32,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,49908,49920,blue
