spotter,spotted,start_game_tick,end_game_tick,spotter_id,spotted_id,demo,hacking,start_frame_num,end_frame_num,color
Pinkay,i_eat_short_people_for_breakfast,6975,7009,33,24,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,1735,1799,red
Pinkay,i_eat_short_people_for_breakfast,7067,7115,33,24,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,1908,1998,red
Pinkay,i_eat_short_people_for_breakfast,7135,7144,33,24,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,2036,2053,red
Pinkay,i_eat_short_people_for_breakfast,7151,7182,33,24,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,2065,2123,red
Pinkay,i_eat_short_people_for_breakfast,7210,7224,33,24,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,2177,2202,red
Pinkay,meeseeks,7234,7277,33,30,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,2220,2301,green
Pinkay,i_eat_short_people_for_breakfast,7243,7254,33,24,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,2238,2258,red
Pinkay,i_eat_short_people_for_breakfast,9319,9497,33,24,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,6130,6464,red
Pinkay,meeseeks,12340,12353,33,30,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,11794,11819,green
Pinkay,meeseeks,12406,12432,33,30,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,11919,11967,green
Pinkay,meeseeks,12448,12494,33,30,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,11998,12084,green
Pinkay,meeseeks,12505,12514,33,30,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,12105,12120,green
Pinkay,meeseeks,12554,12578,33,30,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,12195,12241,green
Pinkay,meeseeks,14083,14093,33,30,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,15064,15081,green
Pinkay,meeseeks,14193,14233,33,30,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,15269,15344,green
Pinkay,Step Papi,14277,14326,33,32,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,15427,15519,blue
Pinkay,meeseeks,14318,14402,33,30,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,15504,15661,green
Pinkay,meeseeks,14433,14459,33,30,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,15720,15769,green
Pinkay,meeseeks,14462,14467,33,30,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,15775,15783,green
Pinkay,meeseeks,14503,14525,33,30,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,15850,15891,green
Pinkay,meeseeks,14728,14944,33,30,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,16272,16428,green
Pinkay,meeseeks,14977,14995,33,30,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,16739,16773,green
Pinkay,i_eat_short_people_for_breakfast,16572,16659,33,24,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,19730,19894,red
Pinkay,Step Papi,16617,16665,33,32,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,19814,19904,blue
Pinkay,Step Papi,18258,18315,33,32,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,22892,22998,blue
Pinkay,meeseeks,18460,18513,33,30,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,23269,23369,green
Pinkay,meeseeks,18694,18811,33,30,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,23709,23928,green
Pinkay,meeseeks,18898,18980,33,30,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,24092,24245,green
Pinkay,meeseeks,19287,19318,33,30,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,24821,24878,green
Pinkay,meeseeks,19439,19471,33,30,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,25106,25165,green
Pinkay,meeseeks,21691,21746,33,30,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,29328,29431,green
Pinkay,Step Papi,22485,22552,33,32,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,30817,30942,blue
Pinkay,Step Papi,25486,25557,33,32,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,36443,36577,blue
Pinkay,i_eat_short_people_for_breakfast,25684,25713,33,24,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,36814,36870,red
Pinkay,i_eat_short_people_for_breakfast,27146,27238,33,24,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,39556,39691,red
Pinkay,i_eat_short_people_for_breakfast,27875,27884,33,24,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,40923,40940,red
Pinkay,i_eat_short_people_for_breakfast,29924,29954,33,24,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,44765,44821,red
Pinkay,i_eat_short_people_for_breakfast,30045,30109,33,24,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,44991,45111,red
