spotter,spotted,start_game_tick,end_game_tick,spotter_id,spotted_id,demo,hacking,start_frame_num,end_frame_num,color
Step Papi,Kcirrem,6919,6985,32,29,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,1628,1750,red
Step Papi,Malia Obama,6934,6957,32,31,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,1655,1698,green
Step Papi,Kcirrem,7963,8085,32,29,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,3584,3813,red
Step Papi,Kcirrem,9212,9224,32,29,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,5926,5948,red
Step Papi,Kcirrem,9232,9263,32,29,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,5963,6022,red
Step Papi,Tom,11972,11984,32,34,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,11102,11124,redBlue
Step Papi,Tom,12003,12083,32,34,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,11159,11309,redBlue
Step Papi,Tom,12103,12211,32,34,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,11347,11550,redBlue
Step Papi,Kcirrem,12200,12277,32,29,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,11529,11666,red
Step Papi,Pinkay,14276,14333,32,33,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,15421,15529,blue
Step Papi,Kcirrem,14362,14433,32,29,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,15582,15660,red
Step Papi,Tom,14384,14412,32,34,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,15624,15677,redBlue
Step Papi,Tom,14430,14433,32,34,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,15711,15716,redBlue
Step Papi,Tom,16473,16476,32,34,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,19540,19547,redBlue
