spotter,spotted,start_game_tick,end_game_tick,spotter_id,spotted_id,demo,hacking,start_frame_num,end_frame_num,color
i_eat_short_people_for_breakfast,Pinkay,6977,7016,24,33,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,1737,1809,blue
i_eat_short_people_for_breakfast,Pinkay,7070,7110,24,33,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,1911,1986,blue
i_eat_short_people_for_breakfast,Pinkay,7134,7175,24,33,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,2031,2107,blue
i_eat_short_people_for_breakfast,Pinkay,7216,7227,24,33,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,2184,2205,blue
i_eat_short_people_for_breakfast,Pinkay,7264,7274,24,33,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,2275,2294,blue
i_eat_short_people_for_breakfast,Kcirrem,8022,8038,24,29,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,3695,3726,red
i_eat_short_people_for_breakfast,Pinkay,9315,9497,24,33,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,6120,6166,blue
i_eat_short_people_for_breakfast,Malia Obama,9330,9385,24,31,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,6148,6251,green
i_eat_short_people_for_breakfast,Malia Obama,9435,9549,24,31,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,6345,6559,green
i_eat_short_people_for_breakfast,Tom,12049,12060,24,34,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,11247,11267,redBlue
i_eat_short_people_for_breakfast,Tom,12139,12150,24,34,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,11414,11435,redBlue
i_eat_short_people_for_breakfast,Kcirrem,12240,12277,24,29,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,11605,11663,red
i_eat_short_people_for_breakfast,Kcirrem,14048,14101,24,29,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,14995,15094,red
i_eat_short_people_for_breakfast,Malia Obama,16439,16495,24,31,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,19478,19583,green
i_eat_short_people_for_breakfast,Pinkay,16565,16651,24,33,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,19714,19874,blue
i_eat_short_people_for_breakfast,Tom,16565,16642,24,34,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,19714,19858,redBlue
