spotter,spotted,start_game_tick,end_game_tick,spotter_id,spotted_id,demo,hacking,start_frame_num,end_frame_num,color
Malia Obama,Step Papi,6933,6957,31,32,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,1431,1476,blue
Malia Obama,meeseeks,6946,6957,31,30,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,1456,1476,green
Malia Obama,i_eat_short_people_for_breakfast,9329,9389,31,24,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,5924,6037,red
Malia Obama,i_eat_short_people_for_breakfast,9426,9549,31,24,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,6106,6336,red
Malia Obama,meeseeks,9706,9753,31,30,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,6631,6718,green
Malia Obama,meeseeks,9792,9828,31,30,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,6791,6859,green
Malia Obama,meeseeks,9869,9888,31,30,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,6936,6971,green
Malia Obama,meeseeks,9901,9922,31,30,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,6996,7036,green
Malia Obama,meeseeks,9943,10066,31,30,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,7075,7306,green
Malia Obama,meeseeks,12234,12259,31,30,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,11371,11417,green
Malia Obama,i_eat_short_people_for_breakfast,13998,14031,31,24,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,14678,14739,red
Malia Obama,i_eat_short_people_for_breakfast,16440,16501,31,24,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,19257,19371,red
Malia Obama,Step Papi,16474,16496,31,32,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,19320,19361,blue
Malia Obama,Step Papi,16502,16542,31,32,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,19372,19448,blue
Malia Obama,i_eat_short_people_for_breakfast,16504,16511,31,24,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,19376,19390,red
Malia Obama,i_eat_short_people_for_breakfast,17932,17985,31,24,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,22054,22153,red
Malia Obama,meeseeks,18105,18143,31,30,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,22379,22435,green
Malia Obama,i_eat_short_people_for_breakfast,20999,21116,31,24,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,27804,28025,red
Malia Obama,Step Papi,25141,25190,31,32,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,35571,35663,blue
Malia Obama,meeseeks,25141,25197,31,30,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,35571,35677,green
Malia Obama,i_eat_short_people_for_breakfast,25147,25186,31,24,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,35582,35594,red
Malia Obama,i_eat_short_people_for_breakfast,25235,25283,31,24,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,35748,35837,red
