spotter,spotted,start_game_tick,end_game_tick,spotter_id,spotted_id,demo,hacking,start_frame_num,end_frame_num,color
meeseeks,Kcirrem,6982,6985,30,29,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,1472,1476,green
meeseeks,Pinkay,7215,7277,30,33,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,1908,2024,blue
meeseeks,Kcirrem,8004,8085,30,29,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,3387,3539,green
meeseeks,Kcirrem,9385,9423,30,29,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,5977,6047,green
meeseeks,Kcirrem,9539,9566,30,29,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,6265,6316,green
meeseeks,Kcirrem,9576,9622,30,29,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,6336,6421,green
meeseeks,Malia Obama,9641,9656,30,31,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,6457,6485,red
meeseeks,Malia Obama,9704,9759,30,31,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,6574,6678,red
meeseeks,Malia Obama,9789,9836,30,31,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,6734,6822,red
meeseeks,Malia Obama,9860,9876,30,31,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,6868,6897,red
meeseeks,Malia Obama,9946,10067,30,31,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,7028,7168,red
meeseeks,Malia Obama,12228,12259,30,31,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,11308,11365,red
meeseeks,Pinkay,12338,12361,30,33,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,11514,11557,blue
meeseeks,Pinkay,12403,12518,30,33,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,11635,11768,blue
meeseeks,Pinkay,12550,12578,30,33,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,11910,11963,blue
meeseeks,Pinkay,14076,14082,30,33,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,14772,14784,blue
