spotter,spotted,start_game_tick,end_game_tick,spotter_id,spotted_id,demo,hacking,start_frame_num,end_frame_num,color
Kcirrem,Step Papi,6917,6988,29,32,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,1475,1607,blue
Kcirrem,meeseeks,6924,6965,29,30,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,1488,1565,green
Kcirrem,meeseeks,9387,9424,29,30,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,6105,6175,green
Kcirrem,meeseeks,9541,9568,29,30,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,6395,6445,green
Kcirrem,meeseeks,9578,9623,29,30,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,6464,6547,green
Kcirrem,meeseeks,10022,10097,29,30,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,7297,7436,green
Kcirrem,Step Papi,12186,12277,29,32,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,11354,11524,blue
Kcirrem,i_eat_short_people_for_breakfast,12225,12277,29,24,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,11427,11524,red
Kcirrem,meeseeks,14033,14042,29,30,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,14817,14834,green
Kcirrem,i_eat_short_people_for_breakfast,14046,14101,29,24,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,14842,14944,red
Kcirrem,meeseeks,14081,14088,29,30,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,14907,14920,green
Kcirrem,meeseeks,14109,14118,29,30,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,14959,14976,green
Kcirrem,meeseeks,14184,14235,29,30,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,15100,15195,green
Kcirrem,Step Papi,14301,14323,29,32,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,15320,15360,blue
Kcirrem,Step Papi,14338,14433,29,32,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,15389,15507,blue
Kcirrem,meeseeks,14736,14793,29,30,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,16134,16243,green
Kcirrem,meeseeks,14812,14984,29,30,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,16277,16314,green
Kcirrem,meeseeks,15295,15339,29,30,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,17184,17266,green
Kcirrem,meeseeks,16424,16446,29,30,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,19300,19341,green
Kcirrem,i_eat_short_people_for_breakfast,17920,17941,29,24,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,22104,22144,red
Kcirrem,i_eat_short_people_for_breakfast,21317,21344,29,24,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,28474,28525,red
Kcirrem,Step Papi,21322,21400,29,32,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,28483,28631,blue
Kcirrem,Step Papi,25263,25323,29,32,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,35873,35985,blue
Kcirrem,i_eat_short_people_for_breakfast,25263,25310,29,24,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,35873,35962,red
Kcirrem,meeseeks,25292,25313,29,30,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,35928,35966,green
Kcirrem,Step Papi,25350,25415,29,32,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,36036,36121,blue
Kcirrem,meeseeks,25353,25394,29,30,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,36042,36119,green
Kcirrem,i_eat_short_people_for_breakfast,25382,25415,29,24,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,36097,36158,red
Kcirrem,i_eat_short_people_for_breakfast,26815,26839,29,24,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,38783,38828,red
Kcirrem,i_eat_short_people_for_breakfast,27227,27246,29,24,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,39556,39592,red
Kcirrem,Step Papi,28254,28274,29,32,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,41482,41518,blue
Kcirrem,Step Papi,28300,28376,29,32,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,41567,41709,blue
Kcirrem,Step Papi,29897,29940,29,32,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,44561,44642,blue
Kcirrem,Step Papi,29967,29996,29,32,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,44693,44747,blue
Kcirrem,meeseeks,29983,30018,29,30,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,44722,44759,green
Kcirrem,meeseeks,30376,30415,29,30,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,45459,45533,green
Kcirrem,meeseeks,30435,30486,29,30,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,45570,45644,green
Kcirrem,Step Papi,32553,32654,29,32,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,49541,49731,blue
Kcirrem,i_eat_short_people_for_breakfast,32564,32654,29,24,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,49562,49731,red
Kcirrem,i_eat_short_people_for_breakfast,36488,36517,29,24,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,56920,56975,red
Kcirrem,i_eat_short_people_for_breakfast,38806,38828,29,24,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,61266,61296,red
Kcirrem,Step Papi,39112,39201,29,32,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,61839,61995,blue
Kcirrem,meeseeks,39923,39953,29,30,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,63361,63416,green
Kcirrem,meeseeks,40016,40027,29,30,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,63535,63556,green
Kcirrem,Step Papi,40926,41127,29,32,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,65242,65376,blue
Kcirrem,Step Papi,41150,41196,29,32,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,65661,65714,blue
Kcirrem,i_eat_short_people_for_breakfast,41480,41528,29,24,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,66280,66370,red
Kcirrem,Step Papi,43372,43381,29,32,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,69827,69845,blue
Kcirrem,i_eat_short_people_for_breakfast,43622,43652,29,24,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,70296,70352,red
Kcirrem,Step Papi,43704,43804,29,32,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,70450,70637,blue
Kcirrem,meeseeks,44121,44230,29,30,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,71232,71436,green
