spotter,spotted,start_game_tick,end_game_tick,spotter_id,spotted_id,demo,hacking,start_frame_num,end_frame_num,color
Step Papi,Kcirrem,6917,6985,32,29,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,1382,1510,green
Step Papi,Malia Obama,6931,6957,32,31,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,1409,1458,red
Step Papi,Kcirrem,7960,8086,32,29,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,3339,3574,green
Step Papi,Kcirrem,9210,9223,32,29,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,5681,5706,green
Step Papi,Kcirrem,9233,9263,32,29,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,5725,5781,green
Step Papi,Tom,11972,11984,32,34,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,10861,10883,redBlue
Step Papi,Tom,12004,12083,32,34,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,10920,11069,redBlue
Step Papi,Tom,12103,12211,32,34,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,11107,11309,redBlue
Step Papi,Kcirrem,12198,12273,32,29,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,11285,11426,green
Step Papi,Pinkay,14274,14332,32,33,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,15177,15287,blue
Step Papi,Kcirrem,14361,14435,32,29,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,15340,15420,green
Step Papi,Tom,14383,14412,32,34,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,15382,15437,redBlue
Step Papi,Tom,14426,14435,32,34,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,15463,15479,redBlue
Step Papi,Malia Obama,16475,16479,32,31,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,19304,19312,red
Step Papi,Malia Obama,16517,16542,32,31,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,19384,19430,red
Step Papi,Tom,16550,16570,32,34,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,19445,19482,redBlue
Step Papi,Pinkay,16611,16614,32,33,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,19558,19565,blue
Step Papi,Tom,16611,16642,32,34,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,19560,19617,redBlue
Step Papi,Pinkay,16619,16694,32,33,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,19575,19667,blue
Step Papi,Tom,18173,18231,32,34,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,22488,22598,redBlue
Step Papi,Pinkay,18258,18274,32,33,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,22648,22678,blue
Step Papi,Pinkay,18311,18315,32,33,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,22747,22754,blue
Step Papi,Kcirrem,21322,21400,32,29,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,28392,28538,green
Step Papi,Tom,22461,22552,32,34,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,30527,30698,redBlue
Step Papi,Pinkay,22483,22552,32,33,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,30569,30698,blue
Step Papi,Tom,25093,25126,32,34,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,35464,35524,redBlue
Step Papi,Tom,25141,25182,32,34,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,35553,35631,redBlue
Step Papi,Malia Obama,25145,25185,32,31,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,35561,35636,red
Step Papi,Malia Obama,25241,25283,32,31,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,35740,35819,red
Step Papi,Tom,25247,25303,32,34,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,35751,35857,redBlue
Step Papi,Kcirrem,25257,25318,32,29,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,35771,35885,green
Step Papi,Kcirrem,25351,25395,32,29,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,35946,36030,green
Step Papi,Kcirrem,25405,25415,32,29,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,36048,36055,green
Step Papi,Pinkay,25481,25557,32,33,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,36191,36333,blue
Step Papi,Tom,25481,25557,32,34,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,36190,36333,redBlue
Step Papi,Malia Obama,27496,27518,32,31,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,39969,40011,red
Step Papi,Kcirrem,28256,28281,32,29,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,41393,41440,green
Step Papi,Kcirrem,28296,28368,32,29,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,41469,41517,green
Step Papi,Kcirrem,29902,29949,32,29,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,44480,44567,green
Step Papi,Kcirrem,29962,29996,32,29,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,44592,44656,green
Step Papi,Kcirrem,32554,32656,32,29,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,49452,49643,green
Step Papi,Malia Obama,32648,32823,32,31,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,49629,49666,red
Step Papi,Tom,36369,36507,32,34,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,56606,56864,redBlue
