spotter,spotted,start_game_tick,end_game_tick,spotter_id,spotted_id,demo,hacking,start_frame_num,end_frame_num,color
Kcirrem,Step Papi,7040,7088,42,45,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,1707,1797,blue
Kcirrem,Alfred,7041,7044,42,39,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,1710,1714,redBlue
Kcirrem,i_eat_short_people_for_breakfast,7041,7082,42,38,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,1710,1787,red
Kcirrem,Step Papi,7133,7158,42,45,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,1881,1928,blue
Kcirrem,Step Papi,7173,7195,42,45,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,1956,1998,blue
Kcirrem,Step Papi,7301,7310,42,45,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,2197,2214,blue
Kcirrem,Step Papi,7323,7329,42,45,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,2237,2248,blue
Kcirrem,i_eat_short_people_for_breakfast,7339,7383,42,38,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,2268,2350,red
Kcirrem,i_eat_short_people_for_breakfast,7419,7461,42,38,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,2418,2496,red
Kcirrem,Step Papi,7520,7535,42,45,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,2607,2635,blue
Kcirrem,Step Papi,7597,7611,42,45,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,2752,2777,blue
Kcirrem,Step Papi,7661,7712,42,45,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,2871,2967,blue
Kcirrem,Step Papi,7753,7809,42,45,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,3044,3149,blue
Kcirrem,Alfred,8216,8301,42,39,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,3912,4072,redBlue
Kcirrem,i_eat_short_people_for_breakfast,9391,9435,42,38,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,6115,6197,red
Kcirrem,meeseeks,9397,9435,42,43,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,6126,6197,green
Kcirrem,meeseeks,11606,11633,42,43,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,10268,10318,green
Kcirrem,Alfred,11610,11669,42,39,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,10275,10328,redBlue
