spotter,spotted,start_game_tick,end_game_tick,spotter_id,spotted_id,demo,hacking,start_frame_num,end_frame_num,color
Malia Obama,meeseeks,6920,6993,44,43,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,1482,1609,green
Malia Obama,Step Papi,6984,6988,44,45,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,1602,1609,blue
Malia Obama,i_eat_short_people_for_breakfast,9917,9966,44,38,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,7102,7194,red
Malia Obama,meeseeks,9928,9966,44,43,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,7122,7194,green
Malia Obama,Step Papi,9930,9940,44,45,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,7126,7144,blue
Malia Obama,i_eat_short_people_for_breakfast,11720,11723,44,38,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,10483,10488,red
Malia Obama,i_eat_short_people_for_breakfast,11730,11762,44,38,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,10500,10507,red
Malia Obama,i_eat_short_people_for_breakfast,11866,11946,44,38,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,10755,10906,red
Malia Obama,Alfred,11892,11979,44,39,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,10805,10968,redBlue
Malia Obama,Alfred,12057,12101,44,39,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,11114,11146,redBlue
Malia Obama,Alfred,12184,12188,44,39,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,11352,11359,redBlue
Malia Obama,Alfred,12195,12219,44,39,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,11373,11418,redBlue
Malia Obama,Alfred,12343,12364,44,39,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,11650,11689,redBlue
Malia Obama,Step Papi,12498,12504,44,45,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,11941,11952,blue
Malia Obama,Step Papi,12871,13862,44,45,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,12640,14499,blue
Malia Obama,Step Papi,14477,14538,44,45,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,15651,15765,blue
Malia Obama,Alfred,14791,14888,44,39,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,16240,16421,redBlue
Malia Obama,meeseeks,19383,19417,44,43,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,24851,24913,green
Malia Obama,i_eat_short_people_for_breakfast,20366,20374,44,38,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,26692,26708,red
Malia Obama,i_eat_short_people_for_breakfast,20384,20395,44,38,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,26726,26747,red
Malia Obama,i_eat_short_people_for_breakfast,21617,21630,44,38,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,29039,29063,red
Malia Obama,Step Papi,21625,21683,44,45,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,29053,29162,blue
Malia Obama,Step Papi,21776,21800,44,45,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,29338,29382,blue
Malia Obama,meeseeks,21893,21927,44,43,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,29557,29619,green
Malia Obama,Alfred,25858,25873,44,39,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,36990,37018,redBlue
Malia Obama,meeseeks,25859,25873,44,43,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,36993,37018,green
Malia Obama,i_eat_short_people_for_breakfast,28887,28966,44,38,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,42669,42817,red
Malia Obama,i_eat_short_people_for_breakfast,28972,29087,44,38,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,42830,43044,red
Malia Obama,i_eat_short_people_for_breakfast,29224,29669,44,38,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,43301,44136,red
Malia Obama,Alfred,29485,29568,44,39,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,43792,43946,redBlue
Malia Obama,Alfred,29588,29596,44,39,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,43985,44000,redBlue
Malia Obama,i_eat_short_people_for_breakfast,29707,29759,44,38,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,44207,44305,red
Malia Obama,i_eat_short_people_for_breakfast,30794,30828,44,38,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,46246,46281,red
Malia Obama,i_eat_short_people_for_breakfast,31195,31240,44,38,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,46998,47020,red
Malia Obama,i_eat_short_people_for_breakfast,31382,31409,44,38,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,47348,47399,red
Malia Obama,meeseeks,31757,31803,44,43,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,48051,48104,green
Malia Obama,Step Papi,31971,31985,44,45,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,48452,48479,blue
Malia Obama,i_eat_short_people_for_breakfast,33967,34039,44,38,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,52194,52330,red
Malia Obama,i_eat_short_people_for_breakfast,34122,34179,44,38,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,52485,52592,red
Malia Obama,i_eat_short_people_for_breakfast,34462,34484,44,38,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,53124,53164,red
Malia Obama,meeseeks,34468,34484,44,43,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,53134,53164,green
Malia Obama,Alfred,36632,36679,44,39,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,57192,57280,redBlue
Malia Obama,meeseeks,37233,37267,44,43,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,58319,58345,green
Malia Obama,meeseeks,39229,39263,44,43,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,62062,62126,green
Malia Obama,i_eat_short_people_for_breakfast,42371,42392,44,38,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,67952,67992,red
Malia Obama,i_eat_short_people_for_breakfast,42441,42453,44,38,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,68084,68106,red
Malia Obama,meeseeks,42449,42498,44,43,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,68099,68190,green
Malia Obama,meeseeks,42539,42617,44,43,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,68267,68414,green
Malia Obama,meeseeks,42672,42686,44,43,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,68517,68544,green
