spotter,spotted,start_game_tick,end_game_tick,spotter_id,spotted_id,demo,hacking,start_frame_num,end_frame_num,color
Pinkay,meeseeks,6922,7034,46,43,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,1487,1697,green
Pinkay,meeseeks,7200,7233,46,43,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,2008,2070,green
Pinkay,Step Papi,7621,7656,46,45,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,2798,2864,blue
Pinkay,Step Papi,7701,7708,46,45,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,2949,2962,blue
Pinkay,Step Papi,7747,7751,46,45,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,3035,3042,blue
Pinkay,Step Papi,7784,7809,46,45,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,3103,3151,blue
Pinkay,Alfred,7949,8115,46,39,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,3413,3725,redBlue
Pinkay,Alfred,8225,8245,46,39,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,3930,3969,redBlue
Pinkay,Alfred,8260,8268,46,39,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,3996,4011,redBlue
Pinkay,Alfred,8280,8301,46,39,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,4034,4073,redBlue
Pinkay,Step Papi,9707,9726,46,45,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,6710,6745,blue
Pinkay,Alfred,12038,12065,46,39,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,11081,11130,redBlue
Pinkay,Alfred,12337,12364,46,39,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,11640,11691,redBlue
Pinkay,i_eat_short_people_for_breakfast,15162,15225,46,38,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,16937,17001,red
Pinkay,i_eat_short_people_for_breakfast,16479,16496,46,38,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,19407,19439,red
Pinkay,Step Papi,17918,17972,46,45,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,22105,22206,blue
Pinkay,Step Papi,17994,18018,46,45,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,22247,22292,blue
Pinkay,Step Papi,18062,18136,46,45,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,22374,22514,blue
Pinkay,i_eat_short_people_for_breakfast,19755,19767,46,38,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,25550,25571,red
Pinkay,Step Papi,21752,21779,46,45,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,29294,29344,blue
Pinkay,Alfred,26157,26175,46,39,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,37553,37587,redBlue
Pinkay,meeseeks,26262,26302,46,43,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,37750,37825,green
Pinkay,meeseeks,26862,26883,46,43,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,38875,38914,green
Pinkay,meeseeks,26916,26925,46,43,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,38976,38993,green
Pinkay,Step Papi,28772,28828,46,45,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,42456,42562,blue
Pinkay,Alfred,30714,30887,46,39,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,46097,46384,redBlue
Pinkay,meeseeks,31463,31466,46,43,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,47501,47508,green
Pinkay,Step Papi,31721,31735,46,45,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,47986,48011,blue
Pinkay,Step Papi,31746,31793,46,45,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,48032,48120,blue
Pinkay,Step Papi,32048,32082,46,45,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,48598,48662,blue
Pinkay,i_eat_short_people_for_breakfast,34127,34175,46,38,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,52497,52587,red
Pinkay,i_eat_short_people_for_breakfast,34497,34503,46,38,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,53191,53203,red
Pinkay,i_eat_short_people_for_breakfast,34604,34634,46,38,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,53392,53410,red
Pinkay,Step Papi,35146,35166,46,45,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,54407,54445,blue
