spotter,spotted,start_game_tick,end_game_tick,spotter_id,spotted_id,demo,hacking,start_frame_num,end_frame_num,color
Step Papi,Kcirrem,7042,7097,45,42,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,1713,1816,green
Step Papi,Kcirrem,7133,7214,45,42,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,1885,2037,green
Step Papi,Kcirrem,7252,7269,45,42,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,2107,2139,green
Step Papi,Kcirrem,7306,7314,45,42,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,2208,2223,green
Step Papi,Kcirrem,7326,7333,45,42,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,2247,2260,green
Step Papi,Kcirrem,7531,7538,45,42,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,2631,2643,green
Step Papi,Kcirrem,7588,7622,45,42,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,2737,2801,green
Step Papi,Pinkay,7626,7652,45,46,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,2809,2857,blue
Step Papi,Kcirrem,7666,7719,45,42,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,2883,2983,green
Step Papi,Pinkay,7744,7762,45,46,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,3030,3064,blue
Step Papi,Kcirrem,7754,7809,45,42,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,3049,3152,green
Step Papi,Pinkay,7782,7809,45,46,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,3100,3152,blue
Step Papi,Kcirrem,9176,9191,45,42,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,5714,5742,green
Step Papi,Malia Obama,9566,9579,45,44,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,6446,6470,red
Step Papi,Pinkay,9706,9724,45,46,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,6709,6742,blue
Step Papi,Malia Obama,9787,9811,45,44,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,6861,6905,red
Step Papi,Malia Obama,9927,9940,45,44,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,7123,7147,red
Step Papi,Pinkay,12500,12524,45,46,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,11947,11992,blue
Step Papi,Malia Obama,14800,14888,45,44,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,16260,16425,red
Step Papi,Malia Obama,14892,14920,45,44,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,16433,16485,red
Step Papi,Kcirrem,15134,15145,45,42,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,16887,16906,green
Step Papi,Kcirrem,15162,15218,45,42,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,16938,17045,green
Step Papi,Kcirrem,15237,15244,45,42,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,17080,17093,green
Step Papi,Kcirrem,15305,15384,45,42,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,17207,17355,green
Step Papi,Pinkay,15453,15456,45,46,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,17485,17490,blue
Step Papi,Pinkay,15471,15481,45,46,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,17519,17537,blue
Step Papi,Pinkay,15490,15562,45,46,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,17555,17689,blue
Step Papi,Pinkay,15641,15657,45,46,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,17836,17866,blue
Step Papi,Kcirrem,17376,17394,45,42,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,21090,21123,green
Step Papi,Kcirrem,17588,17605,45,42,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,21487,21520,green
Step Papi,Kcirrem,17650,17682,45,42,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,21604,21664,green
Step Papi,Kcirrem,17782,17814,45,42,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,21851,21911,green
Step Papi,Kcirrem,17858,17902,45,42,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,21994,22076,green
