spotter,spotted,start_game_tick,end_game_tick,spotter_id,spotted_id,demo,hacking,start_frame_num,end_frame_num,color
i_eat_short_people_for_breakfast,Kcirrem,7039,7088,38,42,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,1555,1648,green
i_eat_short_people_for_breakfast,Kcirrem,7135,7154,38,42,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,1735,1771,green
i_eat_short_people_for_breakfast,Kcirrem,7188,7195,38,42,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,1836,1848,green
i_eat_short_people_for_breakfast,Kcirrem,7335,7388,38,42,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,2111,2210,green
i_eat_short_people_for_breakfast,Kcirrem,7404,7461,38,42,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,2240,2347,green
i_eat_short_people_for_breakfast,Kcirrem,9390,9430,38,42,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,5964,6038,green
i_eat_short_people_for_breakfast,Malia Obama,9917,9966,38,44,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,6954,7044,red
i_eat_short_people_for_breakfast,Malia Obama,11662,11714,38,44,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,10224,10321,red
i_eat_short_people_for_breakfast,Pinkay,11900,11946,38,46,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,10670,10758,blue
i_eat_short_people_for_breakfast,Kcirrem,11904,11929,38,42,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,10678,10726,green
i_eat_short_people_for_breakfast,Kcirrem,15300,15384,38,42,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,17046,17203,green
i_eat_short_people_for_breakfast,Pinkay,16477,16500,38,46,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,19252,19295,blue
i_eat_short_people_for_breakfast,Pinkay,19752,19767,38,46,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,25393,25420,blue
i_eat_short_people_for_breakfast,Kcirrem,19771,19804,38,42,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,25428,25490,green
i_eat_short_people_for_breakfast,Kcirrem,20242,20249,38,42,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,26311,26324,green
i_eat_short_people_for_breakfast,Malia Obama,20389,20395,38,44,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,26587,26598,red
i_eat_short_people_for_breakfast,Kcirrem,21293,21400,38,42,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,28281,28438,green
i_eat_short_people_for_breakfast,Malia Obama,21615,21630,38,44,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,28886,28913,red
i_eat_short_people_for_breakfast,Kcirrem,25502,25534,38,42,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,36173,36234,green
i_eat_short_people_for_breakfast,Kcirrem,25554,25602,38,42,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,36271,36361,green
i_eat_short_people_for_breakfast,Kcirrem,25649,25713,38,42,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,36450,36570,green
i_eat_short_people_for_breakfast,Kcirrem,25736,25763,38,42,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,36612,36663,green
i_eat_short_people_for_breakfast,Malia Obama,28805,28822,38,44,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,42366,42399,red
i_eat_short_people_for_breakfast,Pinkay,28809,28828,38,46,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,42374,42410,blue
i_eat_short_people_for_breakfast,Kcirrem,30471,30503,38,42,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,45490,45550,green
i_eat_short_people_for_breakfast,Malia Obama,30790,30835,38,44,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,46088,46173,red
i_eat_short_people_for_breakfast,Malia Obama,31195,31249,38,44,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,46848,46949,red
i_eat_short_people_for_breakfast,Malia Obama,31380,31409,38,44,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,47195,47249,red
i_eat_short_people_for_breakfast,Malia Obama,33964,34033,38,44,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,52039,52169,red
i_eat_short_people_for_breakfast,Malia Obama,34118,34167,38,44,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,52329,52421,red
i_eat_short_people_for_breakfast,Pinkay,34122,34163,38,46,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,52336,52414,blue
i_eat_short_people_for_breakfast,Malia Obama,34170,34175,38,44,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,52426,52435,red
i_eat_short_people_for_breakfast,Malia Obama,34458,34484,38,44,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,52966,53015,red
i_eat_short_people_for_breakfast,Pinkay,34600,34657,38,46,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,53233,53339,blue
i_eat_short_people_for_breakfast,Kcirrem,34757,34800,38,42,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,53528,53608,green
i_eat_short_people_for_breakfast,Kcirrem,34921,34974,38,42,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,53835,53934,green
i_eat_short_people_for_breakfast,Kcirrem,34984,35041,38,42,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,53953,54060,green
i_eat_short_people_for_breakfast,Kcirrem,35064,35174,38,42,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,54103,54111,green
i_eat_short_people_for_breakfast,Kcirrem,36932,36939,38,42,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,57604,57618,green
i_eat_short_people_for_breakfast,Pinkay,39743,39784,38,46,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,62876,62952,blue
i_eat_short_people_for_breakfast,Kcirrem,42029,42037,38,42,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,67161,67176,green
i_eat_short_people_for_breakfast,Kcirrem,42056,42480,38,42,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,67213,68007,green
i_eat_short_people_for_breakfast,Malia Obama,42292,42336,38,44,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,67656,67737,red
i_eat_short_people_for_breakfast,Malia Obama,42366,42455,38,44,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,67793,67960,red
