spotter,spotted,start_game_tick,end_game_tick,spotter_id,spotted_id,demo,hacking,start_frame_num,end_frame_num,color
i_eat_short_people_for_breakfast,Kcirrem,7042,7091,38,42,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,1705,1797,green
i_eat_short_people_for_breakfast,Kcirrem,7137,7158,38,42,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,1884,1922,green
i_eat_short_people_for_breakfast,Kcirrem,7188,7199,38,42,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,1979,2000,green
i_eat_short_people_for_breakfast,Kcirrem,7338,7391,38,42,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,2260,2359,green
i_eat_short_people_for_breakfast,Kcirrem,7406,7461,38,42,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,2388,2491,green
i_eat_short_people_for_breakfast,Kcirrem,9391,9430,38,42,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,6110,6182,green
i_eat_short_people_for_breakfast,Malia Obama,9917,9966,38,44,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,7095,7187,red
i_eat_short_people_for_breakfast,Malia Obama,11662,11714,38,44,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,10368,10465,red
i_eat_short_people_for_breakfast,Pinkay,11901,11946,38,46,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,10815,10901,blue
i_eat_short_people_for_breakfast,Kcirrem,11904,11930,38,42,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,10821,10870,green
i_eat_short_people_for_breakfast,Kcirrem,15300,15384,38,42,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,17189,17346,green
i_eat_short_people_for_breakfast,Pinkay,16479,16500,38,46,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,19400,19439,blue
i_eat_short_people_for_breakfast,Pinkay,19756,19767,38,46,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,25543,25564,blue
i_eat_short_people_for_breakfast,Kcirrem,19773,19804,38,42,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,25576,25634,green
i_eat_short_people_for_breakfast,Kcirrem,20243,20249,38,42,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,26456,26468,green
i_eat_short_people_for_breakfast,Malia Obama,20389,20395,38,44,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,26731,26742,red
i_eat_short_people_for_breakfast,Kcirrem,21296,21400,38,42,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,28432,28582,green
i_eat_short_people_for_breakfast,Malia Obama,21478,21481,38,44,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,28773,28778,red
i_eat_short_people_for_breakfast,Malia Obama,21619,21630,38,44,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,29036,29057,red
i_eat_short_people_for_breakfast,Kcirrem,25501,25536,38,42,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,36316,36382,green
i_eat_short_people_for_breakfast,Kcirrem,25556,25603,38,42,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,36419,36508,green
i_eat_short_people_for_breakfast,Kcirrem,25652,25716,38,42,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,36600,36719,green
i_eat_short_people_for_breakfast,Kcirrem,25738,25763,38,42,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,36760,36807,green
i_eat_short_people_for_breakfast,Malia Obama,28804,28822,38,44,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,42508,42542,red
i_eat_short_people_for_breakfast,Pinkay,28809,28828,38,46,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,42518,42553,blue
i_eat_short_people_for_breakfast,Kcirrem,30474,30505,38,42,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,45639,45698,green
i_eat_short_people_for_breakfast,Malia Obama,30792,30838,38,44,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,46237,46323,red
i_eat_short_people_for_breakfast,Malia Obama,31195,31251,38,44,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,46991,47097,red
i_eat_short_people_for_breakfast,Malia Obama,31383,31409,38,44,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,47345,47393,red
i_eat_short_people_for_breakfast,Malia Obama,33963,34032,38,44,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,52182,52312,red
i_eat_short_people_for_breakfast,Malia Obama,34118,34167,38,44,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,52473,52565,red
i_eat_short_people_for_breakfast,Pinkay,34122,34164,38,46,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,52480,52558,blue
i_eat_short_people_for_breakfast,Malia Obama,34170,34175,38,44,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,52570,52579,red
i_eat_short_people_for_breakfast,Malia Obama,34458,34484,38,44,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,53110,53159,red
i_eat_short_people_for_breakfast,Pinkay,34600,34658,38,46,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,53376,53485,blue
i_eat_short_people_for_breakfast,Kcirrem,34756,34803,38,42,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,53669,53757,green
i_eat_short_people_for_breakfast,Kcirrem,34924,34980,38,42,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,53984,54089,green
i_eat_short_people_for_breakfast,Kcirrem,34989,35044,38,42,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,54105,54208,green
i_eat_short_people_for_breakfast,Kcirrem,35070,35110,38,42,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,54258,54276,green
i_eat_short_people_for_breakfast,Kcirrem,36931,36939,38,42,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,57747,57762,green
i_eat_short_people_for_breakfast,Pinkay,39744,39784,38,46,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,63022,63096,blue
i_eat_short_people_for_breakfast,Kcirrem,42028,42036,38,42,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,67304,67319,green
i_eat_short_people_for_breakfast,Kcirrem,42056,42479,38,42,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,67357,68150,green
i_eat_short_people_for_breakfast,Malia Obama,42295,42339,38,44,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,67805,67887,red
i_eat_short_people_for_breakfast,Malia Obama,42369,42455,38,44,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,67943,68105,red
