spotter,spotted,start_game_tick,end_game_tick,spotter_id,spotted_id,demo,hacking,start_frame_num,end_frame_num,color
Malia Obama,meeseeks,6917,6993,44,43,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,1352,1485,green
Malia Obama,i_eat_short_people_for_breakfast,9913,9966,44,38,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,6971,7069,red
Malia Obama,meeseeks,9926,9966,44,43,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,6994,7069,green
Malia Obama,Step Papi,9930,9940,44,45,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,7001,7020,blue
Malia Obama,i_eat_short_people_for_breakfast,11729,11758,44,38,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,10375,10430,red
Malia Obama,i_eat_short_people_for_breakfast,11861,11946,44,38,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,10622,10782,red
Malia Obama,Alfred,11889,11979,44,39,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,10675,10844,redBlue
Malia Obama,i_eat_short_people_for_breakfast,11978,11988,44,38,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,10842,10860,red
Malia Obama,Alfred,12054,12099,44,39,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,10984,11068,redBlue
Malia Obama,Alfred,12181,12188,44,39,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,11222,11236,redBlue
Malia Obama,Alfred,12196,12218,44,39,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,11250,11269,redBlue
Malia Obama,Alfred,12339,12364,44,39,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,11519,11566,redBlue
Malia Obama,Step Papi,12496,12502,44,45,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,11813,11824,blue
Malia Obama,Step Papi,12869,13862,44,45,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,12513,14375,blue
Malia Obama,Step Papi,14474,14539,44,45,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,15524,15644,blue
Malia Obama,Alfred,14792,14888,44,39,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,16118,16298,redBlue
Malia Obama,i_eat_short_people_for_breakfast,14858,14869,44,38,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,16241,16263,red
Malia Obama,i_eat_short_people_for_breakfast,14883,14886,44,38,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,16289,16294,red
Malia Obama,meeseeks,19383,19417,44,43,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,24727,24790,green
Malia Obama,i_eat_short_people_for_breakfast,20364,20395,44,38,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,26565,26624,red
Malia Obama,i_eat_short_people_for_breakfast,21617,21630,44,38,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,28914,28939,red
Malia Obama,Step Papi,21625,21683,44,45,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,28929,29038,blue
Malia Obama,Step Papi,21776,21800,44,45,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,29214,29258,blue
Malia Obama,meeseeks,21891,21926,44,43,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,29429,29495,green
Malia Obama,Alfred,25857,25873,44,39,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,36865,36895,redBlue
Malia Obama,meeseeks,25859,25873,44,43,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,36869,36895,green
Malia Obama,i_eat_short_people_for_breakfast,28884,29086,44,38,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,42540,42920,red
Malia Obama,i_eat_short_people_for_breakfast,29222,29666,44,38,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,43174,44007,red
Malia Obama,Alfred,29482,29599,44,39,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,43662,43881,redBlue
Malia Obama,i_eat_short_people_for_breakfast,29704,29758,44,38,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,44077,44179,red
Malia Obama,i_eat_short_people_for_breakfast,30795,30828,44,38,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,46123,46159,red
Malia Obama,i_eat_short_people_for_breakfast,31193,31239,44,38,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,46869,46898,red
Malia Obama,i_eat_short_people_for_breakfast,31382,31409,44,38,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,47225,47275,red
Malia Obama,meeseeks,31755,31803,44,43,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,47923,47981,green
Malia Obama,Step Papi,31970,31985,44,45,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,48326,48355,blue
Malia Obama,i_eat_short_people_for_breakfast,33962,34036,44,38,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,52062,52200,red
Malia Obama,i_eat_short_people_for_breakfast,34119,34176,44,38,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,52356,52463,red
Malia Obama,i_eat_short_people_for_breakfast,34459,34484,44,38,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,52994,53042,red
Malia Obama,meeseeks,34467,34484,44,43,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,53009,53042,green
Malia Obama,Alfred,36629,36679,44,39,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,57062,57156,redBlue
Malia Obama,meeseeks,37234,37267,44,43,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,58196,58224,green
Malia Obama,meeseeks,39227,39265,44,43,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,61934,62004,green
Malia Obama,i_eat_short_people_for_breakfast,42371,42392,44,38,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,67828,67868,red
Malia Obama,i_eat_short_people_for_breakfast,42441,42452,44,38,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,67960,67980,red
Malia Obama,meeseeks,42449,42495,44,43,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,67974,68062,green
Malia Obama,meeseeks,42539,42614,44,43,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,68144,68285,green
Malia Obama,meeseeks,42673,42686,44,43,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,68395,68419,green
