spotter,spotted,start_game_tick,end_game_tick,spotter_id,spotted_id,demo,hacking,start_frame_num,end_frame_num,color
meeseeks,Pinkay,6916,7233,43,46,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,1474,1555,blue
meeseeks,Malia Obama,6919,7098,43,44,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,1479,1608,red
meeseeks,Kcirrem,9398,9430,43,42,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,6127,6187,green
meeseeks,Malia Obama,9927,9966,43,44,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,7120,7192,red
meeseeks,Kcirrem,11606,11684,43,42,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,10268,10413,green
meeseeks,Kcirrem,11741,11775,43,42,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,10521,10541,green
meeseeks,Kcirrem,11851,11899,43,42,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,10727,10817,green
meeseeks,Kcirrem,11941,11970,43,42,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,10896,10951,green
meeseeks,Kcirrem,15130,15140,43,42,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,16875,16893,green
meeseeks,Kcirrem,15158,15219,43,42,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,16927,17042,green
meeseeks,Kcirrem,17376,17393,43,42,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,21086,21118,green
meeseeks,Kcirrem,17586,17604,43,42,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,21479,21513,green
meeseeks,Kcirrem,17652,17682,43,42,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,21604,21660,green
meeseeks,Kcirrem,17782,17815,43,42,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,21848,21910,green
meeseeks,Kcirrem,17857,17902,43,42,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,21989,22072,green
meeseeks,Kcirrem,17992,18003,43,42,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,22242,22262,green
meeseeks,Kcirrem,18070,18136,43,42,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,22388,22512,green
meeseeks,Pinkay,18155,18169,43,46,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,22547,22572,blue
meeseeks,Kcirrem,18156,18170,43,42,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,22549,22574,green
meeseeks,Malia Obama,18173,18228,43,44,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,22581,22633,red
meeseeks,Malia Obama,19183,19201,43,44,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,24475,24509,red
meeseeks,Malia Obama,19383,19417,43,44,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,24849,24913,red
meeseeks,Malia Obama,21910,21922,43,44,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,29588,29610,red
meeseeks,Malia Obama,25575,25624,43,44,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,36459,36493,red
