spotter,spotted,start_game_tick,end_game_tick,spotter_id,spotted_id,demo,hacking,start_frame_num,end_frame_num,color
Kcirrem,Step Papi,7040,7088,42,45,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,1521,1611,blue
Kcirrem,i_eat_short_people_for_breakfast,7042,7082,42,38,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,1525,1601,red
Kcirrem,Step Papi,7132,7158,42,45,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,1694,1742,blue
Kcirrem,Step Papi,7173,7196,42,45,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,1770,1813,blue
Kcirrem,Step Papi,7301,7309,42,45,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,2010,2026,blue
Kcirrem,Step Papi,7323,7328,42,45,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,2052,2062,blue
Kcirrem,i_eat_short_people_for_breakfast,7338,7383,42,38,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,2081,2164,red
Kcirrem,i_eat_short_people_for_breakfast,7419,7461,42,38,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,2232,2310,red
Kcirrem,Step Papi,7520,7534,42,45,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,2422,2448,blue
Kcirrem,Step Papi,7596,7612,42,45,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,2564,2594,blue
Kcirrem,Step Papi,7662,7711,42,45,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,2687,2780,blue
Kcirrem,Step Papi,7752,7809,42,45,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,2857,2963,blue
Kcirrem,Alfred,8216,8301,42,39,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,3726,3886,redBlue
Kcirrem,i_eat_short_people_for_breakfast,9391,9430,42,38,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,5929,6003,red
Kcirrem,meeseeks,9397,9430,42,43,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,5940,6003,green
Kcirrem,meeseeks,11606,11672,42,43,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,10082,10142,green
Kcirrem,Alfred,11610,11668,42,39,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,10089,10142,redBlue
Kcirrem,meeseeks,11741,11766,42,43,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,10336,10360,green
Kcirrem,Alfred,11749,11762,42,39,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,10350,10360,redBlue
