spotter,spotted,start_game_tick,end_game_tick,spotter_id,spotted_id,demo,hacking,start_frame_num,end_frame_num,color
i_eat_short_people_for_breakfast,Pinkay,6986,7024,24,33,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,1203,1275,blue
i_eat_short_people_for_breakfast,Pinkay,7081,7120,24,33,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,1383,1456,blue
i_eat_short_people_for_breakfast,Pinkay,7141,7185,24,33,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,1494,1578,blue
i_eat_short_people_for_breakfast,Pinkay,7223,7237,24,33,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,1649,1675,blue
i_eat_short_people_for_breakfast,Pinkay,7255,7265,24,33,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,1709,1728,blue
i_eat_short_people_for_breakfast,Pinkay,7271,7277,24,33,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,1738,1750,blue
i_eat_short_people_for_breakfast,Kcirrem,8043,9320,24,29,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,3186,5580,green
i_eat_short_people_for_breakfast,Pinkay,9320,9497,24,33,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,5580,5912,blue
i_eat_short_people_for_breakfast,Malia Obama,9340,9390,24,31,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,5618,5711,red
i_eat_short_people_for_breakfast,Malia Obama,9444,9549,24,31,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,5813,6009,red
i_eat_short_people_for_breakfast,Tom,9444,9448,24,34,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,5813,5821,redBlue
i_eat_short_people_for_breakfast,Tom,12060,12070,24,34,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,10718,10737,redBlue
i_eat_short_people_for_breakfast,Tom,12147,12159,24,34,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,10880,10903,redBlue
i_eat_short_people_for_breakfast,Kcirrem,12251,12277,24,29,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,11075,11116,green
i_eat_short_people_for_breakfast,Kcirrem,14056,14102,24,29,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,14460,14547,green
i_eat_short_people_for_breakfast,Malia Obama,16449,16508,24,31,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,18947,19057,red
i_eat_short_people_for_breakfast,Pinkay,16576,16663,24,33,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,19185,19349,blue
i_eat_short_people_for_breakfast,Tom,16578,16642,24,34,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,19189,19309,redBlue
i_eat_short_people_for_breakfast,Pinkay,16682,16693,24,33,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,19385,19389,blue
i_eat_short_people_for_breakfast,Kcirrem,17930,17941,24,29,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,21723,21745,green
i_eat_short_people_for_breakfast,Malia Obama,17944,17986,24,31,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,21749,21829,red
i_eat_short_people_for_breakfast,Malia Obama,21009,21117,24,31,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,27496,27699,red
i_eat_short_people_for_breakfast,Kcirrem,21328,21344,24,29,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,28095,28125,green
i_eat_short_people_for_breakfast,Malia Obama,25150,25195,24,31,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,35261,35268,red
i_eat_short_people_for_breakfast,Malia Obama,25262,25284,24,31,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,35471,35513,red
i_eat_short_people_for_breakfast,Kcirrem,25276,25320,24,29,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,35500,35580,green
i_eat_short_people_for_breakfast,Kcirrem,25394,25415,24,29,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,35719,35758,green
i_eat_short_people_for_breakfast,Pinkay,25581,25588,24,33,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,36070,36082,blue
i_eat_short_people_for_breakfast,Pinkay,25612,25669,24,33,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,36127,36235,blue
