id,spotter,spotted,start_game_tick,end_game_tick,spotter_id,spotted_id,demo,hacking,start_frame_num,end_frame_num,color
0,meeseeks,Kcirrem,6930,6934,30,29,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,1110,1118,green
37,meeseeks,Pinkay,7224,7277,30,33,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,1661,1761,blue
1,meeseeks,Kcirrem,8012,8085,30,29,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,3138,3277,green
2,meeseeks,Kcirrem,9394,9431,30,29,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,5731,5800,green
3,meeseeks,Kcirrem,9548,9575,30,29,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,6018,6071,green
4,meeseeks,Kcirrem,9585,9631,30,29,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,6089,6175,green
21,meeseeks,Malia Obama,9647,9662,30,31,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,6204,6234,red
22,meeseeks,Malia Obama,9711,9766,30,31,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,6325,6428,red
23,meeseeks,Malia Obama,9795,9841,30,31,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,6483,6568,red
24,meeseeks,Malia Obama,9868,9884,30,31,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,6619,6649,red
25,meeseeks,Malia Obama,9942,10072,30,31,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,6757,7001,red
38,meeseeks,Pinkay,12345,12373,30,33,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,11263,11315,blue
39,meeseeks,Pinkay,12406,12526,30,33,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,11378,11505,blue
40,meeseeks,Pinkay,12557,12579,30,33,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,11660,11703,blue
5,meeseeks,Kcirrem,14043,14047,30,29,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,14447,14455,green
41,meeseeks,Pinkay,14083,14091,30,33,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,14523,14538,blue
6,meeseeks,Kcirrem,14195,14227,30,29,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,14732,14792,green
42,meeseeks,Pinkay,14195,14229,30,33,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,14732,14796,blue
43,meeseeks,Pinkay,14321,14351,30,33,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,14968,15025,blue
44,meeseeks,Pinkay,14357,14406,30,33,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,15035,15128,blue
45,meeseeks,Pinkay,14425,14452,30,33,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,15163,15215,blue
46,meeseeks,Pinkay,14455,14477,30,33,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,15219,15230,blue
47,meeseeks,Pinkay,14494,14504,30,33,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,15292,15311,blue
48,meeseeks,Pinkay,14712,14857,30,33,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,15702,15880,blue
7,meeseeks,Kcirrem,14738,14841,30,29,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,15750,15943,green
8,meeseeks,Kcirrem,14844,14855,30,29,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,15950,15970,green
49,meeseeks,Pinkay,14863,14941,30,33,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,15985,15997,blue
9,meeseeks,Kcirrem,14911,14922,30,29,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,16076,16094,green
10,meeseeks,Kcirrem,14925,14995,30,29,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,16101,16233,green
50,meeseeks,Pinkay,14981,14995,30,33,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,16206,16233,blue
11,meeseeks,Kcirrem,15306,15339,30,29,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,16815,16877,green
12,meeseeks,Kcirrem,16434,16446,30,29,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,18930,18953,green
26,meeseeks,Malia Obama,18112,18143,30,31,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,22076,22134,red
51,meeseeks,Pinkay,18466,18506,30,33,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,22740,22776,blue
52,meeseeks,Pinkay,18691,18799,30,33,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,23162,23237,blue
53,meeseeks,Pinkay,18905,18978,30,33,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,23564,23642,blue
54,meeseeks,Pinkay,19285,19322,30,33,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,24276,24344,blue
55,meeseeks,Pinkay,19441,20091,30,33,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,24569,25788,blue
56,meeseeks,Pinkay,21699,21938,30,33,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,28801,29250,blue
27,meeseeks,Malia Obama,25149,25203,30,31,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,35272,35372,red
28,meeseeks,Malia Obama,25278,25283,30,31,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,35514,35522,red
13,meeseeks,Kcirrem,25302,25315,30,29,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,35558,35582,green
14,meeseeks,Kcirrem,25353,25394,30,29,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,35653,35730,green
68,meeseeks,Tom,25813,25841,30,34,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,36515,36569,redBlue
29,meeseeks,Malia Obama,27173,27221,30,31,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,39066,39156,red
15,meeseeks,Kcirrem,30141,30146,30,29,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,44630,44641,green
16,meeseeks,Kcirrem,30380,30421,30,29,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,45080,45156,green
17,meeseeks,Kcirrem,30447,30477,30,29,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,45204,45260,green
18,meeseeks,Kcirrem,30483,30489,30,29,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,45272,45283,green
57,meeseeks,Pinkay,31510,31525,30,33,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,47197,47227,blue
58,meeseeks,Pinkay,31565,31676,30,33,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,47300,47510,blue
59,meeseeks,Pinkay,31692,31712,30,33,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,47540,47577,blue
30,meeseeks,Malia Obama,31934,31945,30,31,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,47992,48014,red
31,meeseeks,Malia Obama,33151,33208,30,31,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,50275,50343,red
69,meeseeks,Tom,35137,35360,30,34,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,53998,54417,redBlue
32,meeseeks,Malia Obama,35901,35993,30,31,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,55431,55516,red
