spotter,spotted,start_game_tick,end_game_tick,spotter_id,spotted_id,demo,hacking,start_frame_num,end_frame_num,color
Malia Obama,meeseeks,6925,6993,44,43,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,1312,1440,green
Malia Obama,i_eat_short_people_for_breakfast,9923,9966,44,38,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,6934,7015,red
Malia Obama,meeseeks,9933,9966,44,43,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,6953,7015,green
Malia Obama,Step Papi,9937,9941,44,45,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,6960,6968,blue
Malia Obama,Alfred,14798,14888,44,39,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,16075,16243,redBlue
Malia Obama,i_eat_short_people_for_breakfast,14876,14884,44,38,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,16221,16235,red
Malia Obama,meeseeks,19184,19218,44,43,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,24299,24328,green
Malia Obama,meeseeks,19393,19417,44,43,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,24690,24735,green
Malia Obama,i_eat_short_people_for_breakfast,20388,20395,44,38,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,26555,26569,red
Malia Obama,i_eat_short_people_for_breakfast,21626,21630,44,38,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,28878,28886,red
Malia Obama,Step Papi,21632,21692,44,45,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,28889,29000,blue
Malia Obama,Step Papi,21786,21800,44,45,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,29177,29204,blue
Malia Obama,meeseeks,21896,21922,44,43,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,29383,29432,green
