spotter,spotted,start_game_tick,end_game_tick,spotter_id,spotted_id,demo,hacking,start_frame_num,end_frame_num,color
Kcirrem,Step Papi,6924,6985,29,32,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,2384,2612,blue
Kcirrem,meeseeks,6932,6973,29,30,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,2413,2566,green
Kcirrem,Step Papi,9216,9263,29,32,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,10978,11153,blue
Kcirrem,meeseeks,9392,9427,29,30,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,11638,11769,green
Kcirrem,meeseeks,9548,9575,29,30,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,12221,12324,green
Kcirrem,meeseeks,9585,9627,29,30,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,12363,12520,green
Kcirrem,meeseeks,10029,10097,29,30,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,14028,14281,green
Kcirrem,Step Papi,12189,12277,29,32,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,22127,22142,blue
Kcirrem,i_eat_short_people_for_breakfast,12229,12237,29,24,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,22276,22307,red
Kcirrem,i_eat_short_people_for_breakfast,12243,12277,29,24,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,22331,22456,red
Kcirrem,meeseeks,14039,14048,29,30,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,29064,29099,green
Kcirrem,i_eat_short_people_for_breakfast,14053,14101,29,24,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,29118,29297,red
Kcirrem,meeseeks,14087,14092,29,30,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,29245,29265,green
Kcirrem,meeseeks,14190,14247,29,30,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,29631,29843,green
Kcirrem,Step Papi,14313,14330,29,32,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,30092,30154,blue
Kcirrem,Step Papi,14343,14358,29,32,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,30204,30262,blue
Kcirrem,Step Papi,14363,14433,29,32,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,30278,30425,blue
Kcirrem,meeseeks,14741,14797,29,30,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,31695,31907,green
Kcirrem,meeseeks,14809,14991,29,30,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,31951,32037,green
Kcirrem,meeseeks,15300,15339,29,30,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,33794,33938,green
Kcirrem,meeseeks,16428,16446,29,30,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,38024,38092,green
Kcirrem,i_eat_short_people_for_breakfast,17927,17941,29,24,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,43644,43697,red
Kcirrem,i_eat_short_people_for_breakfast,21325,21344,29,24,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,56385,56457,red
Kcirrem,Step Papi,21329,21400,29,32,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,56401,56669,blue
Kcirrem,Step Papi,25258,25327,29,32,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,71135,71393,blue
Kcirrem,i_eat_short_people_for_breakfast,25269,25316,29,24,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,71177,71352,red
Kcirrem,meeseeks,25298,25316,29,30,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,71286,71352,green
Kcirrem,meeseeks,25353,25402,29,30,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,71490,71674,green
Kcirrem,Step Papi,25355,25415,29,32,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,71498,71650,blue
Kcirrem,i_eat_short_people_for_breakfast,25389,25415,29,24,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,71626,71725,red
Kcirrem,i_eat_short_people_for_breakfast,26822,26845,29,24,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,77001,77088,red
Kcirrem,i_eat_short_people_for_breakfast,26854,27253,29,24,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,77119,78615,red
Kcirrem,Step Papi,28262,28281,29,32,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,82401,82472,blue
Kcirrem,Step Papi,28307,28376,29,32,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,82571,82827,blue
Kcirrem,Step Papi,29905,29947,29,32,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,88561,88718,blue
Kcirrem,Step Papi,29972,29996,29,32,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,88812,88904,blue
Kcirrem,meeseeks,29986,30025,29,30,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,88866,88943,green
Kcirrem,meeseeks,30135,30139,29,30,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,89425,89439,green
Kcirrem,meeseeks,30382,30418,29,30,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,90352,90485,green
Kcirrem,meeseeks,30439,30488,29,30,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,90564,90697,green
Kcirrem,Step Papi,32559,32655,29,32,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,98514,98873,blue
Kcirrem,i_eat_short_people_for_breakfast,32571,32655,29,24,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,98559,98873,red
Kcirrem,i_eat_short_people_for_breakfast,36495,36517,29,24,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,113275,113356,red
Kcirrem,i_eat_short_people_for_breakfast,38814,38836,29,24,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,121970,122054,red
Kcirrem,Step Papi,39120,39201,29,32,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,123118,123398,blue
Kcirrem,meeseeks,39929,39953,29,30,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,126153,126240,green
Kcirrem,meeseeks,40021,40027,29,30,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,126497,126522,green
Kcirrem,Step Papi,40933,41128,29,32,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,129918,130235,blue
Kcirrem,Step Papi,41150,41196,29,32,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,130732,130836,blue
Kcirrem,i_eat_short_people_for_breakfast,41487,41528,29,24,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,131995,132149,red
Kcirrem,Step Papi,43377,43388,29,32,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,139082,139123,blue
Kcirrem,i_eat_short_people_for_breakfast,43628,43652,29,24,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,140024,140114,red
Kcirrem,Step Papi,43711,43804,29,32,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,140336,140682,blue
Kcirrem,meeseeks,44128,44230,29,30,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,141898,142279,green
