spotter,spotted,start_game_tick,end_game_tick,spotter_id,spotted_id,demo,hacking,start_frame_num,end_frame_num,color
Kcirrem,Step Papi,7052,7099,42,45,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,1215,1304,blue
Kcirrem,i_eat_short_people_for_breakfast,7054,7095,42,38,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,1219,1296,red
Kcirrem,Step Papi,7145,7171,42,45,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,1388,1438,blue
Kcirrem,Step Papi,7188,7206,42,45,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,1469,1507,blue
Kcirrem,Step Papi,7314,7321,42,45,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,1705,1720,blue
Kcirrem,Step Papi,7337,7342,42,45,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,1749,1758,blue
Kcirrem,i_eat_short_people_for_breakfast,7352,7396,42,38,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,1777,1859,red
Kcirrem,i_eat_short_people_for_breakfast,7429,7461,42,38,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,1922,1982,red
Kcirrem,Step Papi,7533,7545,42,45,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,2117,2140,blue
Kcirrem,Step Papi,7607,7625,42,45,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,2255,2288,blue
Kcirrem,Step Papi,7676,7724,42,45,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,2385,2475,blue
Kcirrem,Step Papi,7764,7810,42,45,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,2550,2637,blue
Kcirrem,Alfred,8228,8301,42,39,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,3419,3557,redBlue
Kcirrem,i_eat_short_people_for_breakfast,9402,9430,42,38,merrick_kingston_matt_gabe_rory_durst_9_20_21_wallhacks_2.dem,1,5621,5674,red
