id,spotter,spotted,start_game_tick,end_game_tick,spotter_id,spotted_id,demo,hacking,start_frame_num,end_frame_num,color
33,Michelle Obama,i_eat_short_people_for_breakfast,6661,6713,21,16,9_19_21_durst_t_wang_ct_with_walls.dem,1,834,932,red
0,Michelle Obama,Adam,6742,6762,21,17,9_19_21_durst_t_wang_ct_with_walls.dem,1,987,1024,blue
34,Michelle Obama,i_eat_short_people_for_breakfast,7601,7607,21,16,9_19_21_durst_t_wang_ct_with_walls.dem,1,2598,2609,red
35,Michelle Obama,i_eat_short_people_for_breakfast,7661,7704,21,16,9_19_21_durst_t_wang_ct_with_walls.dem,1,2709,2790,red
36,Michelle Obama,i_eat_short_people_for_breakfast,7709,7737,21,16,9_19_21_durst_t_wang_ct_with_walls.dem,1,2800,2853,red
17,Michelle Obama,Henry,7878,7918,21,19,9_19_21_durst_t_wang_ct_with_walls.dem,1,3117,3191,green
37,Michelle Obama,i_eat_short_people_for_breakfast,10293,10351,21,16,9_19_21_durst_t_wang_ct_with_walls.dem,1,7645,7753,red
1,Michelle Obama,Adam,13475,13487,21,17,9_19_21_durst_t_wang_ct_with_walls.dem,1,13611,13633,blue
2,Michelle Obama,Adam,13511,13523,21,17,9_19_21_durst_t_wang_ct_with_walls.dem,1,13678,13701,blue
3,Michelle Obama,Adam,13537,13696,21,17,9_19_21_durst_t_wang_ct_with_walls.dem,1,13727,14026,blue
38,Michelle Obama,i_eat_short_people_for_breakfast,13579,13642,21,16,9_19_21_durst_t_wang_ct_with_walls.dem,1,13806,13924,red
4,Michelle Obama,Adam,13925,13985,21,17,9_19_21_durst_t_wang_ct_with_walls.dem,1,14455,14567,blue
39,Michelle Obama,i_eat_short_people_for_breakfast,13927,13971,21,16,9_19_21_durst_t_wang_ct_with_walls.dem,1,14459,14541,red
40,Michelle Obama,i_eat_short_people_for_breakfast,14042,14065,21,16,9_19_21_durst_t_wang_ct_with_walls.dem,1,14674,14717,red
5,Michelle Obama,Adam,15909,16069,21,17,9_19_21_durst_t_wang_ct_with_walls.dem,1,18176,18475,blue
18,Michelle Obama,Henry,18116,18139,21,19,9_19_21_durst_t_wang_ct_with_walls.dem,1,22313,22356,green
41,Michelle Obama,i_eat_short_people_for_breakfast,18118,18203,21,16,9_19_21_durst_t_wang_ct_with_walls.dem,1,22317,22437,red
